"quad","year","totNumber"
"Q11",33,2
"Q23",33,9
"Q11",34,2
"Q12",34,2
"Q15",34,1
"Q17",34,1
"Q18",34,1
"Q19",34,2
"Q22",34,2
"Q23",34,12
"Q4",34,1
"Q6",34,1
"Q1",35,2
"Q11",35,2
"Q12",35,9
"Q15",35,4
"Q17",35,1
"Q18",35,2
"Q19",35,3
"Q20",35,3
"Q22",35,1
"Q23",35,9
"Q26",35,1
"Q4",35,2
"Q6",35,1
"Q8",35,9
"Q11",36,2
"Q12",36,6
"Q14",36,1
"Q2",36,47
"Q20",36,1
"Q22",36,1
"Q23",36,7
"Q26",36,1
"Q3",36,5
"Q5",36,1
"Q6",36,19
"Q8",36,3
"Q1",37,1
"Q11",37,4
"Q12",37,14
"Q19",37,3
"Q2",37,27
"Q20",37,11
"Q21",37,2
"Q22",37,6
"Q23",37,2
"Q26",37,7
"Q4",37,5
"Q6",37,6
"Q8",37,5
"Q11",38,11
"Q12",38,6
"Q19",38,4
"Q2",38,22
"Q20",38,4
"Q21",38,1
"Q22",38,3
"Q23",38,4
"Q26",38,12
"Q3",38,1
"Q4",38,19
"Q6",38,2
"Q7",38,2
"Q8",38,8
"Q12",39,1
"Q23",39,2
"Q25",39,1
"Q26",39,12
"Q3",39,1
"Q4",39,8
"Q11",40,3
"Q12",40,2
"Q14",40,1
"Q2",40,1
"Q20",40,12
"Q26",40,7
"Q4",40,7
"Q5",40,1
"Q6",40,3
"Q8",40,1
"Q1",41,6
"Q10",41,3
"Q11",41,1
"Q12",41,3
"Q13",41,7
"Q19",41,4
"Q2",41,1
"Q20",41,14
"Q23",41,6
"Q25",41,6
"Q26",41,14
"Q3",41,1
"Q4",41,11
"Q6",41,2
"Q7",41,1
"Q8",41,29
"Q9",41,10
"Q1",42,5
"Q10",42,5
"Q11",42,3
"Q13",42,6
"Q14",42,4
"Q19",42,2
"Q2",42,1
"Q20",42,13
"Q22",42,2
"Q23",42,16
"Q24",42,1
"Q25",42,4
"Q26",42,19
"Q3",42,4
"Q4",42,16
"Q5",42,2
"Q6",42,2
"Q7",42,1
"Q8",42,50
"Q9",42,28
"Q1",45,1
"Q10",45,1
"Q11",45,5
"Q12",45,5
"Q13",45,1
"Q14",45,4
"Q19",45,3
"Q2",45,4
"Q20",45,4
"Q23",45,7
"Q24",45,1
"Q25",45,1
"Q26",45,13
"Q3",45,2
"Q4",45,11
"Q5",45,2
"Q7",45,1
"Q8",45,8
"Q9",45,4
"Q1",46,1
"Q11",46,4
"Q12",46,1
"Q14",46,1
"Q19",46,2
"Q2",46,2
"Q20",46,3
"Q23",46,3
"Q26",46,5
"Q3",46,5
"Q4",46,6
"Q5",46,1
"Q6",46,2
"Q8",46,1
"Q1",47,1
"Q11",47,1
"Q14",47,1
"Q20",47,1
"Q26",47,3
"Q3",47,3
"Q4",47,2
"Q5",47,1
"Q6",47,1
"Q8",47,2
"Q20",49,3
"Q25",49,1
"Q3",49,1
"Q4",49,2
"Q5",49,1
"Q25",50,1
"Q3",50,1
"Q20",51,1
"Q12",52,1
"Q19",52,5
"Q2",52,1
"Q23",52,1
"Q24",52,1
"Q26",52,3
"Q3",52,2
"Q4",52,3
"Q12",54,2
"Q19",54,1
"Q20",54,2
"Q23",54,3
"Q24",54,1
"Q26",54,5
"Q9",54,1
"Q12",55,1
"Q19",55,2
"Q20",55,5
"Q23",55,3
"Q24",55,1
"Q25",55,1
"Q26",55,4
"Q9",55,1
"Q19",56,1
"Q20",56,3
"Q26",56,3
