"year","(Intercept).yr","logage.yr","Group","GrpName","(Intercept)","logage","W1","W2","W3","W4","W5","alpha"
33,0.574190698195181,-0.53160090687087,-0.118787277379049,"E1",-0.742362689057723,-0.374059473852929,0.000680240794382176,0.0431899278919631,0.00705569030533493,0.0162873265327241,-0.888841989068171,0.004
34,0.281927262408822,0.523311349265988,-0.109295422826446,"P1",NA,NA,NA,NA,NA,NA,NA,0.047
35,-0.448096418605786,0.74153343889167,0.369745097811577,"P10E1",NA,NA,NA,NA,NA,NA,NA,0.039
36,-1.08856945049689,1.39615530251333,-0.235510889946021,"P1E1",NA,NA,NA,NA,NA,NA,NA,0.018
37,-0.150439026211182,0.713993202840568,0.06306074926524,"P2",NA,NA,NA,NA,NA,NA,NA,0.32
38,-0.455503522054127,-0.170119196100497,0.0777514560081617,"P7E1",NA,NA,NA,NA,NA,NA,NA,NA
39,0.00274150891241938,-0.0611192631002710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.259012529014311,-0.599477595427702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.814824328642462,-0.868902746149928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-0.0784513910651257,0.0726323689439596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.33414243253161,-0.0457967370230472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.169151884195476,-0.344851926672299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.0569750789547752,-0.0607640197448162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.00201952699511133,-0.135290473823181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.737818193426782,-0.314608531371053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-0.172651481427432,-0.160246831517602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
