"modelNum","Species","deltaDIC"
25,"BOGR",0
18,"BOGR",0.881690552655982
7,"BOGR",1.16583461231198
6,"BOGR",2.38253233574699
24,"BOGR",2.69433948011192
3,"BOGR",3.37896290534695
8,"BOGR",3.84485501717199
15,"BOGR",4.17286709643895
23,"BOGR",4.33203666017891
20,"BOGR",4.86878135556094
16,"HECO",0
22,"HECO",1.10259393569004
25,"HECO",1.53003876570006
24,"HECO",1.62743477174013
1,"HECO",2.47381095375999
1,"PASM",0
13,"POSE",0
