Site,Species,Alpha
Arizona,BOER,0.027
Arizona,BORO,0.009
Idaho,ARTR,0.1
Idaho,HECO,0.024
Idaho,POSE,0.004
Idaho,PSSP,0.021
Kansas,BOCU,0.003
Kansas,BOHI,0.018
Kansas,SCSC,0.002
Montana,BOGR,0.021
Montana,HECO,0.018
Montana,PASM,0.007
Montana,POSE,0.029
NewMexico,BOER,0.02
NewMexico,SPFL,0.012
