"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"betaC[1,1]",-0.10923975125,0.416454896299328,-0.8795675,-0.386425,-0.1271,0.161325,0.7595475,1.00164215785023,1600
"betaC[1,2]",-0.2580863275,0.507228162725959,-1.2311,-0.57,-0.26185,0.0365675,0.799614999999997,1.00344045657088,600
"betaC[1,3]",-0.0892701078125,0.550643118320895,-1.138075,-0.436925,-0.09739,0.238625,0.990177499999998,1.00571267765287,1600
"betaC[1,4]",0.4080423474375,0.438751870229628,-0.45524,0.114775,0.4031,0.694675,1.243025,1.00104283819222,1600
"betaC[1,5]",-0.0633333459375,0.473314167781199,-0.9601275,-0.385125,-0.074,0.224925,0.876845,1.0125706292812,140
"betaC[2,1]",-0.0970061764125,0.314229989503037,-0.695315,-0.308325,-0.09069,0.0995625,0.531764999999998,1.00870022929681,210
"betaC[2,2]",0.2807625891375,0.383961301358269,-0.4239225,0.0265175,0.2672,0.514625,1.03915,1.01104299750343,550
"betaC[2,3]",0.0337725595,0.394443500512246,-0.7598975,-0.219725,0.03527,0.295575,0.813599999999999,1.00056383938898,1600
"betaC[2,4]",0.239400211625,0.325470077175125,-0.3904675,0.0317975,0.2354,0.44845,0.8820175,1.00110226016658,1600
"betaC[2,5]",0.248609380128131,0.342486040319364,-0.4148475,0.027485,0.23355,0.4689,0.9484825,1.00084798113231,1600
"betaC[3,1]",0.121994672875,0.200070252812849,-0.28866,-0.0089625,0.12055,0.252025,0.513492499999999,1.00090447082654,1600
"betaC[3,2]",0.00226016525,0.23845213246047,-0.502325,-0.14045,0.009492,0.15845,0.4519525,1.00178462577422,1300
"betaC[3,3]",-0.00391562736875,0.262561040110376,-0.5385675,-0.1678,0.00085535,0.1728,0.50251,1.00142140020951,1600
"betaC[3,4]",0.2598486975625,0.216923643624929,-0.16025,0.1168,0.2595,0.40275,0.671252499999999,1.00124594185814,1600
"betaC[3,5]",-0.14825965535625,0.224217896721532,-0.6002525,-0.286675,-0.1479,-0.0055085,0.28761,1.00371893311307,1600
"betaC[4,1]",-0.28181908700625,0.305332580462262,-0.89146,-0.480675,-0.2721,-0.0837375,0.311759999999998,1.00932935347025,490
"betaC[4,2]",0.136284189,0.354855524283246,-0.525075,-0.10135,0.1243,0.362,0.83407,1.00079066845685,1600
"betaC[4,3]",-0.0518928000625,0.405991725531664,-0.8243925,-0.319575,-0.055925,0.19955,0.761042499999999,1.00382478874049,440
"betaC[4,4]",0.02568711878125,0.332793318366859,-0.6681875,-0.1879,0.02667,0.244525,0.6523475,1.0061043922473,1200
"betaC[4,5]",0.052079550875,0.358252989480208,-0.64287,-0.176025,0.05329,0.277175,0.76003,1.0033613989854,1600
"intcpt.mu[1]",-0.00125724040625,0.563506459945236,-1.1344,-0.364675,0.016435,0.367075,1.10235,1.00138991286069,1500
"intcpt.mu[2]",3.003804375,0.382002329466959,2.24094997823353,2.75949986407297,3.00849995845105,3.24899953850883,3.75904998703567,1.00505980920396,670
"intcpt.mu[3]",3.7113375,0.316145990838809,3.12997499610541,3.50774997327093,3.705,3.92724997613036,4.33504998875774,1.00046979104914,1600
"intcpt.mu[4]",2.99271625,0.401640886379792,2.2216489204748,2.72449986232637,2.9834999581029,3.275,3.7754240697271,1.00671491566104,240
"intcpt.yr[1,1]",-0.0136331373125,1.27426927832839,-2.54105,-0.82315,-0.019495,0.8396,2.489,1.00955053300659,160
"intcpt.yr[1,2]",1.90886538625,1.1237660032693,-0.457685,1.2135,1.9555,2.62825,4.023225,1.0031074259921,560
"intcpt.yr[1,3]",3.96098625,0.668817470664907,2.63184983305107,3.51749989336998,3.953,4.37824997858896,5.30779765768221,1.00164144976163,1200
"intcpt.yr[1,4]",4.29192375,0.932378132680017,2.46587487627947,3.67074997445794,4.25849973582246,4.91124998091247,6.24007498242744,1.00562039081561,350
"intcpt.yr[2,1]",-1.428468516875,1.486716959713,-4.7925,-2.34125,-1.3255,-0.47495,1.2501,1.00042249306911,1600
"intcpt.yr[2,2]",1.898742291875,0.95105580467941,-0.05880875,1.29625,1.935,2.54925,3.682525,1.00101291869164,1600
"intcpt.yr[2,3]",4.29411375,0.65053080231755,3.00397499594202,3.85774997569617,4.2804999707978,4.70424998007262,5.61814992195768,1.0003759388326,1600
"intcpt.yr[2,4]",3.2381754375,0.92924905409194,1.4109249221536,2.60924823786005,3.26049996166232,3.857,5.06224975954814,1.00578555035969,290
"intcpt.yr[3,1]",-0.29478785275,0.973158056185296,-2.36615,-0.906525,-0.28625,0.368975,1.4512,1.00175652796887,1600
"intcpt.yr[3,2]",2.1784265,0.727595921871183,0.73878,1.71175,2.176,2.66625,3.53805,1.00063803438917,1600
"intcpt.yr[3,3]",4.31818875,0.522682994576014,3.32372455538262,3.975,4.312,4.66024997988449,5.32707497941677,1.00152159714569,1300
"intcpt.yr[3,4]",3.392355625,0.676025932245966,2.05562365981024,2.9377499680842,3.37649996297942,3.83724997557056,4.72504998968541,1.0021361681495,850
"intcpt.yr[4,1]",-1.97084434375,0.97288431305054,-3.905125,-2.61825,-1.974,-1.3155,-0.152067500000001,1.00399958216973,410
"intcpt.yr[4,2]",0.983322899375,0.76276051007559,-0.6710475,0.504975,1.008,1.5165,2.319225,1.00067453108696,1600
"intcpt.yr[4,3]",2.893169375,0.484403094964428,1.931,2.55974996337056,2.904,3.22324997091746,3.83319979678322,1.00243434757347,950
"intcpt.yr[4,4]",1.8153895625,0.63823393983792,0.5533025,1.4015,1.832,2.21225,3.079,1.00038031234063,1600
"intcpt.yr[5,1]",-0.04746817709375,0.715898658119307,-1.4714,-0.5301,-0.048535,0.426375,1.38405,1.00154421116087,1300
"intcpt.yr[5,2]",3.86177125,0.49254234985678,2.91589993306712,3.52224976038338,3.863,4.183,4.82022479544073,1.00059213012445,1600
"intcpt.yr[5,3]",3.706998125,0.388937957559755,2.94389993370428,3.45274997284511,3.71349996633903,3.96424997635313,4.483,1.00199512709758,930
"intcpt.yr[5,4]",3.7219625,0.523925953830248,2.719,3.38099955616921,3.711,4.0702499769689,4.75917487463546,1.00076724198369,1600
"intcpt.yr[6,1]",0.428159787,1.22828495155982,-2.0695,-0.375425,0.43665,1.248,2.673225,1.00633700262741,250
"intcpt.yr[6,2]",3.2685040125,0.899658701245007,1.469,2.6975,3.282,3.862,5.029025,1.00049302740078,1600
"intcpt.yr[6,3]",3.58676875,0.631949566169882,2.28297499466009,3.19,3.583,4.00949990648768,4.82607497728085,1.00221774800485,1500
"intcpt.yr[6,4]",2.7386365075,0.882007545567747,0.973595,2.18175,2.756,3.32,4.411025,1.00055320222252,1600
"intcpt.yr[7,1]",1.089652863125,1.01939538915646,-0.92891,0.42545,1.0995,1.75225,3.09919999999999,1.00299936322451,1000
"intcpt.yr[7,2]",3.7326075,0.727456093124107,2.33382474362929,3.26349988506921,3.72999986595174,4.196,5.20009996251898,1.00088739084648,1600
"intcpt.yr[7,3]",4.14180375,0.524961453885882,3.11572452563423,3.78974997526004,4.1514999698904,4.4952499791462,5.14144923367598,1.00051999705827,1600
"intcpt.yr[7,4]",2.5807716875,0.73232334219804,1.08797498879147,2.09849982124413,2.57149995139024,3.06349987761762,3.94502499691116,1.02324231599492,300
"intcpt.yr[8,1]",1.932757566895,0.937308252425578,0.05299575,1.31475,1.9485,2.5195,3.796,1.00720429574064,220
"intcpt.yr[8,2]",4.864434375,0.702250228948625,3.43247342807142,4.41974997878679,4.88849936074456,5.31749936554182,6.21902499804049,1.01234210520183,240
"intcpt.yr[8,3]",3.3974225,0.507716440529298,2.3988999186268,3.06349987756434,3.40249996326231,3.72024997480234,4.40417486454057,1.00037302430938,1600
"intcpt.yr[8,4]",5.220646875,0.659923242776542,3.89154898231904,4.78174998039284,5.23249997611084,5.67724998348769,6.45917490760772,1.00289793992553,600
"intcpt.yr[9,1]",0.680023432625,0.952269195258506,-1.227425,0.0737775,0.65965,1.30725,2.531075,1.00165062657309,1200
"intcpt.yr[9,2]",4.10435,0.66818527256596,2.82584984452788,3.6444998970864,4.10149996952335,4.52724997929359,5.43839942736855,1.00157166736692,1600
"intcpt.yr[9,3]",3.71417,0.515272217630073,2.69179970968448,3.37749988894921,3.70749969656101,4.039,4.74014990751377,1.00104757874426,1600
"intcpt.yr[9,4]",2.6050849425,0.69174708345372,1.23097499009421,2.142749956241,2.621,3.08724996963645,3.96122475114533,1.01666193347749,1600
"intcpt.yr[10,1]",0.937983718125,0.947388617183693,-0.957215,0.330275,0.9313,1.58725,2.833275,1.00305581307044,560
"intcpt.yr[10,2]",4.3205,0.688880187293319,2.96249834735999,3.85524978108581,4.30149997094037,4.7872499804181,5.69107498073283,1.00048261895865,1600
"intcpt.yr[10,3]",3.4009875,0.499849068995942,2.4379499799933,3.07174996947663,3.40849966994277,3.73724997491695,4.358,1.00218961147982,830
"intcpt.yr[10,4]",3.1622148125,0.686103904770938,1.79084975448349,2.74149986318029,3.15149996033635,3.58124997382443,4.5935238333193,1.00701559366483,540
"intcpt.yr[11,1]",0.813553719375,0.791653555885052,-0.65162,0.296775,0.82665,1.30475,2.353025,1.00172579073186,1100
"intcpt.yr[11,2]",2.670844004375,0.6306191681592,1.456825,2.2655,2.672,3.08475,3.832025,1.00569147717632,450
"intcpt.yr[11,3]",2.7979545,0.46467562527822,1.881,2.48749984920581,2.814,3.116,3.71304998687511,1.00041900199889,1600
"intcpt.yr[11,4]",1.61576143125,0.592033783406148,0.39798,1.2245,1.6125,2.022,2.7562,1.00286467829804,600
"intcpt.yr[12,1]",-0.692518225,0.881318639348726,-2.547025,-1.26025,-0.6752,-0.0947,0.963427499999998,1.00599576005267,270
"intcpt.yr[12,2]",2.5485925,0.595331687185685,1.3378496711139,2.15999930512648,2.554,2.941,3.72707497058508,1.00364498303828,910
"intcpt.yr[12,3]",3.236920625,0.461888505154767,2.34297499479687,2.93049987200637,3.235,3.53524997348387,4.12314989368661,1.00133867452459,1600
"intcpt.yr[12,4]",2.1487245625,0.60167288664981,0.971005,1.76425,2.1485,2.531,3.303025,1.00046220558028,1600
"intcpt.yr[13,1]",0.4256238899375,0.814820537537839,-1.26215,-0.117,0.4601,0.9885,1.910175,1.00069565127142,1600
"intcpt.yr[13,2]",3.797995625,0.578087109393679,2.63392495832581,3.426,3.797,4.1722499775319,4.99012493898063,1.00043767129544,1600
"intcpt.yr[13,3]",4.811699375,0.418713759335981,4.03544853320018,4.526,4.80149997396647,5.08724998157278,5.6170249978305,1.00067070032224,1600
"intcpt.yr[13,4]",4.62235125,0.558365898781,3.5489749965653,4.26,4.61899989175146,4.97749992467106,5.756,1.00055354824381,1600
"intcpt.yr[14,1]",2.551593375,0.829733552005212,0.978355,2.012,2.541,3.093,4.146475,1.00104371397233,1600
"intcpt.yr[14,2]",2.9395497875,0.648607042039183,1.62195,2.55875,2.977,3.3375,4.190175,1.00674963516462,350
"intcpt.yr[14,3]",5.169745625,0.459986161978398,4.27489995435785,4.85449992274148,5.16049978199786,5.463,6.13904999206067,1.00090591209406,1600
"intcpt.yr[14,4]",4.5302425,0.607621171762459,3.32887490838417,4.12824979556605,4.52249997236042,4.92,5.71707498082043,1.00911149241573,300
"intcpt.yr[15,1]",0.4770588649125,1.41376984826765,-2.508025,-0.424125,0.502,1.418,3.281025,1.00172562670597,1100
"intcpt.yr[15,2]",2.93103655625,1.00550485998657,0.9649625,2.24575,2.943,3.57775,4.8691,1.0026449661901,1600
"intcpt.yr[15,3]",3.697169125,0.720387179527094,2.2699749946295,3.241,3.723,4.15824997745626,5.05702499759029,1.0017101901291,1100
"intcpt.yr[15,4]",3.3293548,1.06320517665371,1.26055,2.6565,3.311,3.99275,5.47315,1.00481552561562,1600
"intcpt.yr[16,1]",-2.172182825,0.952503628242186,-4.140275,-2.8085,-2.1585,-1.49975,-0.368512500000005,1.00047963231433,1600
"intcpt.yr[16,2]",2.814738125,0.592970929830248,1.63294997012288,2.41149984445212,2.81349995557135,3.202,3.9551249230255,1.00037505045605,1600
"intcpt.yr[16,3]",2.928995625,0.478525717589824,1.98454799874898,2.62574996429138,2.94749995759118,3.243,3.87937429486296,1.00168328320006,1100
"intcpt.yr[16,4]",1.240532058125,0.640840933418219,-0.0105905,0.811425,1.2305,1.686,2.505175,1.00101750822029,1600
"intcpt.yr[17,1]",-1.0015121094375,0.819555371829645,-2.712325,-1.526,-0.98085,-0.451525,0.601769999999999,1.00083772411759,1600
"intcpt.yr[17,2]",2.883659,0.616737320184061,1.66969894410376,2.483,2.89749995685936,3.30224997161313,4.05104998796984,1.00202349828201,1600
"intcpt.yr[17,3]",2.72721125,0.439140062075601,1.85489989472924,2.44874996170995,2.733,3.01874972058944,3.53909994494065,1.00037430772912,1600
"intcpt.yr[17,4]",3.0598425,0.552446490301689,2.00389990256656,2.686,3.05,3.4252499726324,4.1610999531659,1.00037689423811,1600
"intcpt.yr[18,1]",-1.340594889375,1.16670584129538,-3.710125,-2.10175,-1.3265,-0.5643,0.978887499999997,1.00038113987205,1600
"intcpt.yr[18,2]",3.36464875,0.784331897605815,1.8367,2.857,3.3865,3.886,4.912,1.00055025903737,1600
"intcpt.yr[18,3]",3.915918125,0.561312099876175,2.8366491552559,3.54849989430168,3.912,4.265,5.03002499757736,1.0019118821733,980
"intcpt.yr[18,4]",2.20657096875,0.815275654769699,0.5431325,1.693,2.193,2.744,3.846775,1.0044004650899,1600
"intcpt.yr[19,1]",1.64789921125,1.22344335505359,-0.694205,0.8781,1.6745,2.44175,4.099225,1.00508417436701,1200
"intcpt.yr[19,2]",4.31746125,0.896736465567706,2.67884983598433,3.717,4.294,4.868,6.10524980058356,1.00141877361955,1600
"intcpt.yr[19,3]",3.592180625,0.607385070107282,2.36897499485399,3.20149988284301,3.592,4.001,4.78407497708147,1.00157062115129,1300
"intcpt.yr[19,4]",3.1471149375,0.851412454344399,1.57767368762536,2.585,3.10249995970991,3.6742499744869,4.86504998998216,1.00095093567619,1600
"intcpt.yr[20,1]",0.14584123625,1.004916078938,-1.737,-0.509975,0.11475,0.788775,2.153125,1.01001157941223,190
"intcpt.yr[20,2]",2.6080315,0.714938972529667,1.262525,2.1195,2.602,3.05925,4.028575,1.00116570653898,1600
"intcpt.yr[20,3]",3.283505,0.512118688337323,2.24269921479896,2.97674996850239,3.28849996198875,3.60974976632278,4.29512492911427,1.01341145494451,300
"intcpt.yr[20,4]",2.6602649375,0.745759448296549,1.22479936051441,2.17449982749367,2.64649995276781,3.15874973296937,4.14997055958761,1.00511857357652,1600
"intcpt.yr[21,1]",-0.974949319375,0.979556732480622,-2.87105,-1.6455,-0.9618,-0.344875,0.839944999999996,1.00459113008447,1600
"intcpt.yr[21,2]",2.081636725,0.712949876105202,0.73127,1.57875,2.1,2.55025,3.49705,1.00335285408538,500
"intcpt.yr[21,3]",3.774115625,0.518552908781122,2.72597499552808,3.45174997283724,3.766,4.127,4.76304998976768,1.00144588467272,1600
"intcpt.yr[21,4]",1.86485367125,0.686798182595134,0.5534,1.4145,1.8705,2.32125,3.21505,1.00824829462608,190
