"","2.5%","25%","50%","75%","97.5%","species"
"beta[1,1]",0.629111726207315,0.817124124297579,0.893850268634952,0.975763450816909,1.18291834563521,"BOGR"
"beta[2,1]",0.742471346802503,0.839153912547639,0.88838645866989,0.939510377300914,1.06566632734793,"HECO"
"beta[3,1]",0.749735891735025,0.81866658019795,0.854064684274056,0.890107882753457,0.964515634021393,"PASM"
"beta[4,1]",0.611938534300776,0.717510183417538,0.771850095800829,0.828876488743707,0.950070532686913,"POSE"
"beta[1,2]",0.739725188500896,0.860702152553683,0.922992015027506,0.991318098136429,1.13936531740151,"BOGR"
"beta[2,2]",0.709381155776339,0.815148153165588,0.863859549645298,0.910873688508944,1.00858992687728,"HECO"
"beta[3,2]",0.706143032737008,0.788373343070752,0.825100982869551,0.860437539840301,0.927429618295543,"PASM"
"beta[4,2]",0.535476652975195,0.649321270364048,0.704233899827169,0.759358605754479,0.869368344888255,"POSE"
"beta[1,3]",0.643843451150535,0.782739896777949,0.84549214131691,0.904469098834352,1.02260914059782,"BOGR"
"beta[2,3]",0.731861482609769,0.829501628754568,0.875768711531124,0.922693908070398,1.02829906016453,"HECO"
"beta[3,3]",0.766160135544553,0.830456574909589,0.865087354191308,0.90091685454539,0.976176794099931,"PASM"
"beta[4,3]",0.489782133227859,0.617716982441634,0.681179199056354,0.740116039441849,0.853741183938004,"POSE"
"beta[1,4]",0.718718502949743,0.844883140303546,0.9066070477527,0.973403000833376,1.11920247637651,"BOGR"
"beta[2,4]",0.734639237877743,0.8289837883116,0.874351121466132,0.920355185638798,1.01618197448056,"HECO"
"beta[3,4]",0.749992790145415,0.814634033070438,0.847402535522688,0.880323960203295,0.946729443993637,"PASM"
"beta[4,4]",0.642633303229602,0.748114166512454,0.8110655736823,0.882823725378645,1.04095834729606,"POSE"
"beta[1,5]",0.790890654015026,0.909952417561309,0.982802046483805,1.06694190994589,1.25763827734408,"BOGR"
"beta[2,5]",0.747105078639507,0.841979436886475,0.888835508193648,0.93921946693336,1.07794968938707,"HECO"
"beta[3,5]",0.784599517716719,0.843936456814686,0.874823374531366,0.906009691629846,0.966049175778958,"PASM"
"beta[4,5]",0.633186612570783,0.73262939702227,0.787266564601409,0.846116477451304,0.979344782543725,"POSE"
"beta[1,6]",0.84178218977867,0.938445185956396,0.996618113313732,1.0585348465439,1.18519661020508,"BOGR"
"beta[2,6]",0.723428292084631,0.816502803488958,0.861127298018208,0.904436542583146,0.991051238262346,"HECO"
"beta[3,6]",0.744909596038661,0.798654837521105,0.826957118726614,0.855882812564405,0.912762892859727,"PASM"
"beta[4,6]",0.446476602638682,0.577734218918413,0.647299348067404,0.711502945467072,0.824582571210522,"POSE"
"beta[1,7]",0.62875786276865,0.726164760120014,0.774676743264246,0.822049561260337,0.905599188955997,"BOGR"
"beta[2,7]",0.679387079271255,0.777842435433145,0.825020825301705,0.868703772343647,0.946169614473665,"HECO"
"beta[3,7]",0.757943607010362,0.811835677350612,0.839272762452734,0.866582139444842,0.919207871904757,"PASM"
"beta[4,7]",0.594172711886443,0.70561436647279,0.76140129026763,0.820382893421735,0.945895760696077,"POSE"
"beta[1,8]",0.707318092352771,0.810610063784083,0.860681221297823,0.910522691760176,1.00895991022355,"BOGR"
"beta[2,8]",0.735574592210215,0.823847479281821,0.868400237850424,0.912364726506291,1.00346464028974,"HECO"
"beta[3,8]",0.758149114733119,0.811211200247353,0.839586249048528,0.867644078139105,0.921840377267426,"PASM"
"beta[4,8]",0.598443423083288,0.700776429746991,0.751295878121367,0.803529202048254,0.910713503742418,"POSE"
"beta[1,9]",0.79330449406404,0.893167883002413,0.948690092445273,1.00860325150764,1.13231828484192,"BOGR"
"beta[2,9]",0.741374081061742,0.830317200814495,0.87475790035033,0.9197852868225,1.01224104174299,"HECO"
"beta[3,9]",0.783889584589045,0.838799250416997,0.868480907668529,0.897939146965467,0.955132820259439,"PASM"
