"","Mean","SD","Naive SE","Time-series SE","species"
"beta[1,1]",0.897659021085755,0.135856808600796,0.00035078077145318,0.000880343844266364,"BOGR"
"beta[2,1]",0.89181683256286,0.0807422703926489,0.00020847564571047,0.00141152989393065,"HECO"
"beta[3,1]",0.854823735290563,0.0543855968094217,0.000140423007144294,0.00133161265695395,"PASM"
"beta[4,1]",0.774374232448966,0.0858368984843349,0.00022162991887995,0.0015608214632081,"POSE"
"beta[1,2]",0.928039692252585,0.100700973321171,0.000260008795079849,0.000753666298713695,"BOGR"
"beta[2,2]",0.862506832502208,0.0751045469755303,0.000193919106440454,0.00123803917161342,"HECO"
"beta[3,2]",0.82308148130601,0.0559856787666593,0.000144554400992926,0.00127848499378783,"PASM"
"beta[4,2]",0.703784978364724,0.0843766090446202,0.000217859467759512,0.00176007297303008,"POSE"
"beta[1,3]",0.841976545586334,0.0949246433312636,0.000245094375177775,0.000668009788297871,"BOGR"
"beta[2,3]",0.876779960431379,0.0739523663554199,0.000190944188871447,0.00129072560059127,"HECO"
"beta[3,3]",0.866528119296853,0.0533573334210862,0.000137768042491936,0.00125258661955998,"PASM"
"beta[4,3]",0.678026218503954,0.0921508256002315,0.00023793240859264,0.00198091170401585,"POSE"
"beta[1,4]",0.910606474674441,0.100329249021007,0.000259049007063905,0.00104712621236728,"BOGR"
"beta[2,4]",0.874688850990606,0.0707421931937002,0.000182655557408926,0.00127093673546067,"HECO"
"beta[3,4]",0.847643192396633,0.0498294876596742,0.000128659183903977,0.00121086816054878,"PASM"
"beta[4,4]",0.819430545952438,0.101436957445535,0.000261909097917673,0.00193728460677354,"POSE"
"beta[1,5]",0.993868658760183,0.119044363479364,0.000307371224810294,0.00149652130868057,"BOGR"
"beta[2,5]",0.893785892154172,0.0810609862229442,0.000209298566445741,0.00160103738996122,"HECO"
"beta[3,5]",0.875064419171574,0.0463192632607543,0.000119595823478332,0.00117357708077787,"PASM"
"beta[4,5]",0.792129837971681,0.0877312662228216,0.000226521155348451,0.00177368712239863,"POSE"
"beta[1,6]",1.00093203306629,0.0886787913441475,0.000228967654691791,0.00126268463213966,"BOGR"
"beta[2,6]",0.860142180853019,0.067723311051545,0.000174860837235106,0.00130211982886123,"HECO"
"beta[3,6]",0.82742453874945,0.0427856640019161,0.000110472109423898,0.00106785942077294,"PASM"
"beta[4,6]",0.643313600548831,0.0975047121226516,0.000251756084151852,0.00215267273733809,"POSE"
"beta[1,7]",0.772969579701516,0.0710052806490997,0.000183334846297831,0.000772824511917531,"BOGR"
"beta[2,7]",0.821617160458607,0.0680989302232825,0.000175830681766209,0.0011685902135159,"HECO"
"beta[3,7]",0.839114702612922,0.0410970355424323,0.000106112089489556,0.00108263088639536,"PASM"
"beta[4,7]",0.763904677594223,0.0885871229074953,0.000228730967806106,0.00160963637933294,"POSE"
"beta[1,8]",0.860181126770519,0.0760428878175016,0.000196341892076468,0.00077020861806034,"BOGR"
"beta[2,8]",0.868464689079731,0.067705280283294,0.000174814281991669,0.00117319580165227,"HECO"
"beta[3,8]",0.839576341329561,0.0418583583607852,0.000108077816553935,0.00111142870629114,"PASM"
"beta[4,8]",0.75248178964304,0.0786641738598033,0.000203110023534789,0.00141923939752765,"POSE"
"beta[1,9]",0.952851017439621,0.0866216104403972,0.000223656036438217,0.000896773714608809,"BOGR"
"beta[2,9]",0.875334301202392,0.0684581948899413,0.000176758299146776,0.00116672208960189,"HECO"
"beta[3,9]",0.868630814102899,0.0437944911582245,0.000113076889940954,0.00116205129230329,"PASM"
"beta[4,9]",0.751652428504746,0.0738142241363968,0.000190587507195658,0.00144134447524938,"POSE"
"beta[1,10]",0.758269018912632,0.0747239335084106,0.000192936366694123,0.000739059088784367,"BOGR"
"beta[2,10]",0.861567691308773,0.071700103486593,0.000185128871149949,0.00125236824138722,"HECO"
