"modelNum","Species","DIC"
1,"BOGR",52.0224574736049
2,"BOGR",53.8345031103199
3,"BOGR",161.639783000975
4,"BOGR",52.4754736560632
5,"BOGR",52.5621716756048
6,"BOGR",56.4738082611486
7,"BOGR",56.9568391927088
8,"BOGR",53.7413440716814
9,"BOGR",51.2631907749754
10,"BOGR",51.2566301899363
11,"BOGR",52.4606459007098
12,"BOGR",53.9440649112218
13,"BOGR",49.2487359791411
14,"BOGR",49.470081665516
15,"BOGR",51.6385496702995
16,"BOGR",50.7261464096984
17,"BOGR",51.9521659953865
18,"BOGR",56.0123237331196
19,"BOGR",50.3701993565155
20,"BOGR",52.1112467834135
21,"BOGR",47.8903117959825
22,"BOGR",48.7604654033353
23,"BOGR",49.1049781678034
24,"BOGR",NA
25,"BOGR",47.1914017131277
1,"HECO",67.3897703278789
2,"HECO",70.7483635554961
3,"HECO",66.7090742974132
4,"HECO",NA
5,"HECO",69.9807811383937
6,"HECO",69.9929741927353
7,"HECO",67.8650636609679
8,"HECO",70.9327056829488
9,"HECO",68.8142340510809
10,"HECO",251.004731933076
11,"HECO",NA
12,"HECO",68.4044030878079
13,"HECO",65.9575426049607
14,"HECO",70.7717353936495
15,"HECO",68.4639304788701
16,"HECO",66.7170757355589
17,"HECO",67.6705065652722
18,"HECO",67.8544131362315
19,"HECO",67.4865082536323
20,"HECO",69.3431979067718
21,"HECO",59.965788495136
22,"HECO",59.9864665546629
23,"HECO",60.113472612779
24,"HECO",60.8852615355128
25,"HECO",59.1735956755185
1,"PASM",46.8614979839637
2,"PASM",52.5974563090231
3,"PASM",162.790002614108
4,"PASM",49.4587124958573
5,"PASM",50.4918919573624
6,"PASM",52.713114698063
7,"PASM",52.4009295778881
8,"PASM",53.7573246676057
9,"PASM",49.8251229707526
10,"PASM",49.2223585342537
11,"PASM",NA
12,"PASM",49.678111252344
13,"PASM",NA
14,"PASM",46.3060897285995
15,"PASM",NA
16,"PASM",NA
17,"PASM",48.5924889752872
18,"PASM",51.9610633434831
19,"PASM",46.6618917633398
20,"PASM",47.6805321839072
21,"PASM",43.4974409523948
22,"PASM",44.0252747657653
23,"PASM",44.1190250524593
24,"PASM",NA
25,"PASM",41.6454034598339
1,"POSE",67.3110793480864
2,"POSE",70.1429348496229
3,"POSE",67.0327870945022
4,"POSE",146.673632702502
5,"POSE",67.6900732006965
6,"POSE",102.129224203722
7,"POSE",64.9341283680796
8,"POSE",68.6358981032242
9,"POSE",66.1747237019798
10,"POSE",63.308043186049
11,"POSE",61.1823532811923
12,"POSE",61.1888080858017
13,"POSE",63.1884238268861
14,"POSE",55.2084420061052
15,"POSE",56.3134076347285
16,"POSE",63.2471251871564
17,"POSE",65.7367738733673
18,"POSE",63.7137515400357
19,"POSE",55.7077437957312
20,"POSE",55.4012271695607
21,"POSE",60.9651282740114
22,"POSE",54.6874395831093
23,"POSE",54.3436271945089
24,"POSE",53.8669729509983
25,"POSE",53.6444406298014
