"year","(Intercept).yr","logage.yr","Group","GrpName","(Intercept)","logage","W1","W2","W3","W4","W5","alpha"
30,0.181900991352705,0.06965629912966,-0.190628358037234,"E1",0.329874767231185,0.223103641820708,-0.000343375328620103,0.0271512750173623,-0.0715850095769053,-0.00687300170693104,-0.933579160701167,0.004
32,-0.0955641916936918,-0.132624980083738,-0.278351576791476,"P1",NA,NA,NA,NA,NA,NA,NA,0.047
33,-0.249186519213428,-0.153018210831371,-0.0960534826051956,"P10E1",NA,NA,NA,NA,NA,NA,NA,0.039
36,0.130411528688049,0.049939169570754,-0.213628403652024,"P1E1",NA,NA,NA,NA,NA,NA,NA,0.018
37,0.271014036435538,0.204717650672537,0.7889407567505,"P7E1",NA,NA,NA,NA,NA,NA,NA,0.05
38,0.322378278653797,0.228643428228889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.458732994212974,0.278763773118017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0787107693187105,-0.0884759264517638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.621129585649216,-0.387465905149730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.698473291562311,0.267470035041231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.268755995236769,0.0077477255450396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.00457702599753624,0.359475588373074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.0907044915457572,0.0956013039659464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.290885416065458,0.191511560354797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.137020976433543,-0.178419333525382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-1.12306414434756,-0.756732305348663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,-0.290980125137355,-0.111426543014562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
