"quad","year","totNumber"
"Q14",30,1
"Q21",31,2
"Q14",32,1
"Q5",32,1
"Q5",33,1
"Q5",36,2
"Q8",36,1
"Q5",37,3
"Q5",38,2
"Q10",39,1
"Q5",39,2
"Q10",40,1
"Q5",40,4
"Q5",41,6
"Q14",42,3
"Q20",42,1
"Q20",45,4
"Q21",45,7
"Q5",45,26
"Q20",46,18
"Q21",46,8
"Q5",46,36
"Q6",46,9
"Q20",47,22
"Q21",47,10
"Q5",47,27
"Q6",47,11
"Q20",49,54
"Q21",49,15
"Q22",49,2
"Q5",49,10
"Q6",49,12
"Q13",50,1
"Q20",50,38
"Q21",50,14
"Q22",50,3
"Q5",50,9
"Q6",50,8
"Q20",51,38
"Q21",51,14
"Q22",51,12
"Q26",51,1
"Q5",51,6
"Q6",51,4
"Q20",52,43
"Q21",52,17
"Q22",52,13
"Q5",52,8
"Q20",54,40
"Q21",54,21
"Q22",54,20
"Q26",54,2
"Q5",54,5
"Q20",55,38
"Q21",55,26
"Q22",55,17
"Q26",55,3
"Q5",55,2
"Q6",55,9
"Q14",56,4
"Q20",56,24
"Q21",56,10
"Q22",56,28
"Q26",56,1
"Q5",56,2
