"quad","t1","t0","rep","cover.t0","cover.t1","obs.cover.t1"
"A1",33,32,1,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,2,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,3,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,4,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,5,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,6,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,7,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,8,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,9,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,10,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,11,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,12,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,13,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,14,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,15,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,16,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,17,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,18,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,19,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,20,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,21,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,22,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,23,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,24,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,25,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,26,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,27,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,28,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,29,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,30,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,31,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,32,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,33,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,34,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,35,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,36,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,37,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,38,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,39,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,40,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,41,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,42,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,43,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,44,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,45,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,46,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,47,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,48,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,49,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,50,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,51,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,52,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,53,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,54,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,55,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,56,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,57,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,58,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,59,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,60,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,61,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,62,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,63,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,64,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,65,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,66,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,67,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,68,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,69,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,70,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,71,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,72,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,73,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,74,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,75,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,76,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,77,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,78,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,79,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,80,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,81,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,82,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,83,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,84,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,85,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,86,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,87,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,88,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,89,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,90,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,91,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,92,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,93,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,94,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,95,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,96,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,97,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,98,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,99,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",33,32,100,0.00180303793284309,0.00114091745651542,0.00258794626260061
"A1",34,33,1,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,2,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,3,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,4,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,5,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,6,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,7,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,8,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,9,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,10,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,11,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,12,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,13,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,14,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,15,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,16,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,17,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,18,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,19,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,20,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,21,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,22,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,23,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,24,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,25,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,26,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,27,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,28,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,29,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,30,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,31,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,32,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,33,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,34,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,35,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,36,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,37,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,38,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,39,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,40,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,41,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,42,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,43,0.00258794626260061,0.00119037880627759,0.0028529575775678
"A1",34,33,44,0.00258794626260061,0.00119037880627759,0.0028529575775678
