"quad","t1","t0","rep","cover.t0","cover.t1","obs.cover.t1"
"A1",33,32,1,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,2,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,3,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,4,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,5,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,6,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,7,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,8,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,9,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,10,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,11,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,12,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,13,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,14,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,15,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,16,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,17,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,18,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,19,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,20,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,21,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,22,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,23,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,24,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,25,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,26,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,27,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,28,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,29,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,30,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,31,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,32,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,33,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,34,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,35,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,36,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,37,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,38,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,39,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,40,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,41,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,42,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,43,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,44,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,45,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,46,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,47,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,48,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,49,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,50,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,51,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,52,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,53,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,54,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,55,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,56,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,57,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,58,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,59,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,60,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,61,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,62,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,63,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,64,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,65,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,66,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,67,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,68,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,69,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,70,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,71,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,72,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,73,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,74,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,75,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,76,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,77,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,78,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,79,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,80,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,81,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,82,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,83,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,84,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,85,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,86,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,87,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,88,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,89,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,90,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,91,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,92,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,93,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,94,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,95,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,96,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,97,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,98,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,99,0.277688149357767,0.259726198026499,0.42704639717582
"A1",33,32,100,0.277688149357767,0.259726198026499,0.42704639717582
"A1",34,33,1,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,2,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,3,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,4,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,5,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,6,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,7,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,8,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,9,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,10,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,11,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,12,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,13,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,14,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,15,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,16,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,17,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,18,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,19,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,20,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,21,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,22,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,23,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,24,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,25,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,26,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,27,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,28,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,29,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,30,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,31,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,32,0.427046397175821,0.282366977107351,0.391563676540035
"A1",34,33,33,0.427046397175821,0.282366977107351,0.391563676540035
