"quad","year","totNumber"
"Q3",32,1
"Q4",32,1
"Q5",32,3
"Q7",32,1
"Q3",33,1
"Q4",33,1
"Q5",33,3
"Q6",33,2
"Q7",33,2
"Q3",34,1
"Q5",34,3
"Q6",34,1
"Q7",34,2
"Q23",35,1
"Q25",35,2
"Q3",35,1
"Q4",35,2
"Q5",35,5
"Q6",35,2
"Q7",35,3
"Q22",36,1
"Q23",36,1
"Q25",36,1
"Q3",36,8
"Q4",36,16
"Q5",36,3
"Q6",36,16
"Q7",36,4
"Q23",37,1
"Q25",37,1
"Q3",37,2
"Q4",37,1
"Q5",37,5
"Q6",37,2
"Q7",37,3
"Q3",38,3
"Q4",38,1
"Q5",38,5
"Q6",38,3
"Q7",38,1
"Q22",39,1
"Q23",39,1
"Q26",39,1
"Q3",39,1
"Q5",39,2
"Q6",39,8
"Q23",40,1
"Q25",40,1
"Q3",40,1
"Q4",40,2
"Q5",40,12
"Q6",40,3
"Q25",41,1
"Q4",41,1
"Q5",41,4
"Q6",41,2
"Q23",42,5
"Q25",42,6
"Q26",42,6
"Q3",42,6
"Q4",42,5
"Q5",42,18
"Q6",42,6
"Q7",42,4
"Q10",45,2
"Q14",45,1
"Q5",45,2
"Q6",45,1
"Q10",46,2
"Q25",46,1
"Q4",46,1
"Q5",46,32
"Q6",46,1
"Q7",46,7
"Q10",47,3
"Q25",47,1
"Q26",47,2
"Q3",47,4
"Q4",47,5
"Q5",47,20
"Q6",47,10
"Q7",47,1
"Q10",49,1
"Q25",49,1
"Q5",49,4
"Q6",49,8
"Q10",50,5
"Q25",50,5
"Q26",50,1
"Q3",50,2
"Q5",50,10
"Q6",50,9
"Q7",50,1
"Q10",51,2
"Q23",51,1
"Q25",51,3
"Q3",51,3
"Q5",51,4
"Q6",51,8
"Q7",51,1
"Q10",52,5
"Q19",52,1
"Q23",52,1
"Q25",52,5
"Q3",52,4
"Q5",52,4
"Q6",52,7
"Q7",52,4
"Q10",54,3
"Q19",54,1
"Q23",54,1
"Q25",54,1
"Q3",54,2
"Q4",54,1
"Q5",54,4
"Q6",54,6
"Q7",54,6
"Q10",55,5
"Q23",55,2
"Q25",55,10
"Q3",55,3
"Q4",55,1
"Q5",55,6
"Q6",55,10
"Q7",55,6
"Q25",56,4
