"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea.t0","crowdSame","crowdOther1","crowdOther2","crowdOther3","ppt1","TmeanSpr1","ppt1:TmeanSpr1","alpha","sigma.a","sigma.b"
"32",-0.0433484933558258,-0.00893033195738563,0.0290134130192148,1,1.4004713882824,0.587039311189466,-0.0618273720514703,-0.000427738224917676,-0.00369137152493536,-0.00324161055428408,-0.0193058560870123,-0.120064240373778,0.00151988557172893,0.01,0.4243501410081,0.170714357223952
"33",-0.097150777159879,-0.150678816063147,-0.0540352395637086,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA
"34",0.051653189502139,-0.254774722673485,-0.0860167411345979,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"35",-0.0639986787213182,-0.095916735110245,-0.0118378895727477,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA
"36",-0.151846154698893,-0.164309479559865,0.0717635728100779,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.274760427480301,0.0705819874866911,0.0511130441128853,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-0.0575174811203574,0.0593730724527237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.0427031352131807,0.0660838338976027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.0562656302654512,0.128426743495283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.0449103633584736,0.0847508531931789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",0.0519729551791147,0.0513802433674923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.0269438876944146,0.0860820239783976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.0455266379579265,0.127942212605647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
