"","dics","model"
"14",12543.4593265866,14
"6",12544.5774871212,6
"11",12545.2133377639,11
"10",12546.4230252667,10
"17",12549.1361070326,17
"7",12549.1451707953,7
"16",12549.5271317627,16
"21",12549.5602433048,21
"5",12549.7128227495,5
"8",12549.8768107754,8
"9",12550.1529390411,9
"3",12550.6581118369,3
"2",12550.8191343124,2
"1",12550.9250053601,1
"4",12552.9525093032,4
"20",12553.2810694565,20
"15",12554.8092740303,15
"19",12555.2705753385,19
"18",12559.4997664733,18
"12",12610.8822219186,12
"13",12617.2185743456,13
