"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea.t0","crowdSame","crowdOther1","crowdOther2","crowdOther3","TmeanSpr1","logarea.t0:crowdSame","alpha","sigma.a","sigma.b"
"32",0.142979966829585,-0.0853253944824666,0.015656505992892,1,-4.71250906151376,0.531504101110472,-0.250550622448421,0.000631087000437454,-0.0113550512455038,-0.0459200928791466,0.374043266874256,0.0679875001343125,0.01,1.01300152351854,-0.0565795876490684
"33",0.24018399642371,-0.102265733296194,-0.10457952932452,2,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA
"34",0.182541368152815,-0.0511318572059056,-0.0282150032869829,3,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"35",0.425795633363084,0.279584663147007,-0.0347841535856366,4,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA
"36",-0.243610432040271,-0.000169875557828092,0.195781527104368,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1.06089875214209,0.11027196559828,-0.0438623667031878,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-0.271477244008468,0.031697018256803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.265461776883055,0.0626756582354302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.00897262093206429,0.0521794331689749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.738376480318538,-0.224363462864912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.34932830518142,-0.0292925287626661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.358246298843154,-0.0837425132203595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.165127453790667,0.0398936693692053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
