"","dics","model"
"5",5631.84889186896,5
"16",5634.7642269006,16
"11",5634.80715495309,11
"12",5635.07503797703,12
"19",5635.84636075247,19
"7",5636.23688419636,7
"14",5636.35101062501,14
"15",5636.47423249284,15
"8",5636.47610459548,8
"18",5636.53729356241,18
"20",5636.99880865031,20
"2",5637.30528269573,2
"13",5637.78552916315,13
"9",5638.01042627742,9
"4",5638.09112407497,4
"6",5638.78412504062,6
"1",5639.2720635112,1
"17",5640.20255608264,17
"3",5642.56602471524,3
"21",5644.77885689051,21
"10",6119.22894089025,10
