"quad","year","totNumber"
"Q25",32,83
"Q5",32,110
"Q6",32,10
"Q14",33,2
"Q24",33,1
"Q25",33,145
"Q5",33,172
"Q6",33,8
"Q9",33,3
"Q25",34,14
"Q5",34,3
"Q6",34,10
"Q14",35,1
"Q18",35,2
"Q25",35,82
"Q5",35,62
"Q6",35,8
"Q25",36,107
"Q26",36,1
"Q5",36,135
"Q6",36,26
"Q25",37,108
"Q5",37,118
"Q6",37,26
"Q25",38,6
"Q19",40,1
"Q22",40,1
"Q5",40,3
"Q6",40,9
"Q13",42,1
"Q25",42,20
"Q5",42,43
"Q6",42,4
"Q8",46,1
"Q3",51,1
"Q10",52,2
"Q3",52,2
"Q7",52,1
"Q3",54,1
"Q25",55,11
