"quad","year","totNumber"
"Q19",23,1
"Q19",26,1
"Q19",27,1
"Q19",29,1
"Q11",30,1
"Q12",30,10
"Q14",30,4
"Q19",30,1
"Q11",31,2
"Q12",31,9
"Q14",31,5
"Q19",31,1
"Q11",32,2
"Q12",32,8
"Q14",32,4
"Q19",32,1
"Q2",32,2
"Q3",32,2
"Q4",32,1
"Q5",32,2
"Q6",32,8
"Q11",33,2
"Q12",33,9
"Q14",33,4
"Q19",33,1
"Q2",33,2
"Q3",33,5
"Q4",33,1
"Q5",33,1
"Q6",33,6
"Q11",34,2
"Q12",34,6
"Q14",34,3
"Q19",34,2
"Q2",34,2
"Q3",34,2
"Q4",34,1
"Q5",34,1
"Q6",34,5
"Q11",35,5
"Q12",35,12
"Q14",35,3
"Q19",35,1
"Q2",35,5
"Q3",35,2
"Q4",35,1
"Q5",35,1
"Q6",35,4
"Q10",36,1
"Q11",36,16
"Q12",36,31
"Q13",36,5
"Q14",36,14
"Q19",36,1
"Q2",36,62
"Q25",36,2
"Q26",36,1
"Q3",36,3
"Q4",36,15
"Q5",36,36
"Q6",36,89
"Q8",36,2
"Q9",36,3
"Q10",37,1
"Q11",37,4
"Q12",37,11
"Q14",37,4
"Q19",37,1
"Q2",37,45
"Q25",37,1
"Q26",37,1
"Q3",37,17
"Q4",37,8
"Q5",37,15
"Q6",37,56
"Q7",37,1
"Q8",37,2
"Q9",37,2
"Q10",38,1
"Q11",38,6
"Q12",38,12
"Q14",38,9
"Q19",38,1
"Q2",38,37
"Q25",38,1
"Q26",38,1
"Q3",38,14
"Q4",38,6
"Q5",38,18
"Q6",38,28
"Q7",38,2
"Q8",38,1
"Q11",39,3
"Q12",39,12
"Q14",39,8
"Q19",39,1
"Q2",39,23
"Q25",39,2
"Q26",39,1
"Q3",39,12
"Q4",39,7
"Q5",39,17
"Q6",39,33
"Q7",39,1
"Q8",39,2
"Q11",40,6
"Q12",40,17
"Q14",40,11
"Q19",40,1
"Q2",40,26
"Q25",40,2
"Q26",40,1
"Q3",40,19
"Q4",40,5
"Q5",40,19
"Q6",40,48
"Q7",40,1
"Q8",40,1
"Q11",41,4
"Q12",41,13
"Q14",41,8
"Q19",41,1
"Q2",41,33
"Q25",41,2
"Q26",41,1
"Q3",41,20
"Q4",41,8
"Q5",41,20
"Q6",41,58
"Q7",41,1
"Q8",41,1
"Q10",42,1
"Q11",42,5
"Q14",42,8
"Q19",42,1
"Q2",42,34
"Q25",42,2
"Q26",42,1
"Q3",42,22
"Q4",42,9
"Q5",42,30
"Q6",42,65
"Q7",42,1
"Q8",42,2
"Q10",45,1
"Q11",45,4
"Q12",45,4
"Q14",45,9
"Q19",45,5
"Q2",45,8
"Q25",45,3
"Q3",45,15
"Q4",45,6
"Q5",45,6
"Q6",45,9
"Q8",45,2
"Q10",46,1
"Q11",46,3
"Q12",46,2
"Q13",46,1
"Q14",46,7
"Q19",46,1
"Q2",46,16
"Q25",46,3
"Q26",46,1
"Q3",46,15
"Q4",46,5
"Q5",46,10
"Q6",46,31
"Q8",46,2
"Q10",47,1
"Q11",47,3
"Q12",47,3
"Q14",47,7
"Q19",47,1
"Q2",47,17
"Q25",47,3
"Q26",47,1
"Q3",47,16
"Q4",47,6
"Q5",47,13
"Q6",47,27
"Q8",47,2
"Q10",49,1
"Q11",49,2
"Q12",49,3
"Q14",49,5
"Q19",49,1
"Q2",49,8
"Q25",49,3
"Q26",49,1
"Q3",49,10
"Q4",49,3
"Q5",49,11
"Q6",49,17
"Q8",49,1
"Q10",50,1
"Q11",50,3
"Q12",50,3
"Q14",50,7
"Q19",50,1
"Q2",50,15
"Q25",50,3
"Q26",50,1
"Q3",50,14
"Q4",50,5
"Q5",50,14
"Q6",50,18
"Q8",50,2
"Q10",51,1
"Q12",51,1
"Q19",51,1
"Q2",51,14
"Q25",51,3
"Q26",51,1
"Q3",51,14
"Q4",51,5
"Q5",51,13
"Q6",51,17
"Q8",51,2
"Q10",52,1
"Q11",52,3
"Q12",52,2
"Q13",52,2
"Q14",52,9
"Q19",52,1
"Q2",52,13
"Q25",52,3
"Q26",52,1
"Q3",52,12
"Q4",52,3
"Q5",52,14
"Q6",52,11
"Q8",52,2
"Q10",54,3
"Q12",54,4
"Q19",54,1
"Q2",54,12
"Q23",54,1
"Q25",54,3
"Q26",54,1
"Q3",54,16
"Q4",54,2
"Q5",54,13
"Q6",54,14
"Q8",54,2
"Q10",55,3
"Q12",55,6
"Q19",55,4
"Q2",55,15
"Q25",55,4
"Q26",55,1
"Q3",55,17
"Q4",55,3
"Q5",55,12
"Q6",55,11
"Q8",55,1
"Q10",56,1
"Q11",56,1
"Q12",56,2
"Q14",56,10
"Q19",56,1
"Q2",56,10
"Q25",56,6
"Q26",56,1
"Q3",56,15
"Q4",56,3
"Q5",56,6
"Q6",56,11
"Q8",56,1
"Q10",57,1
"Q14",57,5
"Q8",57,1
