"year","pptLag","ppt1","TmeanSum1","ppt2","TmeanSum2"
1915,38.5,20.6,19.2571428571429,21.5,20.3142857142857
1916,19.5,21.5,20.3142857142857,11.4,18.6142857142857
1917,25.4,11.4,18.6142857142857,15.4,20.6571428571429
1918,15.9,15.4,20.6571428571429,25.6,18.7428571428571
1919,36.2,25.6,18.7428571428571,26.4,20.4285714285714
1920,29.4,26.4,20.4285714285714,15.4,20.4714285714286
1921,22.4,15.4,20.4714285714286,14.6,20.1714285714286
1922,11.5,14.6,20.1714285714286,12.9,20.3714285714286
1923,25.3,12.9,20.3714285714286,11.8,21.2857142857143
1924,18.7,11.8,21.2857142857143,16,20.8
1925,15.4,16,20.8,36,20.7285714285714
1926,38.8,36,20.7285714285714,16.3,20.7142857142857
1927,29.1,16.3,20.7142857142857,19.8,20.3
1928,16.9,19.8,20.3,22.8,20.8428571428571
1929,31,22.8,20.8428571428571,15.4,21.3571428571429
1930,21.5,15.4,21.3571428571429,20.2,21.5571428571429
1931,29.1,20.2,21.5571428571429,24.5,19.6857142857143
1932,32.2,24.5,19.6857142857143,20,21.0142857142857
1933,26.9,20,21.0142857142857,10.4,22.4
1934,11.3,10.4,22.4,22,20.9857142857143
1935,27.1,22,20.9857142857143,20.3,20.9857142857143
1936,27,20.3,20.9857142857143,17.5,20.4571428571429
1937,23.1,17.5,20.4571428571429,25.7,20.2
1938,31.7,25.7,20.2,14.7,20.4
1939,21.4,14.7,20.4,22.5,20.9142857142857
1940,28.4,22.5,20.9142857142857,33,19.9
1941,43.1,33,19.9,16.8,20.9857142857143
1942,25.3,16.8,20.9857142857143,14.9,21.7714285714286
1943,19.8,14.9,21.7714285714286,15.5,20.3571428571429
1944,22.7,15.5,20.3571428571429,9.9,20.7857142857143
1945,15.5,9.9,20.7857142857143,22.4,21.6142857142857
1946,27.7,22.4,21.6142857142857,17.4,21.2428571428571
1947,21.8,17.4,21.2428571428571,25.1,21.6857142857143
1948,37.1,25.1,21.6857142857143,33.9,20.8
1949,49,33.9,20.8,19.9,21.2571428571429
1950,34.9,19.9,21.2571428571429,8.2,21.6142857142857
1951,16.2,8.2,21.6142857142857,13.9,21.3714285714286
1952,20.6,13.9,21.3714285714286,5.4,21.4857142857143
1953,8.9,5.4,21.4857142857143,18.4,22.0428571428571
1954,14.1,18.4,22.0428571428571,15,19.6142857142857
1955,20.4,15,19.6142857142857,7.7,20.2
1956,12.6,7.7,20.2,21.4,20.2714285714286
1957,20.3,21.4,20.2714285714286,25.8,20.6285714285714
1958,35.9,25.8,20.6285714285714,21.7,19.5857142857143
1959,26.3,21.7,19.5857142857143,9.9,19.0857142857143
1960,12.9,9.9,19.0857142857143,24.8,19.5571428571429
1961,33.5,24.8,19.5571428571429,33.4,19.7285714285714
1962,38.5,33.4,19.7285714285714,11.8,18.1
1963,17.7,11.8,18.1,18.9,20.1142857142857
1964,22.8,18.9,20.1142857142857,9.9,20.9714285714286
1965,12.9,9.9,20.9714285714286,13.7,21.1571428571429
1966,20.7,13.7,21.1571428571429,15.1,20.8285714285714
1967,17.1,15.1,20.8285714285714,14.6,20.1142857142857
1968,25.5,14.6,20.1142857142857,19.2,21.5857142857143
1969,23,19.2,21.5857142857143,12.2,19.8714285714286
1970,19.4,12.2,19.8714285714286,16.4,20.6714285714286
1971,15.6,16.4,20.6714285714286,30,20.5428571428571
1972,32.5,30,20.5428571428571,14.5,19.3857142857143
1973,32.5,14.5,19.3857142857143,35.1,20.3285714285714
1974,29.1,35.1,20.3285714285714,17.9,19.4142857142857
1975,31.3,17.9,19.4142857142857,23.7,19.7714285714286
1976,25.9,23.7,19.7714285714286,14.2,21.2857142857143
1977,20.2,14.2,21.2857142857143,25.6,20.8857142857143
1978,29.9,25.6,20.8857142857143,17.4,19.5571428571429
1979,34.6,17.4,19.5571428571429,14.8,20.3857142857143
1980,22.2,14.8,20.3857142857143,22.9,20.8428571428571
1981,26.7,22.9,20.8428571428571,21.3,20.5714285714286
1982,26.1,21.3,20.5714285714286,16.4,18.2142857142857
1983,24.4,16.4,18.2142857142857,40.4,20.3428571428571
1984,45.4,40.4,20.3428571428571,27,20.2
1985,38.3,27,20.2,24.7,20.3714285714286
1986,31.4,24.7,20.3714285714286,19.6,19.7714285714286
1987,34.5,19.6,19.7714285714286,20.6,19.9
1988,28,20.6,19.9,19.7,20.6285714285714
1989,27.1,19.7,20.6285714285714,20.3,20.6857142857143
1990,24.4,20.3,20.6857142857143,26.5,19.7428571428571
1991,33.3,26.5,19.7428571428571,24.9,20.0428571428571
1992,39,24.9,20.0428571428571,18.5,20.6428571428571
1993,29.7,18.5,20.6428571428571,14,21.8
1994,18.9,14,21.8,16,20.5857142857143
1995,28.3,16,20.5857142857143,27.4,21.4714285714286
1996,27.1,27.4,21.4714285714286,31.2,20.8428571428571
1997,37.8,31.2,20.8428571428571,16,20.7714285714286
1998,19.1,16,20.7714285714286,27.8,21.3571428571429
1999,35.5,27.8,21.3571428571429,27.4,21.9142857142857
2000,26,27.4,21.9142857142857,13,20.9714285714286
2001,26.6,13,20.9714285714286,20.9,21.1857142857143
2002,22.3,20.9,21.1857142857143,8,21.1714285714286
2003,18.4,8,21.1714285714286,31.8,20.4571428571429
2004,35.7,31.8,20.4571428571429,17.8,20.8428571428571
2005,32.2,17.8,20.8428571428571,40.6,20.9
2006,35.6,40.6,20.9,24.2,20.6714285714286
2007,38.7,24.2,20.6714285714286,29.3,19.7
