"time","cover","species","climsim","vital"
632,0.000399266435008527,3,"temp","growth_rec"
633,0.000247724921443697,3,"temp","growth_rec"
634,0.000275309435229842,3,"temp","growth_rec"
635,0.000287882794413199,3,"temp","growth_rec"
636,0.000408598151467848,3,"temp","growth_rec"
637,0.000411566842363392,3,"temp","growth_rec"
638,0.00060576970012126,3,"temp","growth_rec"
639,0.000784854529372745,3,"temp","growth_rec"
640,0.000596218316079194,3,"temp","growth_rec"
641,0.000612840283489571,3,"temp","growth_rec"
642,0.000699039398040134,3,"temp","growth_rec"
643,0.000706262960792812,3,"temp","growth_rec"
644,0.00101415728870045,3,"temp","growth_rec"
645,0.000596225009902255,3,"temp","growth_rec"
646,0.000601440276924394,3,"temp","growth_rec"
647,0.000563724327366314,3,"temp","growth_rec"
648,0.000576937355555806,3,"temp","growth_rec"
649,0.000720733219630717,3,"temp","growth_rec"
650,0.000688559205165595,3,"temp","growth_rec"
651,0.000433992777314132,3,"temp","growth_rec"
652,0.000438041795607389,3,"temp","growth_rec"
653,0.000817906817696684,3,"temp","growth_rec"
654,0.000912804660785736,3,"temp","growth_rec"
655,0.000746573292571718,3,"temp","growth_rec"
656,0.00105354863513299,3,"temp","growth_rec"
657,0.000616096612544304,3,"temp","growth_rec"
658,0.000570529886445379,3,"temp","growth_rec"
659,0.000459765094159093,3,"temp","growth_rec"
660,0.000755790833219484,3,"temp","growth_rec"
661,0.000904566251510327,3,"temp","growth_rec"
662,0.000859953999661171,3,"temp","growth_rec"
663,0.000506363820630333,3,"temp","growth_rec"
664,0.000420965292166152,3,"temp","growth_rec"
665,0.000712000112907233,3,"temp","growth_rec"
666,0.000640507987609895,3,"temp","growth_rec"
667,0.000403021591406911,3,"temp","growth_rec"
668,0.000450140209586798,3,"temp","growth_rec"
669,0.000284475186374533,3,"temp","growth_rec"
670,0.00045230991639285,3,"temp","growth_rec"
671,0.00039722046646642,3,"temp","growth_rec"
672,0.00025177676091472,3,"temp","growth_rec"
673,0.000203578843534983,3,"temp","growth_rec"
674,0.000335747880035166,3,"temp","growth_rec"
675,0.000341995525569281,3,"temp","growth_rec"
676,0.00021040730807443,3,"temp","growth_rec"
677,0.000279435592661683,3,"temp","growth_rec"
678,0.00031281054159473,3,"temp","growth_rec"
679,0.000542123359273058,3,"temp","growth_rec"
680,0.000661876322472341,3,"temp","growth_rec"
681,0.000568237522990157,3,"temp","growth_rec"
682,0.000745893618206402,3,"temp","growth_rec"
683,0.000742424383042728,3,"temp","growth_rec"
684,0.00067932671992774,3,"temp","growth_rec"
685,0.000411263324308764,3,"temp","growth_rec"
686,0.000451659182711012,3,"temp","growth_rec"
687,0.000285250882127125,3,"temp","growth_rec"
688,0.000345938867294099,3,"temp","growth_rec"
689,0.000282654043334362,3,"temp","growth_rec"
690,0.000295087597424805,3,"temp","growth_rec"
691,0.000349106150024391,3,"temp","growth_rec"
692,0.000537667017560527,3,"temp","growth_rec"
693,0.000516468630123429,3,"temp","growth_rec"
694,0.000377469647395861,3,"temp","growth_rec"
695,0.000399748087466324,3,"temp","growth_rec"
696,0.000485353068999635,3,"temp","growth_rec"
697,0.000510792588884851,3,"temp","growth_rec"
698,0.000467078006044985,3,"temp","growth_rec"
699,0.000835196485625804,3,"temp","growth_rec"
700,0.000470723457481979,3,"temp","growth_rec"
701,0.00052718130502798,3,"temp","growth_rec"
702,0.000567661465693083,3,"temp","growth_rec"
703,0.00084293722002183,3,"temp","growth_rec"
704,0.000804397368951952,3,"temp","growth_rec"
705,0.000873053972386265,3,"temp","growth_rec"
706,0.000959703289282669,3,"temp","growth_rec"
707,0.00115371827752584,3,"temp","growth_rec"
708,0.000806324532101307,3,"temp","growth_rec"
709,0.000878010373087445,3,"temp","growth_rec"
710,0.000836476785853271,3,"temp","growth_rec"
711,0.000797911735598956,3,"temp","growth_rec"
712,0.000885627268020469,3,"temp","growth_rec"
713,0.000956700170300476,3,"temp","growth_rec"
714,0.000585334707160237,3,"temp","growth_rec"
715,0.000495991031938667,3,"temp","growth_rec"
716,0.000590971618722799,3,"temp","growth_rec"
717,0.000376607313472757,3,"temp","growth_rec"
718,0.000435957655386179,3,"temp","growth_rec"
719,0.000456212012449307,3,"temp","growth_rec"
720,0.000492949418064573,3,"temp","growth_rec"
721,0.000837107501516351,3,"temp","growth_rec"
722,0.000649560665052346,3,"temp","growth_rec"
723,0.000471019703892343,3,"temp","growth_rec"
724,0.000470670714822629,3,"temp","growth_rec"
725,0.000306045119253158,3,"temp","growth_rec"
726,0.000372080288708021,3,"temp","growth_rec"
727,0.00037685368730788,3,"temp","growth_rec"
728,0.000243584695374063,3,"temp","growth_rec"
729,0.000205410801770245,3,"temp","growth_rec"
730,0.000176875288864803,3,"temp","growth_rec"
731,0.000204201427701199,3,"temp","growth_rec"
732,0.000206452662807306,3,"temp","growth_rec"
733,0.000134929485900961,3,"temp","growth_rec"
734,0.000159754913934283,3,"temp","growth_rec"
735,0.000179525090974321,3,"temp","growth_rec"
736,0.000186034282257654,3,"temp","growth_rec"
737,0.000146296347498546,3,"temp","growth_rec"
738,9.77685834031178e-05,3,"temp","growth_rec"
739,0.000175109583698328,3,"temp","growth_rec"
740,0.000161469676675807,3,"temp","growth_rec"
741,0.000130744634155851,3,"temp","growth_rec"
742,0.000152649663679909,3,"temp","growth_rec"
743,0.000122849612286774,3,"temp","growth_rec"
744,0.000130547075647344,3,"temp","growth_rec"
745,0.000150619104316393,3,"temp","growth_rec"
746,0.000145070535156334,3,"temp","growth_rec"
747,0.000266442940277157,3,"temp","growth_rec"
748,0.000338545969929203,3,"temp","growth_rec"
749,0.000331623730245444,3,"temp","growth_rec"
750,0.000231233689926959,3,"temp","growth_rec"
751,0.000405623601324244,3,"temp","growth_rec"
752,0.000375357009822463,3,"temp","growth_rec"
753,0.000351447961429461,3,"temp","growth_rec"
754,0.000502257461634984,3,"temp","growth_rec"
755,0.000646295884904372,3,"temp","growth_rec"
756,0.000632563469566509,3,"temp","growth_rec"
757,0.000604037419229059,3,"temp","growth_rec"
758,0.000965001230852988,3,"temp","growth_rec"
759,0.000833570871103979,3,"temp","growth_rec"
760,0.000790653148909866,3,"temp","growth_rec"
761,0.000472454980347485,3,"temp","growth_rec"
762,0.000512044114163639,3,"temp","growth_rec"
763,0.000544521861202887,3,"temp","growth_rec"
764,0.000339111891573512,3,"temp","growth_rec"
765,0.000609581564174757,3,"temp","growth_rec"
766,0.000361062025434747,3,"temp","growth_rec"
767,0.000379644726213849,3,"temp","growth_rec"
768,0.000480623274750745,3,"temp","growth_rec"
769,0.000659887208775148,3,"temp","growth_rec"
770,0.000534524824564847,3,"temp","growth_rec"
771,0.000483537093980184,3,"temp","growth_rec"
772,0.000519098887324613,3,"temp","growth_rec"
773,0.000519771649272345,3,"temp","growth_rec"
774,0.000495692857194292,3,"temp","growth_rec"
775,0.000545221163432296,3,"temp","growth_rec"
776,0.000342013749827357,3,"temp","growth_rec"
777,0.000538430105628703,3,"temp","growth_rec"
778,0.000324065086383168,3,"temp","growth_rec"
779,0.000338988191996598,3,"temp","growth_rec"
780,0.000368677603941536,3,"temp","growth_rec"
781,0.000423589374097513,3,"temp","growth_rec"
782,0.00074991236719908,3,"temp","growth_rec"
783,0.000593917066383506,3,"temp","growth_rec"
784,0.000817406487119186,3,"temp","growth_rec"
785,0.000747865664912123,3,"temp","growth_rec"
786,0.00115496371219661,3,"temp","growth_rec"
787,0.000960270614445555,3,"temp","growth_rec"
788,0.000891500046757621,3,"temp","growth_rec"
789,0.000884541892817218,3,"temp","growth_rec"
790,0.000805560078510692,3,"temp","growth_rec"
791,0.000776883191177152,3,"temp","growth_rec"
792,0.000809302942057284,3,"temp","growth_rec"
793,0.00087064708030792,3,"temp","growth_rec"
794,0.00146057249282938,3,"temp","growth_rec"
795,0.000814813857437976,3,"temp","growth_rec"
796,0.00133502421966406,3,"temp","growth_rec"
797,0.000743452830248572,3,"temp","growth_rec"
798,0.000842488590758076,3,"temp","growth_rec"
799,0.000507547904652768,3,"temp","growth_rec"
800,0.000532876298661,3,"temp","growth_rec"
801,0.000574677221899819,3,"temp","growth_rec"
802,0.000445195310282699,3,"temp","growth_rec"
803,0.000284754455369943,3,"temp","growth_rec"
804,0.000399363757247032,3,"temp","growth_rec"
805,0.00040168528327881,3,"temp","growth_rec"
806,0.000252357831686848,3,"temp","growth_rec"
807,0.000271083178515772,3,"temp","growth_rec"
808,0.000482053539539492,3,"temp","growth_rec"
809,0.000286296979559813,3,"temp","growth_rec"
810,0.000265138601599256,3,"temp","growth_rec"
811,0.000264571812152349,3,"temp","growth_rec"
812,0.000221158884620575,3,"temp","growth_rec"
813,0.000317498939260464,3,"temp","growth_rec"
814,0.000337538755355866,3,"temp","growth_rec"
815,0.000257533445778985,3,"temp","growth_rec"
816,0.000278875172373492,3,"temp","growth_rec"
817,0.000371971877306518,3,"temp","growth_rec"
818,0.000277208597156157,3,"temp","growth_rec"
819,0.000309757907640255,3,"temp","growth_rec"
820,0.000332085249479089,3,"temp","growth_rec"
821,0.000393954922220106,3,"temp","growth_rec"
822,0.000360470203353628,3,"temp","growth_rec"
823,0.000401150999294917,3,"temp","growth_rec"
824,0.000479870015861067,3,"temp","growth_rec"
825,0.000497141118564688,3,"temp","growth_rec"
826,0.000521198725953985,3,"temp","growth_rec"
827,0.000519473337747403,3,"temp","growth_rec"
828,0.000524766220118664,3,"temp","growth_rec"
829,0.000404994851560001,3,"temp","growth_rec"
830,0.000409584413292944,3,"temp","growth_rec"
831,0.000422054650784375,3,"temp","growth_rec"
832,0.000451277196914524,3,"temp","growth_rec"
833,0.000494216299472741,3,"temp","growth_rec"
834,0.000877153140539589,3,"temp","growth_rec"
835,0.000757158773791482,3,"temp","growth_rec"
836,0.00073230235491586,3,"temp","growth_rec"
837,0.000745863838760873,3,"temp","growth_rec"
838,0.000454602167750034,3,"temp","growth_rec"
839,0.000503942278358326,3,"temp","growth_rec"
840,0.000474870565047679,3,"temp","growth_rec"
841,0.000529296680017919,3,"temp","growth_rec"
842,0.000692046033606479,3,"temp","growth_rec"
843,0.000422240607154429,3,"temp","growth_rec"
844,0.000420037989673901,3,"temp","growth_rec"
845,0.000521489265012078,3,"temp","growth_rec"
846,0.0007689991099316,3,"temp","growth_rec"
847,0.000720674001408317,3,"temp","growth_rec"
848,0.000789001172719503,3,"temp","growth_rec"
849,0.000708785258255919,3,"temp","growth_rec"
850,0.000836274939676508,3,"temp","growth_rec"
851,0.000510408165422417,3,"temp","growth_rec"
852,0.000908362163309479,3,"temp","growth_rec"
853,0.000816812631760947,3,"temp","growth_rec"
854,0.000792352350895082,3,"temp","growth_rec"
855,0.000477110169399549,3,"temp","growth_rec"
856,0.000523365961981195,3,"temp","growth_rec"
857,0.000327396002198732,3,"temp","growth_rec"
858,0.000411062303548828,3,"temp","growth_rec"
859,0.00044463776692453,3,"temp","growth_rec"
860,0.000466043098362023,3,"temp","growth_rec"
861,0.00035698599139567,3,"temp","growth_rec"
862,0.000387048568562504,3,"temp","growth_rec"
863,0.000430213857837147,3,"temp","growth_rec"
864,0.000271746480022019,3,"temp","growth_rec"
865,0.000279946177585077,3,"temp","growth_rec"
866,0.000320302966460623,3,"temp","growth_rec"
867,0.00020501738427699,3,"temp","growth_rec"
868,0.000232709140558123,3,"temp","growth_rec"
869,0.000184712088953797,3,"temp","growth_rec"
870,0.000257940429179787,3,"temp","growth_rec"
871,0.000326370722785875,3,"temp","growth_rec"
872,0.000237239007225181,3,"temp","growth_rec"
873,0.00019010905006954,3,"temp","growth_rec"
874,0.000219916285805004,3,"temp","growth_rec"
875,0.000142378718585361,3,"temp","growth_rec"
876,0.000198094949736713,3,"temp","growth_rec"
877,0.000334690717775378,3,"temp","growth_rec"
878,0.000300825238905623,3,"temp","growth_rec"
879,0.000399064595463496,3,"temp","growth_rec"
880,0.000368842290604114,3,"temp","growth_rec"
881,0.000577060947989466,3,"temp","growth_rec"
882,0.000596776220913344,3,"temp","growth_rec"
883,0.000467082528990107,3,"temp","growth_rec"
884,0.000430685104449843,3,"temp","growth_rec"
885,0.000676708323167889,3,"temp","growth_rec"
886,0.00058741228367905,3,"temp","growth_rec"
887,0.000606930447101405,3,"temp","growth_rec"
888,0.00101359799109801,3,"temp","growth_rec"
889,0.000776069175976347,3,"temp","growth_rec"
890,0.00122604993261353,3,"temp","growth_rec"
891,0.000906771817297091,3,"temp","growth_rec"
892,0.000642745286729559,3,"temp","growth_rec"
893,0.000842134429237976,3,"temp","growth_rec"
894,0.00135610479573693,3,"temp","growth_rec"
895,0.00183255619406643,3,"temp","growth_rec"
896,0.00135667902893899,3,"temp","growth_rec"
897,0.00122400676598194,3,"temp","growth_rec"
898,0.0011849867646092,3,"temp","growth_rec"
899,0.00118283637782267,3,"temp","growth_rec"
900,0.000706390444211985,3,"temp","growth_rec"
901,0.000775505697147372,3,"temp","growth_rec"
902,0.000823188682405192,3,"temp","growth_rec"
903,0.00150468480539247,3,"temp","growth_rec"
904,0.00135201038305177,3,"temp","growth_rec"
905,0.00153748896184144,3,"temp","growth_rec"
906,0.00135798549607207,3,"temp","growth_rec"
907,0.00117641295572213,3,"temp","growth_rec"
908,0.00115763257482405,3,"temp","growth_rec"
909,0.0012635298739365,3,"temp","growth_rec"
910,0.00184556361968891,3,"temp","growth_rec"
911,0.00202911627796753,3,"temp","growth_rec"
912,0.00173763045669042,3,"temp","growth_rec"
913,0.000997228718488138,3,"temp","growth_rec"
914,0.00105952933861416,3,"temp","growth_rec"
915,0.00123830394835378,3,"temp","growth_rec"
916,0.00120371579667384,3,"temp","growth_rec"
917,0.0011280885125343,3,"temp","growth_rec"
918,0.00134230019507644,3,"temp","growth_rec"
919,0.00130941793748322,3,"temp","growth_rec"
920,0.000978508819312899,3,"temp","growth_rec"
921,0.000786691032481038,3,"temp","growth_rec"
922,0.000903546916319643,3,"temp","growth_rec"
923,0.00089879079009506,3,"temp","growth_rec"
924,0.000872572196107888,3,"temp","growth_rec"
925,0.00138206847986488,3,"temp","growth_rec"
926,0.00159572917486786,3,"temp","growth_rec"
927,0.00202774387384006,3,"temp","growth_rec"
928,0.00166788847869274,3,"temp","growth_rec"
929,0.00156657190118977,3,"temp","growth_rec"
930,0.00171069405776512,3,"temp","growth_rec"
931,0.00166109881515898,3,"temp","growth_rec"
932,0.0015854735737841,3,"temp","growth_rec"
933,0.00154216605538275,3,"temp","growth_rec"
934,0.00157076233486994,3,"temp","growth_rec"
935,0.0014575678893297,3,"temp","growth_rec"
936,0.00154383918650731,3,"temp","growth_rec"
937,0.00139320562709893,3,"temp","growth_rec"
938,0.000843065968494468,3,"temp","growth_rec"
939,0.000878109674801793,3,"temp","growth_rec"
940,0.000942720521775602,3,"temp","growth_rec"
941,0.00123083910025416,3,"temp","growth_rec"
942,0.00120654504154171,3,"temp","growth_rec"
943,0.00195275820321287,3,"temp","growth_rec"
944,0.00144685397808636,3,"temp","growth_rec"
945,0.00125360107450505,3,"temp","growth_rec"
946,0.0012958306462502,3,"temp","growth_rec"
947,0.00131685597825057,3,"temp","growth_rec"
948,0.000965666381488818,3,"temp","growth_rec"
949,0.00105697715945197,3,"temp","growth_rec"
950,0.00181447672963092,3,"temp","growth_rec"
951,0.00100560139590308,3,"temp","growth_rec"
952,0.00113860514034848,3,"temp","growth_rec"
953,0.00127280707024288,3,"temp","growth_rec"
954,0.00074655410627415,3,"temp","growth_rec"
955,0.000865768351645491,3,"temp","growth_rec"
956,0.000538782334944552,3,"temp","growth_rec"
957,0.000585273955562996,3,"temp","growth_rec"
958,0.000649126914254879,3,"temp","growth_rec"
959,0.000695068618814206,3,"temp","growth_rec"
960,0.00100789072178905,3,"temp","growth_rec"
961,0.000689108130708413,3,"temp","growth_rec"
962,0.000732829394630907,3,"temp","growth_rec"
963,0.00075838503768397,3,"temp","growth_rec"
964,0.000782615738920127,3,"temp","growth_rec"
965,0.000734574233446873,3,"temp","growth_rec"
966,0.000697092082643396,3,"temp","growth_rec"
967,0.000745464111003226,3,"temp","growth_rec"
968,0.000976551399404661,3,"temp","growth_rec"
969,0.000965121364072034,3,"temp","growth_rec"
970,0.00135916592644852,3,"temp","growth_rec"
971,0.00198766698230708,3,"temp","growth_rec"
972,0.00138859969997708,3,"temp","growth_rec"
973,0.00129929624388243,3,"temp","growth_rec"
974,0.00126736342136874,3,"temp","growth_rec"
975,0.00177485789219303,3,"temp","growth_rec"
976,0.00176497019852241,3,"temp","growth_rec"
977,0.00148676765654977,3,"temp","growth_rec"
978,0.0015189752714477,3,"temp","growth_rec"
979,0.00153331471805762,3,"temp","growth_rec"
980,0.00214658179080279,3,"temp","growth_rec"
