"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea","crowd","ppt1","TmeanSpr1","ppt2","TmeanSpr2","logarea:crowd","alpha"
"32",-0.688266185331844,0.102005615499108,0.0144935330699476,"A",3.24701686941457,0.778931148983233,-0.35893003990267,0.00344201936679029,-0.228276171182443,0.00513410298138489,-0.000733248523057923,0.137331700853186,0.01
"33",0.331251007576566,-0.137163338152547,0.0380324542053418,"B",NA,NA,NA,NA,NA,NA,NA,NA,0.025
"34",0.0695643000924693,-0.185812836597991,0.187402554661362,"C",NA,NA,NA,NA,NA,NA,NA,NA,0.02
"35",-0.294958427634768,-0.258917827918027,-0.137008063034883,"D",NA,NA,NA,NA,NA,NA,NA,NA,0.036
"36",-1.35253791579485,-0.53611301917296,0.00602698632527212,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.912242885824335,0.0523633456470713,-0.109262013169094,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.978862770711884,0.123663079377487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.374355255058224,0.481929151366935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.386449386986013,0.0693581370522211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.69639219529781,0.067262454235929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.57638648052511,0.0109902147968843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.775611513891759,0.264398696680992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.11073793959625,-0.158836011842777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
