"","dics","model"
"19",2903.73239461987,19
"18",2903.76110604253,18
"25",2903.82522309632,25
"20",2903.91012792919,20
"9",2903.94897048938,9
"8",2904.16931916888,8
"1",2904.17058481958,1
"7",2904.17122070755,7
"22",2904.17216730138,22
"15",2904.17777349733,15
"24",2904.21498885667,24
"6",2904.21574036892,6
"2",2904.23947983226,2
"16",2904.24013169264,16
"3",2904.25024766554,3
"17",2904.26864274814,17
"10",2904.32127286744,10
"4",2904.3436535335,4
"11",2904.35194218028,11
"23",2904.40966723809,23
"14",2904.43503706974,14
"5",2904.44173066293,5
"21",2904.44325908859,21
"12",2904.49126970575,12
"13",2904.51972522292,13
