"","x"
"1",1.83171829798652e-80
"2",1.72393357441723e-80
"3",1.50701626515512e-24
"4",4.35151085209477e-23
"5",0.00130263181603244
"6",6.07278078058211e-06
"7",0.0187383349072371
"8",0.000930990993180052
"9",0.00135367014720052
"10",1.40421419818935e-06
"11",5.61673874977734e-05
"12",2.58103035914762e-13
"13",0.018206123305977
"14",0.0334038713701401
"15",3.41761463028821e-07
"16",8.25007676030408e-13
"17",9.56321790570124e-09
"18",0.0334038111645231
"19",0.000294481502807226
"20",0.000799769116966408
"21",1.24750303473519e-06
"22",1.23214273696351e-88
"23",1.2321427369635e-88
"24",0
"25",5.3526085500433e-08
"26",0.35896776410048
"27",0.00101280024063807
"28",1.00901725676109e-05
"29",0.579952465794477
"30",0.540686203222452
"31",0.00101426998361291
"32",0.0219865590881422
"33",0.503586917973027
"34",8.22745787966766e-06
"35",0.0230762358540368
"36",1.12680648197881
"37",0.332177944132912
"38",0.0112325014437106
"39",4.21599244430644e-05
"40",0.0985843813364531
"41",0.000861563390026605
"42",7.87584598034583e-07
"43",0.216365439709966
"44",1.74959841708293e-05
"45",0.270402465223533
"46",0.000276214568029827
"47",0.00361836182338099
"48",0.00881984669542489
"49",0.220883095050745
"50",0.000193353386874645
"51",0.000728486069675881
"52",1.20405961925636
"53",6.05504646573772
"54",0.00577523743998897
"55",0.0889830047228295
"56",0.482127002967029
"57",0.918053349691476
"58",0.432824531763257
"59",0.923853539089791
"60",0.932230808638088
"61",0.0214845467591665
"62",0.005597409015323
"63",0.042099045501354
"64",4.08407452222255
"65",0.920921109918041
"66",0.0111164949602758
"67",0.229470706803948
"68",0.501398462571703
"69",0.574373173554031
"70",0.00582268186896527
"71",0.694014658590442
"72",0.0659776510583203
"73",0.299513000027381
"74",0.44520804732784
"75",3.3547715111246
"76",0.000291988265570301
"77",0.417189042267478
"78",0.0101014792917267
"79",0.268402624100257
"80",3.67453683958063
"81",0.394920601008141
"82",0.205966675157931
"83",1.00086569185908
"84",0.016644006687457
"85",3.88566560032614
"86",0.00186178975172516
"87",0.138245040223734
"88",2.3182066023406
"89",0.348537351200779
"90",0.113567475445343
"91",7.49799101639305
"92",0.430388696278779
"93",1.35873139324716
"94",0.905335280945437
"95",1.56320066362775
