"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea","crowd","ppt1","TmeanSpr1","ppt2","TmeanSpr2","logarea:crowd","alpha"
"32",-0.188618014038887,0.0271797916676938,-0.103455621074325,"A",-0.0150118111593451,0.720716340238932,-0.96826441100002,-0.000374652254534782,0.0696309249350882,-0.000616193899843024,0.0355729301809658,0.198250146327653,0.01
"33",0.0777027776941367,-0.032475682964769,-0.543378350531985,"B",NA,NA,NA,NA,NA,NA,NA,NA,0.025
"34",0.0588817679751191,-0.117727359443848,0.180474533912126,"C",NA,NA,NA,NA,NA,NA,NA,NA,0.02
"35",-0.0813724522833868,0.272342184612957,-0.116802065016979,"D",NA,NA,NA,NA,NA,NA,NA,NA,0.036
"36",-0.035017143740283,0.0203568726038834,0.547227800070117,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.432369351866233,0.174694731740307,0.0348793580006243,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.0999942170600751,-0.0846967146625772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.300419299862352,-0.160190681576248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-0.0263770427136483,0.1363139337623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.808966851538241,-0.249984300488991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.371672777962692,-0.19748157739409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.306068572426108,0.0100141121778141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.229165268450637,0.17506319188909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
