"","x"
"1",5.29048650676094e-67
"2",5.56066831628032e-67
"3",1.21446981990098e-21
"4",0.00219774260068103
"5",0.0619971204067458
"6",7.65733989157668e-22
"7",0.0681369642960377
"8",1.82753480563729e-22
"9",3.42260900011296e-08
"10",1.30946174425954e-22
"11",1.3797491479263e-08
"12",0.0239179718865553
"13",0.851605465706119
"14",0.000440965275343594
"15",0.0799667598579322
"16",0.288873534794281
"17",0.0156345291847818
"18",1.0122458976874
"19",0.000899277701821883
"20",4.91856469442931e-10
"21",0.0146010408604768
"22",2.26428378100355e-07
"23",0.0113225739273229
"24",0.000925303830726401
"25",0.013651834674574
"26",1.22371037265513e-17
"27",1.18961152246403
"28",1.55950590528216
"29",0.124613846762443
"30",0.57212510654174
"31",1.34690728022468e-07
"32",0.000451812845912869
"33",0.0546409210167423
"34",1.5105961597546
"35",1.52352441779309e-17
"36",0.0503831351083699
"37",0.00157832619997571
"38",0.00498240880044172
"39",0.0724170561316947
"40",0.17938766403195
"41",0.0218459853136231
"42",0.041117286492032
"43",0.00712737965515846
"44",1.42086671260509e-09
"45",0.194688340215583
"46",0.00297653455326764
"47",0.00046041132444164
"48",0.00839200872297818
"49",0.0167665923431983
"50",0.000278042099070276
"51",2.77272615665014e-08
"52",0.0252054593060358
"53",8.52835127766917e-13
"54",0.0333417056536031
"55",0.000209428858253942
"56",0.000231975739430411
"57",0.0990546330183477
"58",0.00760137046688244
"59",0.0365611833507441
"60",0.0150254069445939
"61",0.133272956826875
"62",1.56304193874179
"63",0.0195815245812123
"64",0.0755425548226646
"65",1.59220584762927e-06
"66",0.132316444327545
"67",0.11725219032996
"68",0.153145666090001
"69",0.000781701176759146
"70",0.00325192346074967
"71",0.38718076444714
"72",0.00936971971973258
"73",0.806149513238763
"74",1.98222437665255e-06
"75",0.343409997939055
"76",1.70379939987291e-09
"77",4.78202800499027e-13
"78",1.19881157310537e-07
"79",0.00190728114249435
"80",0.164959158708
"81",0.0517469225789368
"82",7.30956379837769e-05
"83",0.163494238050561
"84",0.00321809292450209
"85",9.14216558939469e-05
"86",0.00486948328130117
"87",0.529552507214209
"88",0.361579048354564
"89",0.00169415040907596
"90",0.238952964189322
"91",1.42447805454587
"92",0.000302500307813152
"93",5.34888735853848e-06
"94",0.230077838520215
"95",0.12429980877308
"96",0.0155815449115697
"97",0.213601828489608
"98",0.184378272006088
"99",1.47338650075771
"100",0.293608301028521
"101",1.07052342301614
"102",0.364994063748986
"103",0.249253477573651
"104",0.0235053807236142
"105",0.132911326213704
"106",0.674247424981436
"107",0.26442632049393
"108",0.0166536547458332
"109",0.00287450600327748
"110",0.222363954610898
"111",0.11594299315975
"112",0.408192284983617
"113",3.18385624156356
"114",4.28790854408331
"115",0.000669789411111726
"116",0.00426724977917053
"117",0.0501529535816253
"118",0.343228820510347
"119",0.000825629411423808
"120",0.000293909048081151
"121",1.69622511455466
"122",1.75414252060697
"123",0.368438497673846
"124",0.521912568213718
"125",0.274488844707751
"126",3.22945035761734e-09
"127",0.293500469300643
"128",0.527924892647547
"129",0.527327410644082
"130",0.303206611394539
"131",0.00426724979122826
"132",0.0397355998595461
"133",0.121848054875069
"134",0.013613533833745
"135",0.0093450820560557
"136",0.270327180297735
"137",0.0589084716273875
