"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea","crowd","ppt1","TmeanSpr1","ppt2","TmeanSpr2","logarea:crowd","alpha"
"32",-0.163472051464975,0.0937312327825987,-0.0971580641361529,"A",0.405720150200894,0.833129618646269,-0.0865510194847173,0.0028363524988646,-0.13642374462943,0.00615947978012848,0.0792669211753456,0.018824987292164,0.01
"33",-0.164162663177891,0.116032815263157,0.077216556024116,"B",NA,NA,NA,NA,NA,NA,NA,NA,0.025
"34",0.0478470713651331,0.331283344021012,-0.236288420193741,"C",NA,NA,NA,NA,NA,NA,NA,NA,0.02
"35",-0.124288825267562,0.548352945951547,0.28477772045661,"D",NA,NA,NA,NA,NA,NA,NA,NA,0.036
"36",-1.02657718200589,-0.0787001144913031,0.0138568813541545,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.93086251788218,0.558937632112934,-0.0432933367172085,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.927498513362398,0.230456288916293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.740462637333923,-0.251021019991332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.110659025508322,0.0828669136579227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.0825759142023884,-0.385206128937654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.659671625529914,-0.162299232895294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.439971309352219,-0.719447481692494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.104648871145522,-0.404003301054796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
