"quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"a2",15,"0","Bouteloua eriopoda",5.07890001867097,13.4443935340686,2.92993074014297,1,0,0,0,1.50620848871768,1
"a2",15,"1","Bouteloua eriopoda",20.5542999398783,16.2503200280088,6.70562854793455,1,1,0,1,3.19620850495994,0
"a2",15,"2","Bouteloua eriopoda",6.3090999827968,1.47590628631425,8.85049134798374,1,1,0,2,0.27000000118278,1
"a2",15,"3","Bouteloua eriopoda",2.5944999806881,29.898472032541,14.6853950941407,1,0,0,3,13.70620848611,0
"a2",15,"4","Bouteloua eriopoda",3.49950000513298,17.1693246598415,16.0584521334402,1,0,0,4,14.7262084763497,0
"a2",15,"5","Bouteloua eriopoda",7.75689999250639,21.7841671636937,16.4909315495745,1,1,0,5,14.7062084637582,0
"a2",15,"6","Bouteloua eriopoda",2.41150000358373,42.1201043654113,19.1345525320449,1,1,0,6,18.2462085038424,0
"a2",15,"7","Bouteloua eriopoda",3.44899997315276,2.03321155838554,22.4385328203841,1,0,0,7,1.08999999938533,1
"a2",15,"8","Bouteloua eriopoda",8.36940000741338,26.5433139579317,24.1357924433852,1,1,0,8,22.7262084838003,0
"a2",15,"9","Bouteloua eriopoda",2.81009999796757,9.91323653739812,26.5070220871262,1,0,0,9,8.95000000018626,0
"a2",15,"11","Bouteloua eriopoda",8.36180001635389,29.1276902863379,31.7003335044435,1,1,0,11,27.3700000019744,0
"a2",15,"12","Bouteloua eriopoda",31.6008000192962,8.04240104553699,39.4147371678078,1,1,0,12,5.93999999691732,0
"a2",15,"13","Bouteloua eriopoda",2.89600002801372,18.527428641696,34.6237959605726,1,0,0,13,17.349999997532,0
"a2",15,"14","Bouteloua eriopoda",2.83020001553483,23.7981499583334,38.1327894124122,1,0,0,14,22.8200000012293,0
"a2",15,"15","Bouteloua eriopoda",4.49309999364018,56.742298413012,40.6735161332032,1,1,0,15,39.4462084863335,0
"a2",15,"16","Bouteloua eriopoda",6.65689999170895,14.4140900928481,48.7757774003068,1,1,0,16,12.8900000010617,0
"a2",15,"17","Bouteloua eriopoda",8.15530004726169,51.016017264071,50.3144325000653,1,1,0,17,47.0499999995809,0
"a2",15,"19","Bouteloua eriopoda",3.79420001167846,47.7484003621899,55.7251171611948,1,0,0,19,43.01379150711,0
"a2",15,"20","Bouteloua eriopoda",11.3039999781796,20.4997287045239,57.9620297302627,1,1,0,20,18.1500000006054,0
"a2",15,"21","Bouteloua eriopoda",4.77690004300969,6.57129665348872,58.7082727942715,1,1,0,21,5.36999999894761,0
"a2",15,"22","Bouteloua eriopoda",8.52109999906491,30.1017990238618,59.3772006451783,1,1,0,22,27.9299999994691,0
"a2",15,"23","Bouteloua eriopoda",5.18549999131169,50.5077726368798,60.4568275093825,1,1,0,23,38.0337915383279,0
"a2",15,"24","Bouteloua eriopoda",6.31100008804211,17.3928264932086,65.4090419507456,1,0,0,24,15.2300000016112,0
"a2",15,"26","Bouteloua eriopoda",27.2853000594946,96.538202807458,78.9414099227436,1,1,0,26,0.34999999916181,0
"a2",15,"27","Bouteloua eriopoda",8.34600003219885,55.8273946027217,77.9757525376481,1,0,0,27,20.7737915217876,0
"a2",15,"28","Bouteloua eriopoda",45.6984000660534,47.5307510327285,82.4839647712637,1,1,0,28,13.4237915277481,0
"a2",15,"29","Bouteloua eriopoda",4.78390000453,23.4316241956445,82.3468730686228,1,1,0,29,16.5237915236503,0
"a2",15,"30","Bouteloua eriopoda",3.45900003568642,3.7350303521601,85.2717717478383,1,0,0,30,2.52999999793246,1
"a2",15,"31","Bouteloua eriopoda",5.0265000491417,57.0212115137553,87.7822413705401,1,0,0,31,11.0737915150821,0
"a2",15,"32","Bouteloua eriopoda",13.0002000470508,96.0373933201088,90.0466175034526,1,1,0,32,1.78999999770895,0
"a2",15,"33","Bouteloua eriopoda",5.93400004704855,56.5353859068495,92.5222780298605,1,0,0,33,5.90379149653018,0
"a2",15,"34","Bouteloua eriopoda",3.44999999216525,42.321858938233,92.7069427804118,1,0,0,34,6.35379152372479,0
"a2",15,"35","Bouteloua eriopoda",4.36349999509496,16.83808372515,96.7297748152536,1,0,0,35,1.91379152238369,1
"a2",15,"36","Bouteloua eriopoda",11.1088999881387,88.7948224746126,98.5492645287376,1,1,0,36,-0.0562084838747978,1
"a2",15,"43","Bouteloua eriopoda",0.25048851966858,35.638427734375,16.97998046875,1,0,0,43,16.729736328125,0
"a2",16,"0","Bouteloua eriopoda",3.6499999873573,13.8381735172149,3.38424578117686,2,0,0,1,1.95016358047724,1
"a2",16,"1","Bouteloua eriopoda",23.1369999393234,17.6806401005045,9.06366059406482,2,1,0,1,6.27016359940171,0
"a2",16,"2","Bouteloua eriopoda",7.42100000826968,1.66951130337642,9.94136962687764,2,1,0,2,0.0100000004749745,1
"a2",16,"3","Bouteloua eriopoda",5.69100003642123,21.3500398286083,15.1222587040877,2,1,0,5,13.5701635852456,0
"a2",16,"4","Bouteloua eriopoda",1.32599999208562,42.2251332345688,20.7374637259187,2,1,0,6,20.0701635796577,0
"a2",16,"6","Bouteloua eriopoda",25.3570001209918,24.3040200573394,25.7986293619498,2,1,0,8,19.3099999974947,0
"a2",16,"7","Bouteloua eriopoda",9.88299994977005,30.6573776505162,25.7282356863533,2,1,0,8,24.1501635871828,0
"a2",16,"8","Bouteloua eriopoda",4.92500004415633,27.649465313056,30.975258680091,2,0,0,11,26.2099999992643,0
"a2",16,"10","Bouteloua eriopoda",51.2040000288959,6.60303003378206,41.5509150256321,2,1,0,12,3.40999999898486,0
"a2",16,"11","Bouteloua eriopoda",2.73899997881521,55.2677217987067,41.0765941693397,2,1,0,15,40.1501636020839,0
"a2",16,"12","Bouteloua eriopoda",1.58799999246886,82.9147019314103,44.5015825727487,1,0,0,44,16.3899999985006,0
"a2",16,"13","Bouteloua eriopoda",13.540000035523,11.047353517084,51.3826697432041,2,0,0,16,8.80999999935739,0
"a2",16,"14","Bouteloua eriopoda",1.52499999527354,50.3136065588982,50.9086335273536,2,1,0,17,48.3498364221305,0
"a2",16,"15","Bouteloua eriopoda",35.4890000212486,17.2055723374923,56.4284693535188,2,1,0,20,13.1099999998696,0
"a2",16,"16","Bouteloua eriopoda",2.30399997620052,47.8163657413361,56.4235953031988,2,0,0,23,42.6498364191502,0
"a2",16,"17","Bouteloua eriopoda",3.53399999094801,49.3340709339745,59.8621349131024,2,1,0,23,39.0298364218324,0
"a2",16,"18","Bouteloua eriopoda",7.01500002430053,4.48337134680703,62.0430312486453,2,1,0,21,3.00999999744818,0
"a2",16,"19","Bouteloua eriopoda",2.91200002819486,30.5564285691305,62.0343760405324,2,1,0,22,29.5099999988452,0
"a2",16,"22","Bouteloua eriopoda",26.4480000340012,94.5183761770085,79.8809177714978,2,0,0,26,2.28999999817461,0
"a2",16,"23","Bouteloua eriopoda",18.9900000804244,54.6313270146041,79.7945904696088,2,1,0,28,17.8498364053667,0
"a2",16,"24","Bouteloua eriopoda",39.7359998168875,46.1606232837069,83.3104004816689,2,1,0,28,12.8498364239931,0
"a2",16,"25","Bouteloua eriopoda",3.60799996625446,24.0261123407529,83.1537260475234,2,0,0,29,15.3298364020884,0
"a2",16,"26","Bouteloua eriopoda",18.7899999405281,94.2066240913106,87.9243207560259,2,1,0,32,3.38999999803491,0
"a2",16,"27","Bouteloua eriopoda",13.686599938389,91.1592454446088,98.1136338391344,2,1,0,36,-0.0301635824143887,1
"a2",16,"29","Bouteloua eriopoda",4.80500003907247,97.6966458562545,99.2387407616839,2,0,0,36,-0.0501635950058699,1
"a2",17,"0","Bouteloua eriopoda",7.86099998248834,27.1868477361562,2.00540931813937,1,0,0,45,1.15016358904541,1
"a2",17,"1","Bouteloua eriopoda",5.00499996566679,3.04592409153862,2.10625549968328,3,0,1,2,0.0100000004749745,1
"a2",17,"2","Bouteloua eriopoda",5.35400002507167,13.2777624180588,4.5232229800852,3,0,0,1,3.05016357451677,0
"a2",17,"3","Bouteloua eriopoda",4.87800001879502,0.71922509130346,9.88363905617615,3,0,0,2,0.0100000004749745,1
"a2",17,"4","Bouteloua eriopoda",7.02099997335672,17.8472644027266,10.2246268606754,3,0,0,1,8.65016360767186,0
"a2",17,"5","Bouteloua eriopoda",1.41999997691717,22.2768544584848,14.4319476224122,3,0,0,5,13.7501636054367,0
"a2",17,"6","Bouteloua eriopoda",1.02900001131138,21.1067282183897,18.4492112016598,3,0,0,5,17.7701635751873,0
"a2",17,"8","Bouteloua eriopoda",3.73500000299886,43.3017536781062,21.7548043748125,3,0,0,6,20.4501635860652,0
"a2",17,"9","Bouteloua eriopoda",55.3159999147672,26.455425076586,28.1000963322325,3,1,0,8,20.8099999988917,0
"a2",17,"10","Bouteloua eriopoda",2.04624999458552,32.7567841969757,28.3436172987864,3,0,0,8,27.5501635856926,0
"a2",17,"12","Bouteloua eriopoda",39.9229999542101,7.87290275406026,44.3377565441249,3,1,0,12,3.81000000052154,0
"a2",17,"13","Bouteloua eriopoda",2.38300001822226,56.8845139122918,42.2898670534112,3,0,0,15,41.4701635949314,0
"a2",17,"14","Bouteloua eriopoda",2.21099997772696,13.6586356052977,51.5628034094824,3,0,0,20,12.7099999983329,0
"a2",17,"15","Bouteloua eriopoda",2.35800002847845,53.7721147859986,53.0531887471799,3,0,0,17,45.3900000022259,0
"a2",17,"16","Bouteloua eriopoda",3.32900000890158,14.4120927249971,55.3546073735092,3,0,0,20,13.2600000011735,0
"a2",17,"17","Bouteloua eriopoda",9.03900001761643,4.6186034601963,57.5052508069786,3,0,0,21,2.9099999985192,0
"a2",17,"18","Bouteloua eriopoda",2.34199997451343,52.9938030159675,58.1034712984985,3,0,0,23,40.8298364374787,0
"a2",17,"19","Bouteloua eriopoda",4.29000000903848,49.4118725694154,61.8909747825775,3,0,0,23,36.9298364035785,0
"a2",17,"20","Bouteloua eriopoda",1.4860000026864,30.8699820513146,63.4445108198429,3,0,0,22,30.1099999982398,0
"a2",17,"23","Bouteloua eriopoda",6.94599992991053,55.7539149591305,79.8562188698589,3,0,0,28,18.5498364269733,0
"a2",17,"24","Bouteloua eriopoda",11.7369999651792,48.7078529395824,80.6203456329255,3,0,0,28,17.4298364203423,0
"a2",17,"25","Bouteloua eriopoda",9.385000028715,41.6556899315235,85.0927023845819,3,1,0,28,13.3498364128172,0
"a2",17,"26","Bouteloua eriopoda",7.07299996345351,94.3004613775239,88.3237259536844,3,1,0,32,4.19000000110827,0
"a2",17,"27","Bouteloua eriopoda",12.0349999973585,89.8227406162114,98.4639899353207,3,1,0,36,-0.0501635950058699,1
"a2",17,"28","Bouteloua eriopoda",2.86900002012285,95.8019425990546,99.3956858309687,3,0,0,36,-0.0301635824143887,1
"a2",17,"39","Bouteloua eriopoda",0.27499999236315,96.1249999993015,43.7251635827124,1,0,0,46,3.60000000218861,1
"a2",17,"40","Bouteloua eriopoda",0.26249999670545,76.8039682528598,45.7374651738578,1,0,0,47,22.9500000015832,0
"a2",17,"41","Bouteloua eriopoda",0.2999999929918,87.9500000010012,34.3251635786146,1,0,0,48,11.7499999993015,0
"a2",17,"42","Bouteloua eriopoda",0.2499999946449,96.1999999999534,36.5501635707915,1,0,0,49,3.54999999981374,1
"a2",17,"49","Bouteloua eriopoda",0.2499999946449,73.3000000007451,22.1501635853201,1,0,0,50,21.9001635909081,0
"a2",17,"52","Bouteloua eriopoda",0.2499999946449,85.3999999992084,16.2501635961235,1,0,0,51,14.3500000005588,0
"a2",17,"61","Bouteloua eriopoda",0.2499999946449,84.3999999982771,2.35016359947622,1,0,0,52,2.10016360506415,1
"a2",17,"62","Bouteloua eriopoda",0.25000001792796,86.3000000012107,1.55016358476132,1,0,0,53,1.30016356706619,1
"a2",18,"1","Bouteloua eriopoda",1.11299998614169,30.8675621441033,22.1346705765663,4,0,0,8,21.5536523144692,0
"a2",18,"2","Bouteloua eriopoda",1.39799999106722,27.0501287553066,25.124668035367,4,1,0,8,24.413652298972,0
"a2",18,"4","Bouteloua eriopoda",1.64000000899192,27.5187398335393,30.1656218178622,4,1,0,8,26.8099999986589,0
"a2",18,"7","Bouteloua eriopoda",15.6065000003672,9.83754514742928,43.3608967225094,4,1,0,12,7.80999999842606,0
"a2",18,"11","Bouteloua eriopoda",4.61350003549107,41.6650124706682,82.2102785183994,4,1,0,28,16.8563476763666,0
"a2",18,"12","Bouteloua eriopoda",7.47750001186156,94.9935123126754,86.875236375632,4,1,0,32,3.59000000171363,0
"a2",18,"13","Bouteloua eriopoda",8.74749987973832,85.7133571487612,96.9171447337077,4,1,0,36,1.64634771645069,1
"a2",18,"14","Bouteloua eriopoda",3.91669999275631,95.8173840182482,98.883843705119,4,1,0,36,-0.0536522828042507,1
"a2",19,"1","Bouteloua eriopoda",1.35000001386506,31.3155555579464,23.6113580379968,5,1,0,8,22.6000000257045,0
"a2",19,"4","Bouteloua eriopoda",1.11999999419902,27.8267857149485,30.5840029829661,5,1,0,8,27.3500000010245,0
"a2",19,"10","Bouteloua eriopoda",7.60750004833797,10.8095464995859,42.1955471594991,5,1,0,12,8.69999999995343,0
"a2",19,"11","Bouteloua eriopoda",2.30625002932502,9.85845528480481,46.6398645143957,5,0,0,12,8.89999999781139,0
"a2",19,"16","Bouteloua eriopoda",0.787499985168688,96.5280423240094,80.434973562408,5,0,0,32,2.89999999804422,1
"a2",19,"17","Bouteloua eriopoda",8.01500005707145,40.5899147429157,84.099396977923,5,1,0,28,14.5999999716878,0
"a2",19,"18","Bouteloua eriopoda",5.12499996763654,94.3053008108943,86.4825691143564,5,1,0,32,4.30000000051223,0
"a2",19,"19","Bouteloua eriopoda",0.775000008719507,92.5605376360196,96.1305376469265,5,0,0,36,3.39999999850988,1
"a2",19,"20","Bouteloua eriopoda",6.94499999471707,88.0227261797249,97.8988000995267,5,1,0,36,0.600000005215406,1
"a2",19,"21","Bouteloua eriopoda",1.21375001532841,92.7351355937313,97.7050635074712,5,0,0,36,1.59999998286366,1
"a2",19,"22","Bouteloua eriopoda",1.38499998828978,95.4942238286348,98.9301925552331,5,1,0,36,0.329999998211861,1
"a2",20,"2","Bouteloua eriopoda",4.09200002483395,31.029540160737,23.5948921227719,6,1,0,8,21.8736522831023,0
"a2",20,"3","Bouteloua eriopoda",0.75799999883911,25.5865171489541,27.8631773735816,6,1,0,8,25.2099999983329,0
"a2",20,"9","Bouteloua eriopoda",14.588250074158,10.606334091732,42.3928481746294,6,1,0,12,8.80999999935739,0
"a2",20,"13","Bouteloua eriopoda",2.22299997732439,96.0316074390427,80.6839791995986,6,0,0,32,3.09000000124797,1
"a2",20,"14","Bouteloua eriopoda",9.65899999118084,41.0883379947312,83.5851144909672,6,1,0,28,14.8363477084786,0
