"time","cover","species","climsim"
658,0.000501355045210064,"PASM","obs"
659,0.000398281069530407,"PASM","obs"
660,0.000663036526838023,"PASM","obs"
661,0.000793873656623746,"PASM","obs"
662,0.000752781450596438,"PASM","obs"
663,0.000439343995549654,"PASM","obs"
664,0.000360879503893738,"PASM","obs"
665,0.000619081933945682,"PASM","obs"
666,0.000565470750320833,"PASM","obs"
667,0.000344436696210401,"PASM","obs"
668,0.000384812599234653,"PASM","obs"
669,0.000235943187053984,"PASM","obs"
670,0.000383227352011835,"PASM","obs"
671,0.00034285931123509,"PASM","obs"
672,0.000210402438612514,"PASM","obs"
673,0.000168651359315177,"PASM","obs"
674,0.000282751780039876,"PASM","obs"
675,0.00028700366529297,"PASM","obs"
676,0.000174751552645231,"PASM","obs"
677,0.000233503076710775,"PASM","obs"
678,0.000260131416165768,"PASM","obs"
679,0.000455939025232244,"PASM","obs"
680,0.000562380357446633,"PASM","obs"
681,0.000480559854306963,"PASM","obs"
682,0.000638500597124737,"PASM","obs"
683,0.000638671013997826,"PASM","obs"
684,0.000578506285219693,"PASM","obs"
685,0.000340216044528755,"PASM","obs"
686,0.000375327485237649,"PASM","obs"
687,0.000235339285549162,"PASM","obs"
688,0.0002849988747687,"PASM","obs"
689,0.000230442057475563,"PASM","obs"
690,0.000245600651195373,"PASM","obs"
691,0.000288570772243715,"PASM","obs"
692,0.000449335953709701,"PASM","obs"
693,0.000429638201942443,"PASM","obs"
694,0.000310428097764134,"PASM","obs"
695,0.000326383965124779,"PASM","obs"
696,0.000400474317390751,"PASM","obs"
697,0.000420771258248306,"PASM","obs"
698,0.000392361783514026,"PASM","obs"
699,0.000706628754934337,"PASM","obs"
700,0.00039406558508602,"PASM","obs"
701,0.000439562083997471,"PASM","obs"
702,0.000472618621439634,"PASM","obs"
703,0.000711559544920711,"PASM","obs"
704,0.000676949077708321,"PASM","obs"
705,0.00074071593077939,"PASM","obs"
706,0.000819993727791013,"PASM","obs"
707,0.00098818534004858,"PASM","obs"
708,0.000684328692976658,"PASM","obs"
709,0.000745233124107395,"PASM","obs"
710,0.00072484272648637,"PASM","obs"
711,0.000700495321236003,"PASM","obs"
712,0.000770375436761479,"PASM","obs"
713,0.00082814306940008,"PASM","obs"
714,0.000502111504459475,"PASM","obs"
715,0.000420341893678006,"PASM","obs"
716,0.000500395395737147,"PASM","obs"
717,0.000309352685169648,"PASM","obs"
718,0.000359596353320581,"PASM","obs"
719,0.000374799202180998,"PASM","obs"
720,0.000405942673629835,"PASM","obs"
721,0.000700185983015107,"PASM","obs"
722,0.000553125012275943,"PASM","obs"
723,0.000394701340338056,"PASM","obs"
724,0.000401023909879739,"PASM","obs"
725,0.000257161224249711,"PASM","obs"
726,0.000311027145682077,"PASM","obs"
727,0.000320421109589237,"PASM","obs"
728,0.000200331681071317,"PASM","obs"
729,0.000167331299427823,"PASM","obs"
730,0.000142672508653534,"PASM","obs"
731,0.000163608742485586,"PASM","obs"
732,0.000169136210252164,"PASM","obs"
733,0.000106915660147823,"PASM","obs"
734,0.00012671216975355,"PASM","obs"
735,0.000142376830525654,"PASM","obs"
736,0.000146511467188447,"PASM","obs"
737,0.000114201534578592,"PASM","obs"
738,7.54969943416145e-05,"PASM","obs"
739,0.000137033918381832,"PASM","obs"
740,0.00012818978921,"PASM","obs"
741,0.000101935547991736,"PASM","obs"
742,0.000118430151858214,"PASM","obs"
743,9.41644272143295e-05,"PASM","obs"
744,0.000102043319301012,"PASM","obs"
745,0.000116862291033089,"PASM","obs"
746,0.000114362231777977,"PASM","obs"
747,0.000211166047547629,"PASM","obs"
748,0.000270065744210317,"PASM","obs"
749,0.000265128343796212,"PASM","obs"
750,0.00018232200286886,"PASM","obs"
751,0.000323842144708313,"PASM","obs"
752,0.000298825288811308,"PASM","obs"
753,0.000277757500020966,"PASM","obs"
754,0.000403539283612294,"PASM","obs"
755,0.000525534461329009,"PASM","obs"
756,0.000516992434623333,"PASM","obs"
757,0.000491999492501415,"PASM","obs"
758,0.000796482354520704,"PASM","obs"
759,0.000687452023321121,"PASM","obs"
760,0.00065223074532061,"PASM","obs"
761,0.000379426136693673,"PASM","obs"
762,0.000413421584555456,"PASM","obs"
763,0.000440992612333481,"PASM","obs"
764,0.000267202168793209,"PASM","obs"
765,0.000490221200944465,"PASM","obs"
766,0.00028326863583844,"PASM","obs"
767,0.000299635465460767,"PASM","obs"
768,0.000382492359454271,"PASM","obs"
769,0.000533729548344356,"PASM","obs"
770,0.000439568493744894,"PASM","obs"
771,0.000401709436440954,"PASM","obs"
772,0.000426610818975173,"PASM","obs"
