"modelNum","Species","deltaDIC"
25,"BOGR",0
21,"BOGR",0.698910082854795
22,"BOGR",1.5690636902076
23,"BOGR",1.9135764546757
13,"BOGR",2.0573342660134
14,"BOGR",2.27867995238829
19,"BOGR",3.1787976433878
16,"BOGR",3.5347446965707
10,"BOGR",4.0652284768086
9,"BOGR",4.0717890618477
15,"BOGR",4.44714795717179
17,"BOGR",4.7607642822588
1,"BOGR",4.8310557604772
20,"BOGR",4.9198450702858
25,"HECO",0
21,"HECO",0.792192819617505
22,"HECO",0.812870879144398
23,"HECO",0.9398769372605
24,"HECO",1.7116658599943
25,"PASM",0
21,"PASM",1.8520374925609
22,"PASM",2.3798713059314
23,"PASM",2.4736215926254
14,"PASM",4.6606862687656
25,"POSE",0
24,"POSE",0.222532321196901
23,"POSE",0.699186564707496
22,"POSE",1.0429989533079
14,"POSE",1.5640013763038
20,"POSE",1.7567865397593
19,"POSE",2.0633031659298
15,"POSE",2.6689670049271
