"","Mean","SD","Naive SE","Time-series SE","species"
"beta[1,1]",10.3203942401702,1.46350839753003,0.0377876243377901,0.176427313620144,"BOGR"
"beta[2,1]",34.0889622907357,20.1638128455955,0.520627408980231,2.65980902545907,"HECO"
"beta[3,1]",91.6468900112643,15.0880331039392,0.389571339590552,2.3167672662992,"PASM"
"beta[4,1]",40.218183524626,33.8546665813886,0.874123732407487,2.64969205221032,"POSE"
"beta[1,2]",7.2996994580167,0.789008224027151,0.020372104744519,0.0811379333128851,"BOGR"
"beta[2,2]",34.392207853201,19.7967413933691,0.511149664837957,3.93858497647703,"HECO"
"beta[3,2]",54.0728810315484,10.4679340117046,0.270280893976869,1.11080259117839,"PASM"
"beta[4,2]",54.245647104784,41.425344774691,1.06959780282186,2.16283834453807,"POSE"
"beta[1,3]",6.21864579909532,1.18883729060665,0.0306956468524661,0.115954370062051,"BOGR"
"beta[2,3]",35.5848789114363,24.1186440694404,0.622740712093646,1.97816033978037,"HECO"
"beta[3,3]",158.95067265101,28.1127006418204,0.725866809351234,5.13803440246632,"PASM"
"beta[4,3]",68.3735965459978,51.4296622130026,1.32790816834688,5.57554973742161,"POSE"
"beta[1,4]",13.3097099992782,2.42893026625794,0.0627147098021077,0.166615118295381,"BOGR"
"beta[2,4]",34.1127084138883,20.2812165261876,0.523658758978342,3.11742703747025,"HECO"
"beta[3,4]",161.381149718269,36.9353528742039,0.953666710453906,6.32060365591323,"PASM"
"beta[4,4]",35.1711247420638,21.8838101862301,0.565037549352224,1.01577295795868,"POSE"
"beta[1,5]",5.77114524660976,3.38009151362544,0.0872735876061891,0.246324766507706,"BOGR"
"beta[2,5]",29.817926604797,19.1867659952043,0.495400167780034,2.044261441688,"HECO"
"beta[3,5]",108.910051547975,34.5114950662496,0.891082970962027,6.58315783283362,"PASM"
"beta[4,5]",36.7431212383966,22.8078438285971,0.588895995407041,0.887218803492128,"POSE"
"beta[1,6]",14.546667666859,6.21777591186063,0.160542283713906,0.323157581970971,"BOGR"
"beta[2,6]",31.8167938522999,19.3133089200803,0.498667492050869,2.97946077719203,"HECO"
"beta[3,6]",223.610364864409,85.5548007695476,2.20901545712367,17.7220047102299,"PASM"
"beta[4,6]",24.5809032339867,13.6679262026485,0.352904337066996,0.396093991569068,"POSE"
"beta[1,7]",14.8005006554045,4.57361700907481,0.118090283387185,0.24169506643664,"BOGR"
"beta[2,7]",32.8545025316541,20.7349294372967,0.535373575969575,1.51109012370275,"HECO"
"beta[3,7]",160.75808520251,38.7514277658554,1.00055756252612,4.92049138038979,"PASM"
"beta[4,7]",10.4926985039218,3.7172829599968,0.0959798333147214,0.173901181723523,"POSE"
"beta[1,8]",20.071247306941,3.75137179660973,0.0968600032913446,0.273883349618737,"BOGR"
"beta[2,8]",38.8722851437086,22.3378082997819,0.576759730238862,5.06726653227827,"HECO"
"beta[3,8]",200.200560412691,41.0818439052464,1.06072864851008,15.3483817580546,"PASM"
"beta[4,8]",33.8394135283127,20.3083060397985,0.524358207212155,0.615420281095188,"POSE"
"beta[1,9]",13.1784199168203,1.61157972502502,0.0416108095740495,0.0977129565819788,"BOGR"
"beta[2,9]",35.9848065409717,17.6126358801055,0.454756302976426,5.057485506958,"HECO"
"beta[3,9]",171.003748032626,28.5129100116705,0.736200170847403,6.06548121236935,"PASM"
"beta[4,9]",25.0914211733912,13.9826465847006,0.361030382389662,0.374491842431178,"POSE"
"beta[1,10]",15.617682023889,1.44547077109494,0.0373218948258685,0.102995174931982,"BOGR"
"beta[2,10]",30.3610732995855,12.3346551535425,0.318479426605877,3.30011500174084,"HECO"
"beta[3,10]",162.872427292525,28.1277601228005,0.726255643478155,5.89784237370596,"PASM"
"beta[4,10]",12.1251317835024,9.15270694194237,0.236321877059065,1.5523737948554,"POSE"
"beta[1,11]",8.27174382898711,0.676385227847045,0.0174641914871488,0.0397752009442967,"BOGR"
