"size","frequency"
-1.54133198893826,0.00817267392294114
-1.40512014194658,0.00893954702415833
-1.2689082949549,0.0096952347441245
-1.13269644796322,0.0104271044624427
-0.996484600971539,0.0111230457607532
-0.860272753979859,0.0117720662663026
-0.724060906988178,0.0123648582320769
-0.587849059996498,0.0128942971446809
-0.451637213004818,0.0133558369402937
-0.315425366013138,0.0137477728356075
-0.179213519021457,0.0140713518358846
-0.0430016720297769,0.0143307218643075
0.0932101749619034,0.0145327221564875
0.229422021953584,0.0146865289784315
0.365633868945264,0.0148031807855289
0.501845715936944,0.0148950147300278
0.638057562928624,0.0149750512890324
0.774269409920305,0.0150563653953608
0.910481256911985,0.0151514808378289
1.04669310390367,0.0152718201950679
1.18290495089535,0.015427235847502
1.31911679788703,0.0156256394912647
1.45532864487871,0.0158727389337111
1.59154049187039,0.0161718826990582
1.72775233886207,0.016524005852602
1.86396418585375,0.016927665004685
2.00017603284543,0.0173791470549518
2.13638787983711,0.0178726351031952
2.27259972682879,0.0184004150657314
2.40881157382047,0.018953108818294
2.54502342081215,0.0195199229309347
2.68123526780383,0.0200889060557638
2.81744711479551,0.0206472103926385
2.95365896178719,0.0211813568408128
3.08987080877887,0.0216775072078512
3.22608265577055,0.0221217465344168
3.36229450276223,0.022500374119185
3.49850634975391,0.0228002136444189
3.63471819674559,0.0230089402012542
3.77093004373727,0.023115414019652
3.90714189072895,0.0231100346133515
4.04335373772063,0.022985081907889
4.17956558471231,0.0227350561277643
4.31577743170399,0.0223569778631025
4.45198927869567,0.0218506489451154
4.58820112568735,0.0212188329995255
4.72441297267903,0.0204673492829182
4.86062481967071,0.0196050468471835
4.99683666666239,0.0186436470526505
5.13304851365407,0.0175974457412986
5.26926036064575,0.0164828765063529
5.40547220763743,0.0153179504835236
5.54168405462911,0.0141215961447067
5.6778959016208,0.01291293058409
5.81410774861248,0.0117105182073007
5.95031959560415,0.0105317028232581
6.08653144259583,0.00939206363046973
6.22274328958752,0.00830499809190623
6.3589551365792,0.00728146432237694
6.49516698357088,0.00632986627358075
6.63137883056256,0.00545605573903014
6.76759067755424,0.00466346204469054
6.90380252454592,0.00395332075503708
7.0400143715376,0.00332486004248484
7.17622621852928,0.00277537639700684
7.31243806552096,0.00230043129336344
7.44864991251264,0.00189429414106931
7.58486175950432,0.00155043194392764
7.721073606496,0.00126191746397848
7.85728545348768,0.00102177177928551
7.99349730047936,0.000823260556767281
8.12970914747104,0.000660134875976877
8.26592099446272,0.000526795989839707
8.4021328414544,0.00041836905933021
8.53834468844608,0.000330688250584616
