"quad","year","totNumber"
"Q23",32,12
"Q25",32,33
"Q26",32,184
"Q4",32,15
"Q1",33,2
"Q23",33,15
"Q26",33,169
"Q3",33,2
"Q4",33,14
"Q5",33,2
"Q1",34,1
"Q23",34,8
"Q25",34,1
"Q26",34,89
"Q3",34,1
"Q4",34,12
"Q5",34,1
"Q1",35,1
"Q23",35,16
"Q26",35,164
"Q3",35,2
"Q4",35,15
"Q5",35,1
"Q23",36,19
"Q26",36,172
"Q4",36,31
"Q23",37,24
"Q26",37,183
"Q4",37,23
"Q23",38,17
"Q26",38,124
"Q4",38,27
"Q5",38,3
"Q23",39,28
"Q26",39,180
"Q4",39,31
"Q5",39,2
"Q23",40,18
"Q26",40,132
"Q4",40,22
"Q23",41,29
"Q26",41,197
"Q4",41,31
"Q23",42,42
"Q26",42,255
"Q4",42,34
"Q23",45,58
"Q26",45,262
"Q4",45,43
"Q23",46,52
"Q26",46,188
"Q4",46,46
"Q23",47,42
"Q26",47,172
"Q4",47,32
"Q23",49,43
"Q26",49,31
"Q4",49,32
"Q23",50,59
"Q26",50,193
"Q4",50,26
"Q23",51,43
"Q26",51,162
"Q4",51,35
"Q23",52,44
"Q26",52,153
"Q3",52,1
"Q4",52,44
"Q23",54,39
"Q26",54,127
"Q4",54,36
"Q23",55,48
"Q26",55,198
"Q4",55,44
