"quad","t1","t0","rep","cover.t0","cover.t1","obs.cover.t1"
"A1",34,33,1,0.00196867214004562,0.00188388912448522,0.0007392086407343
"A1",34,33,2,0.00196867214004562,0.00415769400739125,0.0007392086407343
"A1",34,33,3,0.00196867214004562,0.000868353748041065,0.0007392086407343
"A1",34,33,4,0.00196867214004562,0.096309803446351,0.0007392086407343
"A1",34,33,5,0.00196867214004562,0.00151681537588948,0.0007392086407343
"A1",34,33,6,0.00196867214004562,0.0113002141799648,0.0007392086407343
"A1",34,33,7,0.00196867214004562,0.00386986300187836,0.0007392086407343
"A1",34,33,8,0.00196867214004562,0.00591462995092232,0.0007392086407343
"A1",34,33,9,0.00196867214004562,0.00140287830451128,0.0007392086407343
"A1",34,33,10,0.00196867214004562,0.000383459022518225,0.0007392086407343
"A1",34,33,11,0.00196867214004562,0.00240207226443242,0.0007392086407343
"A1",34,33,12,0.00196867214004562,0.00809442074871268,0.0007392086407343
"A1",34,33,13,0.00196867214004562,0.00176832987724782,0.0007392086407343
"A1",34,33,14,0.00196867214004562,0.000179506487343633,0.0007392086407343
"A1",34,33,15,0.00196867214004562,0.00312996303412923,0.0007392086407343
"A1",34,33,16,0.00196867214004562,0.00220287395369065,0.0007392086407343
"A1",34,33,17,0.00196867214004562,0.00465465931311302,0.0007392086407343
"A1",34,33,18,0.00196867214004562,0.00545302007530213,0.0007392086407343
"A1",34,33,19,0.00196867214004562,0.00110866888031557,0.0007392086407343
"A1",34,33,20,0.00196867214004562,0.00047127711817902,0.0007392086407343
"A1",34,33,21,0.00196867214004562,0.00185127256561701,0.0007392086407343
"A1",34,33,22,0.00196867214004562,0.00212444364541435,0.0007392086407343
"A1",34,33,23,0.00196867214004562,0.00125254899386575,0.0007392086407343
"A1",34,33,24,0.00196867214004562,0.00171361324132631,0.0007392086407343
"A1",34,33,25,0.00196867214004562,0.00524689168754095,0.0007392086407343
"A1",34,33,26,0.00196867214004562,0.003406211083954,0.0007392086407343
"A1",34,33,27,0.00196867214004562,0.00408572090796486,0.0007392086407343
"A1",34,33,28,0.00196867214004562,0.134951826550402,0.0007392086407343
"A1",34,33,29,0.00196867214004562,0.00727175678078676,0.0007392086407343
"A1",34,33,30,0.00196867214004562,0.000625825280337102,0.0007392086407343
"A1",34,33,31,0.00196867214004562,0.00192099919939828,0.0007392086407343
