"time","density"
500,8.91937673145606
501,9.69973493320943
502,13.5251912481501
503,16.070076255584
504,16.5896498219533
505,22.2696230873177
506,12.5685840505468
507,11.7172474070264
508,12.6897860128423
509,8.62284008404522
510,6.83923459252027
511,5.42862113301812
512,3.12306932432638
513,1.24853044630594
514,1.93978621058027
515,2.50435822002179
516,3.1727322858384
517,1.77926543894743
518,1.58776020750507
519,1.85615011581174
520,2.47057297800266
521,2.89292885858401
522,1.87101408283088
523,2.38661964924257
524,3.08949790897663
525,2.55520290401777
526,1.44902040243544
527,1.76130370841957
528,1.61667224935788
529,5.02227646095081
530,6.96417890702767
531,12.6917419495914
532,12.5648192115927
533,8.54205969987829
534,3.69394278482895
535,5.75840961352858
536,4.8036563337621
537,9.15419454115398
538,5.81371648195146
539,4.9460558298954
540,4.93661540614677
541,7.91300815840943
542,4.584950565124
543,4.23464863154163
544,5.00625837343844
545,10.3810498764463
546,13.0692809845027
547,6.4521663413417
548,9.23617358403688
549,9.86684951642609
550,12.0112082925105
551,13.6283095425926
552,15.4622810128473
553,16.8707829946599
554,18.4028658576711
555,19.5817731441936
556,20.0780883345724
557,21.6695415849612
558,19.1578170464597
559,20.6274238068845
560,26.2050613852651
561,25.7797697883577
562,21.6514276948856
563,23.1179852178404
564,20.378174668065
565,15.7106285558107
566,16.7543994508459
567,15.4565716539037
568,12.9979775347605
569,12.8639284076435
570,10.2635981434743
571,10.4988927631004
572,12.2739434765131
573,13.9251198198607
574,18.5548729496811
575,20.9402055262756
576,20.4883107626585
577,18.5849820413489
578,8.16091203225805
579,7.54479079291524
580,6.76847450840703
581,4.87582954901683
582,3.30652362499719
583,2.62113314608921
584,1.47941356704763
585,0.491268592615554
586,0.45018322738899
587,0.610406135003613
588,0.683157228723264
589,0.552311071563141
590,0.631124159104541
591,0.953152852636322
592,1.46156420547487
593,2.26642517609945
594,3.56423494563228
595,3.48830465028435
596,3.57603104611148
597,4.17358140048976
598,6.28155014261818
599,7.31785132262764
600,7.99559827874448
601,8.54507459779793
602,10.2296202043139
603,9.89538511443059
604,12.2490859806663
605,10.269946731499
606,15.2600175275146
607,18.3327644454347
608,18.6118279081858
609,23.3871634100999
610,20.8690286492961
611,20.9361019987482
612,11.8618111711703
613,14.7117445932111
614,16.6747110799577
615,16.5245314960777
616,14.2190460790251
617,3.12532883107457
618,4.02649185898259
619,4.72799330989562
620,5.2973724204007
621,5.68355880529018
622,3.30612513941985
623,2.90367022710325
624,2.8884297776458
625,3.1972754139719
626,3.91880908557395
627,3.4548065893749
628,1.57573384378642
629,2.27170436927409
630,3.41687864164218
631,5.2553980056144
632,9.47303390207681
633,15.5571764645885
634,6.08050327418501
635,3.87935515418256
636,4.84197883329349
637,6.20190707492601
638,6.05965130500799
639,2.02505179245194
640,2.38491841212555
641,2.98948932264997
642,4.05748146786918
643,6.31439736780834
644,3.00413692965557
645,3.46789183282603
646,5.32293854635674
647,7.29810887762212
648,4.31851219958028
649,1.94654385342692
650,0.878756362554426
651,0.960956496097957
652,1.2645845111423
653,0.85381806511346
654,0.751011967688606
655,0.248156148497115
656,0.231426888897742
657,0.331322174860021
658,0.323748014267095
659,0.187942998336164
660,0.0844985523743958
661,0.0738106009296212
662,0.0629031493473276
663,0.131818866102951
664,0.235642024933681
665,0.164567788694443
666,0.129822256417364
667,0.146572684453628
668,0.147405186111304
669,0.217218919000555
670,0.152500232077194
671,0.117035903913159
672,0.129228183410661
673,0.125991149364878
674,0.0627658750932415
675,0.0654353901213061
676,0.144502038512457
677,0.367147521319861
678,0.589386552926437
679,1.10404340859035
680,0.547351543690822
681,0.557232659278258
682,0.565832642410701
683,0.707902119935235
684,1.124934155806
685,1.70395494532995
686,1.80346770111401
687,3.42135774323451
688,4.34640086391688
689,5.50432417844349
690,5.05786488772122
691,6.42269367666284
692,4.3882158279095
693,5.33000025583899
694,5.63516253619704
695,7.31710527840447
696,11.970272119279
697,11.5136309865029
698,12.1340730834646
699,8.96429508986294
700,9.96342137631909
701,11.411424529618
702,14.9695120623351
703,9.81183258643402
704,10.48348189572
705,9.22138116816859
706,9.73750678670521
707,12.496031324583
708,13.7422585239859
709,15.0669926794903
710,12.1434350191198
711,13.9724115905032
712,17.4598919047435
713,18.8925232224864
714,24.225851617005
715,20.1446576771722
716,21.2238747608546
717,20.1330434280938
718,21.8649552020593
719,28.0750893365982
720,27.3032783182733
721,24.7775733767754
722,16.9165537613921
723,15.9721353553612
724,3.87355414325184
725,3.85780898317525
726,2.93594408840395
727,2.59794457925357
728,3.69127796290905
729,3.54719606728089
730,3.65718231731686
731,4.54429516094834
732,3.95052581383265
733,1.09144118023164
734,1.00860286449379
735,1.37860227022958
736,1.89913181317219
737,2.31174749180954
738,3.71302074699412
739,2.30702009444994
740,2.66688575769543
741,3.89879871019252
742,3.61664503288014
743,3.72751125728181
744,3.7832939845067
745,4.44421545928652
746,6.27073811760035
747,10.1173854640107
748,6.14844634998421
749,5.6523496486977
750,5.37355346492538
751,7.18423200774394
752,7.52580524995315
753,10.1762607998165
754,8.28694849079394
755,3.26736071238047
756,2.780642453262
757,2.51882214854198
