"quad","year","totNumber"
"Q11",30,6
"Q12",30,5
"Q11",32,1
"Q12",32,8
"Q26",32,4
"Q3",32,1
"Q4",32,1
"Q5",32,1
"Q1",33,3
"Q11",33,2
"Q12",33,7
"Q14",33,4
"Q23",33,1
"Q24",33,3
"Q26",33,4
"Q3",33,3
"Q4",33,2
"Q5",33,3
"Q1",34,2
"Q12",34,2
"Q14",34,1
"Q24",34,2
"Q26",34,2
"Q3",34,1
"Q4",34,2
"Q1",35,5
"Q12",35,24
"Q19",35,1
"Q23",35,1
"Q24",35,1
"Q26",35,5
"Q3",35,2
"Q4",35,1
"Q5",35,1
"Q1",36,4
"Q11",36,1
"Q12",36,14
"Q24",36,1
"Q26",36,3
"Q3",36,2
"Q4",36,2
"Q5",36,1
"Q1",37,1
"Q11",37,1
"Q12",37,5
"Q24",37,1
"Q26",37,7
"Q3",37,1
"Q4",37,1
"Q5",37,2
"Q12",38,4
"Q2",38,1
"Q26",38,5
"Q3",38,2
"Q4",38,1
"Q12",39,7
"Q2",39,1
"Q26",39,4
"Q3",39,1
"Q4",39,1
"Q5",39,1
"Q12",40,16
"Q14",40,1
"Q26",40,5
"Q3",40,3
"Q4",40,2
"Q5",40,2
"Q12",41,6
"Q14",41,2
"Q20",41,1
"Q26",41,6
"Q3",41,3
"Q4",41,2
"Q5",41,1
"Q11",42,2
"Q26",42,13
"Q3",42,7
"Q4",42,2
"Q5",42,1
"Q7",42,6
"Q9",42,1
"Q12",45,12
"Q23",45,1
"Q26",45,9
"Q3",45,5
"Q4",45,3
"Q5",45,2
"Q6",45,1
"Q7",45,1
"Q12",46,5
"Q26",46,1
"Q3",46,4
"Q4",46,1
"Q5",46,2
"Q6",46,1
"Q12",47,6
"Q26",47,1
"Q3",47,7
"Q6",47,1
"Q12",49,1
"Q26",49,1
"Q6",49,1
"Q12",50,10
"Q26",50,8
"Q3",50,6
"Q4",50,4
"Q5",50,4
"Q6",50,1
"Q12",51,7
"Q23",51,1
"Q26",51,6
"Q3",51,11
"Q4",51,6
"Q5",51,2
"Q6",51,1
"Q12",52,9
"Q19",52,1
"Q23",52,1
"Q24",52,5
"Q26",52,10
"Q3",52,10
"Q4",52,6
"Q5",52,2
"Q6",52,2
"Q1",54,1
"Q12",54,9
"Q23",54,1
"Q24",54,3
"Q25",54,1
"Q26",54,19
"Q3",54,9
"Q4",54,6
"Q5",54,4
"Q6",54,2
"Q1",55,2
"Q12",55,8
"Q19",55,1
"Q23",55,1
"Q26",55,21
"Q3",55,10
"Q4",55,7
"Q5",55,7
"Q6",55,2
"Q10",56,3
"Q2",56,1
"Q23",56,1
"Q24",56,1
"Q26",56,15
"Q3",56,11
"Q4",56,1
"Q6",56,2
"Q7",56,11
"Q7",57,4
