"","quad","year","trackID","area","survives","age","nearEdge"
"1","A1",34,225,5.43150212153019,1,1,FALSE
"2","A1",34,227,1.32425345537747,0,1,FALSE
"3","A1",34,224,9.36510588955901,1,1,FALSE
"4","A1",34,223,1.56452855388595,1,1,FALSE
"5","A1",34,333,0.25048851966858,0,1,FALSE
"6","A1",34,221,1.32448452554903,0,1,FALSE
"7","A1",34,442,0.25048851966858,0,1,FALSE
"8","A1",34,226,2.16108096556044,1,1,FALSE
"9","A1",34,330,0.25048851966858,0,1,FALSE
"10","A1",34,331,0.24743378162384,0,1,FALSE
"11","A1",34,222,0.91301194376706,0,1,FALSE
"12","A1",34,33,2.25663559731953,0,1,FALSE
"13","A1",34,443,0.25048851966858,0,1,FALSE
"14","A1",34,70,0.79778822356911,0,1,FALSE
"15","A1",34,335,0.25048851966858,0,1,FALSE
"16","A1",34,430,0.25048851966858,0,1,TRUE
"17","A1",34,22,4.73018823882361,1,1,FALSE
"18","A1",34,220,1.43826459944453,1,1,FALSE
"19","A1",34,219,10.2917795609962,1,1,FALSE
"20","A1",34,438,0.2596527338028,0,1,FALSE
"21","A1",34,437,0.25048851966858,0,1,FALSE
"22","A1",34,107,5.0042292548517,1,1,TRUE
"23","A1",34,439,0.25048851966858,0,1,FALSE
"24","A1",34,43,2.73563753038121,1,1,FALSE
"25","A1",34,334,0.25048851966858,0,1,FALSE
"26","A1",34,431,0.25048851966858,0,1,FALSE
"27","A1",34,112,2.28602763295918,0,1,FALSE
"28","A1",34,444,0.25048851966858,0,1,FALSE
"29","A1",34,217,1.0543885695884,0,1,FALSE
"30","A1",34,218,1.66963677807285,1,1,FALSE
"31","A1",34,329,0.25048851966858,0,1,FALSE
"32","A1",34,215,1.59002090188998,0,1,FALSE
"33","A1",34,436,0.25048851966858,0,1,FALSE
"34","A1",34,241,0.25048851966858,0,1,TRUE
"35","A1",34,242,0.25048851966858,0,1,TRUE
"36","A1",34,243,0.25048851966858,0,1,TRUE
"37","A1",34,44,1.73435505910774,1,1,FALSE
"38","A1",34,245,0.25048851966858,0,1,TRUE
"39","A1",34,441,0.24743378162384,0,1,FALSE
"40","A1",34,432,0.25048851966858,0,1,FALSE
"41","A1",34,249,0.25048851966858,0,1,FALSE
"42","A1",34,25,1.12494118133894,1,1,TRUE
"43","A1",34,58,3.92827615036106,1,1,FALSE
"44","A1",34,328,0.25048851966858,0,1,FALSE
"45","A1",34,228,0.72304029585109,0,1,TRUE
"46","A1",34,6,0.93932401389621,0,1,FALSE
