"","Mean","SD","Naive SE","Time-series SE","species"
"beta[1,1]",0.944552026110078,0.156926971193259,0.00405183697334843,0.0168523048253078,"BOGR"
"beta[2,1]",0.742216224296762,0.0850074522737574,0.0021948829797319,0.00784424549008945,"HECO"
"beta[3,1]",0.683768246321733,0.0470863259467963,0.00121576370817357,0.00645044068558371,"PASM"
"beta[4,1]",0.732600257830884,0.0771830230447784,0.00199285708574913,0.00901830202316769,"POSE"
"beta[1,2]",0.921478267863352,0.0896622074403354,0.00231506824133743,0.00768032443277837,"BOGR"
"beta[2,2]",0.730519214937218,0.0918511982597789,0.00237158774126213,0.0103484132133854,"HECO"
"beta[3,2]",0.698337941682978,0.0476220077150122,0.00122959495195469,0.00614192818186041,"PASM"
"beta[4,2]",0.718947618504306,0.0740585586414855,0.00191218376175066,0.00801821152254887,"POSE"
"beta[1,3]",0.800326958262559,0.115600770192937,0.0029847990517733,0.00989068478201814,"BOGR"
"beta[2,3]",0.74241927285614,0.0839598793533528,0.00216783476323413,0.0087356685273891,"HECO"
"beta[3,3]",0.747734782039303,0.0484704521080572,0.00125150169198433,0.00742723864791152,"PASM"
"beta[4,3]",0.727479736384036,0.0776319370918963,0.00200444799660491,0.0145344443514959,"POSE"
"beta[1,4]",0.857978612002965,0.100267165286316,0.00258888707550218,0.0138064165728995,"BOGR"
"beta[2,4]",0.668946081848242,0.0753317700115123,0.0019450579379661,0.0069990888322189,"HECO"
"beta[3,4]",0.692404384738278,0.0467395682773401,0.00120681046364709,0.00676533399822683,"PASM"
"beta[4,4]",0.768723292270558,0.0836826108463874,0.0021606757211681,0.0115185989581325,"POSE"
"beta[1,5]",1.01134496400013,0.166225161074037,0.00429191520373595,0.0198449643131001,"BOGR"
"beta[2,5]",0.78950769997901,0.0990695072223167,0.00255796367726005,0.0125043697092089,"HECO"
"beta[3,5]",0.743879847214086,0.0433006553406542,0.00111801811342814,0.00622875785061774,"PASM"
"beta[4,5]",0.764461173539496,0.080406057119505,0.0020760754677203,0.0115928244720976,"POSE"
"beta[1,6]",0.743664146405635,0.0862966738199595,0.00222817053691864,0.0101541311258275,"BOGR"
"beta[2,6]",0.596163447325269,0.0666327915278979,0.00172045127932573,0.00881503132125583,"HECO"
"beta[3,6]",0.654984710831149,0.0402842072227465,0.00104013375792577,0.00625736957105073,"PASM"
"beta[4,6]",0.657859238821102,0.06056121609496,0.00156368387574566,0.00854899623499336,"POSE"
"beta[1,7]",0.618455714347528,0.094955835082025,0.00245174911931934,0.0103831220344244,"BOGR"
"beta[2,7]",0.609097349535104,0.0768375262141699,0.0019839363959417,0.00880859786742886,"HECO"
