"","Point est.","Upper C.I."
"beta[1,1]",87.2536090917737,168.931793582797
"beta[2,1]",1.0183154790499,1.05056797946292
"beta[3,1]",1.00107071482324,1.00397906981096
"beta[4,1]",1.0077108323651,1.01166732474329
"beta[1,2]",1.01563531237477,1.04197317334786
"beta[2,2]",1.02429179130442,1.07534502840766
"beta[3,2]",1.00093837101081,1.01628381208685
"beta[4,2]",1.0510535793124,1.17377141273212
"beta[1,3]",1.02972791160473,1.08909594066871
"beta[2,3]",1.05185990202251,1.16970713642016
"beta[3,3]",1.00256261042985,1.0087281556518
"beta[4,3]",1.00260109426354,1.01949512216536
"beta[1,4]",1.08205312948142,1.24107649618369
"beta[2,4]",1.00918948711007,1.02335070742445
"beta[3,4]",0.997725916820164,1.00223678437441
"beta[4,4]",1.04484056154587,1.15659975204632
"beta[1,5]",1.07217129764264,1.23487879768889
"beta[2,5]",1.09348770698179,1.28953768665599
"beta[3,5]",1.01622254248847,1.06873720681398
"beta[4,5]",1.02125349681563,1.05803999404102
"beta[1,6]",1.01270969446202,1.03944283582983
"beta[2,6]",1.01203196144406,1.05106565722453
"beta[3,6]",1.01266073507257,1.05568447174057
"beta[4,6]",1.02993310630957,1.09634597509866
"beta[1,7]",1.11452960209914,1.34033968955821
"beta[2,7]",1.04483644652779,1.1382746393634
"beta[3,7]",1.00104715253239,1.00871137020187
"beta[4,7]",1.05500839637908,1.18967709162885
"beta[1,8]",1.10048250551411,1.31750711869321
"beta[2,8]",1.06888456328575,1.21914116105743
"beta[3,8]",1.0118344231083,1.05463708241205
"beta[4,8]",1.005059214738,1.02395352372388
"beta[1,9]",1.18971671027637,1.54372774932191
"beta[2,9]",1.01027994354812,1.02087905917434
"beta[3,9]",1.0044639599852,1.01866559408004
"beta[4,9]",0.996615656254563,0.997989480726592
"beta[1,10]",1.04761349470271,1.16831692655631
"beta[2,10]",1.0068530602244,1.01012514839358
"beta[3,10]",1.02614059445513,1.07899807687117
"beta[4,10]",0.999596037222372,1.00043836458353
