"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea.t0","crowd","pptLag","ppt1","TmeanSpr1","ppt2","TmeanSpr2","logarea.t0:crowd","logarea.t0:pptLag","logarea.t0:ppt1","logarea.t0:TmeanSpr1","logarea.t0:ppt2","logarea.t0:TmeanSpr2","ppt1:TmeanSpr1","ppt2:TmeanSpr2","logarea.t0:ppt1:TmeanSpr1","logarea.t0:ppt2:TmeanSpr2","alpha","sigma.a","sigma.b"
"32",-0.19676328813132,-0.0714742502551116,0.0557591440994394,"A",19.8666829251938,2.79049734930226,-0.113810602425192,0.000360637052228698,-0.111163088692557,-0.933413927439666,-0.0287697223369886,-0.445747830959009,0.0198253184130564,0.000790276027057078,-0.0195966620736134,-0.187314798000694,0.00280668548257395,0.0139757054185255,0.00806338001488554,0.0021028803010856,0.00141020152623744,-0.00017367817181361,0.01,1.14296288231939,-0.132810853102097
"33",0.380093976173332,0.055545435697106,0.0461899852951325,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA
"34",0.178960137612983,0.0516966427253841,-0.0844146927823023,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"35",-0.2320268573768,-0.0151463996980256,-0.0180260372256875,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA
"36",-0.57409663455238,-0.112429828756797,0.0114052216106049,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.46379646832311,0.0985892633231563,-0.0108834246118022,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.891603052502853,-0.227520212642253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.510860720206903,0.21282190201543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-0.100969841991192,0.0751127369050316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.249508127770538,-0.0553638669000943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.0789869358716115,-0.0307826762977589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.0379862200021947,0.0170426365867215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.0667213147823777,0.00204298655221586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
