"","dics","model"
"5",5071.27454047625,5
"3",5071.31977073147,3
"4",5071.38874464995,4
"15",5071.51867425546,15
"19",5071.52330755461,19
"22",5071.52503514328,22
"2",5071.53022972287,2
"16",5071.63381139004,16
"18",5071.64967568223,18
"21",5071.66502585788,21
"17",5071.67850237878,17
"13",5071.68970133387,13
"25",5071.7048245718,25
"14",5071.7048372522,14
"12",5071.72580184914,12
"10",5071.73682189463,10
"23",5071.73931737259,23
"24",5071.74495297336,24
"11",5071.74898365799,11
"1",5071.77998458448,1
"7",5071.83196062388,7
"20",5071.88806830938,20
"9",5071.89030050157,9
"8",5072.04153712004,8
"6",5072.04809706596,6
