"","Species","N","Constant model","Climate model","Full model","Contribution of climate covariates"
"1","BOGR",7887,5724.27776608199,5562.10441386268,5143.3721899947,0.279173343990995
"2","HECO",3238,3359.52848852309,3125.66440547044,2903.57716885165,0.512914587507219
"3","PASM",11221,10265.3990024802,9933.13340330988,9632.26590185109,0.524795811244389
"4","POSE",4604,4256.76784917998,4248.12046366927,4127.61379524129,0.0669540385841589
