"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea","crowd","ppt1","TmeanSpr1","ppt2","TmeanSpr2","logarea:crowd","alpha"
"32",-0.0236421042667002,-0.594202515716068,0.130006124859098,"A",9.02825730388889,1.35597679617826,-0.448564968661178,0.0007459033613083,-0.505879928933759,0.00605191943774814,0.00513497760473769,0.138993463028761,0.01
"33",-0.483640375269258,-0.61567758319388,-0.161122294781589,"B",NA,NA,NA,NA,NA,NA,NA,NA,0.025
"34",-0.180732226199649,-0.551904856858039,-0.0389272427495278,"C",NA,NA,NA,NA,NA,NA,NA,NA,0.02
"35",-0.0318523649903759,0.405304960184992,-0.0170081313193017,"D",NA,NA,NA,NA,NA,NA,NA,NA,0.036
"36",-0.494357566689488,-0.529701596777795,-0.0599830106134898,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.720028711354036,-0.092270625905827,0.146235411499919,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.468835540096992,0.0550458499684198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.637132410186102,0.154977976933333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.374781417738416,0.297054951454125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.0936939234215861,-0.0109377902995481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.487614583454608,0.375790446780944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.525758707300451,0.673394172848169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.109199650399281,0.369119460175024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
