"quad","year","totNumber"
"Q20",23,1
"Q19",26,8
"Q20",26,8
"Q7",26,4
"Q19",27,3
"Q20",27,3
"Q19",29,13
"Q20",29,5
"Q7",29,6
"Q8",29,5
"Q10",30,46
"Q11",30,11
"Q12",30,2
"Q16",30,1
"Q18",30,9
"Q19",30,7
"Q20",30,11
"Q22",30,1
"Q7",30,3
"Q8",30,4
"Q9",30,1
"Q10",31,25
"Q11",31,10
"Q12",31,2
"Q16",31,1
"Q18",31,9
"Q19",31,8
"Q20",31,5
"Q7",31,6
"Q8",31,2
"Q1",32,11
"Q10",32,14
"Q11",32,3
"Q18",32,6
"Q19",32,9
"Q2",32,15
"Q20",32,27
"Q23",32,17
"Q24",32,2
"Q25",32,5
"Q26",32,19
"Q4",32,53
"Q7",32,5
"Q8",32,2
"Q1",33,14
"Q10",33,30
"Q11",33,12
"Q12",33,1
"Q19",33,19
"Q2",33,17
"Q20",33,32
"Q21",33,1
"Q22",33,3
"Q23",33,36
"Q24",33,1
"Q25",33,5
"Q26",33,19
"Q4",33,43
"Q5",33,1
"Q7",33,1
"Q8",33,6
"Q9",33,1
"Q1",34,15
"Q10",34,27
"Q11",34,13
"Q12",34,1
"Q18",34,10
"Q19",34,14
"Q2",34,14
"Q20",34,30
"Q22",34,3
"Q23",34,38
"Q24",34,1
"Q25",34,3
"Q4",34,33
"Q5",34,1
"Q8",34,5
"Q9",34,1
"Q1",35,19
"Q10",35,33
"Q11",35,8
"Q12",35,1
"Q18",35,16
"Q19",35,27
"Q2",35,17
"Q20",35,42
"Q22",35,5
"Q23",35,47
"Q24",35,2
"Q25",35,3
"Q26",35,23
"Q4",35,50
"Q7",35,2
"Q8",35,4
"Q9",35,1
"Q1",36,13
"Q10",36,32
"Q11",36,8
"Q12",36,4
"Q13",36,1
"Q14",36,2
"Q19",36,29
"Q2",36,35
"Q20",36,59
"Q21",36,3
"Q22",36,6
"Q23",36,49
"Q24",36,1
"Q25",36,3
"Q26",36,24
"Q3",36,5
"Q4",36,57
"Q6",36,2
"Q7",36,1
"Q8",36,7
"Q9",36,1
"Q1",37,22
"Q10",37,44
"Q11",37,7
"Q12",37,5
"Q19",37,28
"Q2",37,47
"Q20",37,44
"Q21",37,2
"Q22",37,5
"Q23",37,62
"Q24",37,1
"Q25",37,3
"Q26",37,22
"Q3",37,2
"Q4",37,66
"Q7",37,2
"Q8",37,4
"Q9",37,2
"Q1",38,21
"Q10",38,40
"Q11",38,7
"Q12",38,5
"Q19",38,36
"Q2",38,54
"Q20",38,60
"Q21",38,4
"Q22",38,4
"Q23",38,63
"Q25",38,4
"Q26",38,22
"Q3",38,2
"Q4",38,64
"Q7",38,2
"Q8",38,5
"Q9",38,5
"Q1",39,25
"Q10",39,53
"Q11",39,4
"Q12",39,5
"Q19",39,32
"Q2",39,53
"Q20",39,80
"Q21",39,4
"Q22",39,3
"Q23",39,84
"Q24",39,1
"Q25",39,3
"Q26",39,27
"Q3",39,1
"Q4",39,61
"Q7",39,2
"Q8",39,17
"Q9",39,5
"Q1",40,23
"Q10",40,59
"Q11",40,4
"Q12",40,9
"Q19",40,38
"Q2",40,86
"Q20",40,94
"Q21",40,4
"Q22",40,10
"Q23",40,98
"Q25",40,6
"Q26",40,48
"Q3",40,2
"Q4",40,110
"Q5",40,3
"Q6",40,1
"Q7",40,5
"Q8",40,7
"Q9",40,4
"Q1",41,17
"Q10",41,51
"Q11",41,2
"Q12",41,10
"Q19",41,40
"Q2",41,97
"Q20",41,106
"Q21",41,3
"Q22",41,10
"Q23",41,147
"Q24",41,1
"Q25",41,8
"Q26",41,60
"Q3",41,3
"Q4",41,109
"Q5",41,3
"Q7",41,1
"Q8",41,6
"Q9",41,6
"Q1",42,22
"Q10",42,25
"Q11",42,3
"Q13",42,14
"Q19",42,34
"Q2",42,103
"Q20",42,136
"Q21",42,9
"Q22",42,14
"Q23",42,158
"Q24",42,2
"Q25",42,7
"Q26",42,67
"Q3",42,8
"Q4",42,133
"Q5",42,3
"Q7",42,2
"Q8",42,10
"Q9",42,8
"Q1",45,17
"Q10",45,6
"Q11",45,2
"Q12",45,19
"Q13",45,2
"Q14",45,1
"Q19",45,20
"Q2",45,54
"Q20",45,94
"Q21",45,16
"Q22",45,4
"Q23",45,66
"Q24",45,1
"Q25",45,8
"Q26",45,75
"Q3",45,11
"Q4",45,73
"Q5",45,2
"Q6",45,1
"Q8",45,18
"Q9",45,12
"Q1",46,7
"Q10",46,4
"Q11",46,3
"Q12",46,22
"Q13",46,3
"Q14",46,1
"Q19",46,22
"Q2",46,42
"Q20",46,68
"Q21",46,13
"Q22",46,4
"Q23",46,73
"Q24",46,1
"Q25",46,6
"Q26",46,108
"Q3",46,5
"Q4",46,66
"Q5",46,3
"Q6",46,1
"Q8",46,11
"Q9",46,9
"Q1",47,9
"Q10",47,4
"Q11",47,5
"Q12",47,26
"Q13",47,1
"Q19",47,11
"Q2",47,35
"Q20",47,58
"Q21",47,8
"Q22",47,4
"Q23",47,96
"Q24",47,1
"Q25",47,8
"Q26",47,86
"Q3",47,12
"Q4",47,57
"Q5",47,1
"Q6",47,2
"Q8",47,11
"Q9",47,6
"Q1",49,12
"Q10",49,6
"Q11",49,5
"Q12",49,26
"Q19",49,9
"Q2",49,25
"Q20",49,21
"Q21",49,4
"Q22",49,1
"Q23",49,54
"Q24",49,2
"Q25",49,3
"Q26",49,64
"Q3",49,12
"Q4",49,29
"Q5",49,2
"Q6",49,3
"Q8",49,10
"Q9",49,4
"Q1",50,8
"Q10",50,8
"Q11",50,6
"Q12",50,25
"Q19",50,13
"Q2",50,27
"Q20",50,22
"Q21",50,1
"Q22",50,1
"Q23",50,55
"Q24",50,1
"Q25",50,7
"Q26",50,63
"Q3",50,13
"Q4",50,19
"Q5",50,1
"Q6",50,2
"Q8",50,17
"Q9",50,3
"Q1",51,9
"Q10",51,5
"Q12",51,24
"Q19",51,11
"Q2",51,25
"Q20",51,21
"Q21",51,2
"Q23",51,49
"Q24",51,1
"Q25",51,3
"Q26",51,51
"Q3",51,19
"Q4",51,23
"Q5",51,3
"Q6",51,5
"Q8",51,16
"Q9",51,1
"Q1",52,10
"Q10",52,5
"Q11",52,7
"Q12",52,31
"Q13",52,1
"Q18",52,7
"Q19",52,10
"Q2",52,26
"Q20",52,16
"Q21",52,2
"Q22",52,1
"Q23",52,34
"Q24",52,1
"Q25",52,4
"Q26",52,62
"Q3",52,17
"Q4",52,20
"Q5",52,2
"Q6",52,6
"Q8",52,15
"Q9",52,3
"Q1",54,6
"Q10",54,3
"Q12",54,32
"Q19",54,14
"Q2",54,23
"Q20",54,12
"Q21",54,5
"Q23",54,30
"Q24",54,2
"Q25",54,7
"Q26",54,66
"Q3",54,39
"Q4",54,21
"Q5",54,1
"Q6",54,6
"Q8",54,19
"Q9",54,4
"Q1",55,8
"Q10",55,7
"Q12",55,31
"Q19",55,22
"Q2",55,35
"Q20",55,24
"Q21",55,6
"Q23",55,29
"Q24",55,2
"Q25",55,10
"Q26",55,71
"Q3",55,50
"Q4",55,25
"Q5",55,2
"Q6",55,7
"Q8",55,19
"Q9",55,6
"Q1",56,4
"Q10",56,9
"Q12",56,24
"Q14",56,1
"Q18",56,6
"Q19",56,18
"Q2",56,21
"Q20",56,13
"Q23",56,28
"Q25",56,6
"Q26",56,52
"Q3",56,33
"Q4",56,28
"Q5",56,1
"Q6",56,5
"Q8",56,10
"Q9",56,10
"Q10",57,6
"Q11",57,4
"Q12",57,15
"Q13",57,1
"Q15",57,2
"Q18",57,8
"Q7",57,1
"Q8",57,21
"Q9",57,5
