"year","(Intercept).yr","logage.yr","Group","GrpName","(Intercept)","logage","W1","W2","W3","W4","W5","alpha"
26,-0.793418996848779,-0.0241386235530483,0.0944415698760842,"E1",0.702317907750328,0.597652158381085,-0.00054934899555632,-0.0303613972311521,-0.0313547045532324,-0.0122443700845914,-1.21186606874836,0.004
29,0.203864132107668,-0.0912456464891039,-0.323807695964513,"P1",NA,NA,NA,NA,NA,NA,NA,0.047
30,-0.218687700237411,-0.0208063598694505,0.240516923369902,"P10E1",NA,NA,NA,NA,NA,NA,NA,0.039
31,-0.368469289884157,0.0172610808541729,-0.192536491288776,"P1E1",NA,NA,NA,NA,NA,NA,NA,0.018
32,0.240144776992201,-0.124831563254842,0.0715175842707534,"P2",NA,NA,NA,NA,NA,NA,NA,0.15
33,0.152374874205376,0.246963323440846,0.0978840484936288,"P7E1",NA,NA,NA,NA,NA,NA,NA,NA
34,0.322107057915123,0.385647117363286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.0670785210701897,0.0605142193139644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.139284054128190,0.552935407749212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0204771305643937,0.339868368888035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.199916103987811,0.196337112294003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.272687076593014,0.180989973723761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.4539629866485,-0.0998163539813716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.248824562339291,-0.277881099267313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.0669587125311544,0.00203712182567563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.0175171804780699,-0.283275108739367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-0.00447066811493852,-0.263566489287167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.0215374398240862,-0.136432717658517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.284830983808834,-0.331171163209482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.53726543664441,0.061385490707446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-0.62506555706598,-0.110954426929198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,-0.394264388722995,-0.391516083044763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
