"","Mean","SD","Naive SE","Time-series SE","species"
"intG[1,1]",-0.0989850283896136,0.696963098344425,0.00179955098187272,0.00417631487104485,"BOGR"
"intG[2,1]",0.179130381810259,0.541103150705536,0.0013971223275086,0.00260606812978829,"HECO"
"intG[3,1]",-0.00318698656262911,0.711533199539777,0.00183717082139416,0.0032672524328119,"PASM"
"intG[4,1]",-0.378137260327069,0.805568648089528,0.00207996930551838,0.00430936975564431,"POSE"
"intG[1,2]",-0.06342945280986,0.703003215369549,0.00181514649697102,0.00317199716425107,"BOGR"
"intG[2,2]",-0.21011559501897,0.595130703374188,0.00153662086865663,0.00253058029248391,"HECO"
"intG[3,2]",-0.00140129503276905,0.730774877025522,0.00188685261903108,0.00460719629140664,"PASM"
"intG[4,2]",0.920727911437287,0.915176591396302,0.00236297579821117,0.00884054535297619,"POSE"
"intG[1,3]",0.391980884048119,0.822200785252488,0.00212291329901437,0.00887160643600108,"BOGR"
"intG[2,3]",0.158140592948842,0.578021421110772,0.00149244489180878,0.00246571798195064,"HECO"
"intG[3,3]",0.00515832222762131,0.716448881285592,0.00184986305708535,0.00328646906489264,"PASM"
"intG[4,3]",0.332545793073847,0.805763699011447,0.00208047292483321,0.006055278089672,"POSE"
"intG[1,4]",-0.0516180333383023,0.709400205634769,0.00183166345481305,0.00381790203298978,"BOGR"
"intG[2,4]",-0.150520466575726,0.599362249491514,0.0015475466737507,0.00238136250552306,"HECO"
"intG[3,4]",-0.00231326872879702,0.712551980198184,0.00183980130174312,0.00342159517826955,"PASM"
"intG[4,4]",-0.249863054111412,0.820448287646021,0.00211838836965162,0.00427376991516994,"POSE"
"intG[1,5]",-0.0955390675319434,0.719276491889482,0.00185716391627097,0.00421195132352021,"BOGR"
"intG[2,5]",-0.244991896887304,0.594460859386712,0.00153489133891792,0.00253233810460941,"HECO"
"intG[3,5]",-0.000366010075840676,0.733066719084348,0.00189277012978173,0.00427265622111644,"PASM"
"intG[4,5]",-0.324534494801102,0.811214572300942,0.00209454701914821,0.0044031674969935,"POSE"
"intG[1,6]",-0.0817832609358579,0.714995689748386,0.00184611093267039,0.00342025470765788,"BOGR"
"intG[2,6]",0.272470704709144,0.559712022521803,0.00144517022793268,0.00279441531256031,"HECO"
"intG[3,6]",-0.0035278562231368,0.728566281343184,0.00188115004950028,0.0047479285682646,"PASM"
"intG[4,6]",-0.29464817769753,0.806349975393223,0.00208198668394181,0.00412579919690058,"POSE"
"intercept[1]",-7.89903205077939,1.60737291388348,0.00415021901774373,0.0251354103948859,"BOGR"
"intercept[2]",-5.78936158360074,0.904635810312798,0.00233575961848288,0.0276108080808978,"HECO"
"intercept[3]",-802.296206076359,601.085787258214,1.55199682912869,2.63691640463537,"PASM"
"intercept[4]",-5.99559231621552,1.01697795206892,0.00262582578121538,0.0246627682379605,"POSE"
"rain1[1]",2.46040246907114,1.14860441836692,0.00296568385581023,0.0380966792062801,"BOGR"
"rain1[2]",2.41441620251426,1.01104983169182,0.00261051944021883,0.0389020534262345,"HECO"
"rain1[3]",2.43955403592601,1.49764070247271,0.00386689166618612,0.0400513329044307,"PASM"
"rain1[4]",2.45057622108734,1.03796032893703,0.0026800020453314,0.0399516870794779,"POSE"
"rain2[1]",1.4405351279256,0.767084252366315,0.00198060302303514,0.024782623689208,"BOGR"
"rain2[2]",1.46622112046609,0.683458527090194,0.00176468232882918,0.024355938014986,"HECO"
"rain2[3]",1.44259286310994,1.36837440569467,0.00353312752308794,0.0547412896535982,"PASM"
"rain2[4]",1.49083543379439,0.678963270131402,0.0017530756252703,0.0244568618088656,"POSE"
"temp1[1]",3.66274881711774,1.62052734559885,0.00418418361438537,0.0627205360634304,"BOGR"
"temp1[2]",4.15075650649931,1.49357926800219,0.00385640508747543,0.074301307199393,"HECO"
"temp1[3]",3.8404240163458,2.16808145602264,0.00559796224826454,0.05688068649859,"PASM"
"temp1[4]",3.73520897906637,1.46789935858133,0.00379009984646268,0.0690799740008697,"POSE"
"temp2[1]",2.23730681048777,1.0982456270091,0.00283565801563425,0.0331832867564839,"BOGR"
"temp2[2]",1.93695799195666,0.852404223802444,0.00220089824201582,0.028882241555075,"HECO"
"temp2[3]",2.11244642615584,1.42923320015862,0.00369026425470738,0.0303569070414969,"PASM"
"temp2[4]",2.14303115924119,0.92028329461369,0.00237616124922114,0.0320488992132548,"POSE"
