"time","cover"
100,2.56328589849541e-19
101,1.05169255000974e-19
102,1.44594863654891e-18
103,1.07970132611833e-18
104,1.43052961122305e-18
105,9.82117222589079e-19
106,3.87462891799105e-19
107,2.57875599792425e-19
108,2.42698349174484e-19
109,1.52979815844305e-19
110,5.18675086120595e-20
111,3.239007891631e-20
112,1.58983770750096e-20
113,2.12888370668077e-20
114,1.38552585226427e-20
115,6.82306461203509e-21
116,2.84345485843411e-21
117,1.58280387956575e-21
118,1.1443145354874e-21
119,4.94397109316499e-22
120,2.33130237162219e-22
121,1.43149194870288e-22
122,1.3892876965471e-22
123,1.22356305567292e-22
124,3.81715323562635e-22
125,3.2762340249697e-22
126,1.43094326145621e-22
127,4.03537272057081e-23
128,3.5989218653673e-23
129,1.42007641064916e-23
130,7.90756934812858e-24
131,7.89499120718002e-24
132,4.10073767918919e-24
133,2.97034291543699e-24
134,3.84160421517683e-24
135,1.926180307444e-24
136,6.94910435326961e-25
137,3.21076480945147e-25
138,1.81631487419434e-25
139,9.55228913661668e-26
140,4.14376349615375e-26
141,2.0875391827401e-26
142,8.10580968272047e-27
143,3.69367277349792e-27
144,2.27765955775876e-27
145,1.51849219361822e-27
146,7.86175801642014e-28
147,5.54279564057028e-28
148,3.69521637842441e-28
149,2.80349152045417e-28
150,1.4850734066732e-28
151,8.42340146777277e-29
152,7.75417598321841e-29
153,9.21173600408405e-29
154,4.26051144622419e-29
155,2.50988383653975e-29
156,1.81742618568167e-29
157,6.16193168771598e-30
158,2.86894940926003e-30
159,2.31192892499974e-30
160,3.91446914012522e-30
161,1.85164732483035e-30
162,6.91728268563805e-31
163,2.31916114758844e-30
164,2.31906277183323e-30
165,1.69330385725217e-30
166,1.27143350019829e-30
167,8.87495046783825e-31
168,1.26540195660209e-30
169,2.33251102029514e-31
170,2.093575518805e-31
171,1.23713088115801e-31
172,6.00441206827559e-32
173,2.41616408464445e-32
174,3.02462200165367e-32
175,2.04770718631832e-32
176,1.31815469662957e-32
177,1.04934651551777e-32
178,7.63003701952256e-33
179,6.55867123315478e-33
180,6.89878154394125e-33
181,2.67693718345553e-33
182,9.28276501250592e-34
183,1.40593420889341e-33
184,9.33264324200336e-34
185,4.93508506527863e-34
186,4.66851416125251e-34
187,1.64399345518932e-33
188,6.45901724980644e-34
189,2.91258760317618e-34
190,6.09672894475239e-34
191,4.29812503249943e-34
192,2.35512202358832e-33
193,7.44786886252788e-33
194,1.03674663977326e-32
195,7.27211179866066e-33
196,4.72974593765485e-33
197,2.53650780592547e-33
198,2.52278431041998e-33
199,2.05266519053016e-33
200,1.59683687133022e-33
201,1.64846284377604e-33
202,1.24873931847249e-33
203,1.5471729162498e-33
204,7.4098245737925e-34
205,4.46200931661578e-34
206,1.69069868793142e-34
207,8.99830786412404e-35
208,1.28787688413104e-34
209,1.29010660853973e-34
210,4.80472058742864e-35
211,5.18937859429821e-35
212,1.83110671566169e-35
213,1.60543062442662e-35
214,5.88808095985803e-36
215,5.74798424662602e-36
216,3.87101830024905e-36
217,7.30641446335556e-37
218,4.24934746970837e-37
219,4.34162422005669e-37
220,1.65844946830104e-37
221,8.27449701492605e-38
222,5.74689826665383e-38
223,2.94666050283898e-38
224,8.86442982263007e-39
225,7.6542444078179e-39
226,3.54556206740028e-39
227,2.02069169941593e-39
228,1.91380946034272e-39
229,9.42123242859499e-40
230,3.38995816726036e-40
231,1.83681123363065e-40
232,1.52808905895368e-40
233,8.50261650393989e-41
234,6.17150648546957e-41
235,3.93545374040321e-41
236,6.00256727643418e-41
237,2.67305020399525e-41
238,1.35203883348993e-41
239,9.67866611661777e-42
240,7.50539969433902e-42
241,3.59587341477212e-42
242,7.02507886677391e-42
243,6.8633363591097e-42
244,4.40730348261464e-42
245,2.074692127807e-42
246,4.22429250427845e-43
247,6.77820304183463e-43
248,2.43828877248637e-43
249,9.74659702945071e-44
250,5.46503181634735e-44
251,1.91061448235198e-44
252,1.14674712853664e-44
253,7.4028013997174e-45
254,3.21386590619498e-45
255,1.11052656055191e-44
256,4.42975891939816e-45
257,3.25647957396603e-44
258,3.19015270565539e-45
259,2.28743101590791e-45
260,2.53682624326871e-45
261,7.4784991400151e-46
262,7.44138336620202e-46
263,7.47058381428632e-46
264,4.90317625474384e-46
265,2.78324467338484e-46
266,2.6629300256649e-46
267,5.25523440784067e-47
268,9.86793395178432e-47
269,7.01060466244813e-47
270,5.13866499950251e-47
271,5.39407331231925e-47
272,4.52350674950543e-47
273,2.71575072485746e-47
274,1.94716531569995e-47
275,1.16635117741569e-47
276,9.01882868798813e-48
277,9.65324220467031e-48
278,7.40110617789876e-48
279,3.46402983676111e-48
280,1.38077027761091e-48
281,9.98344176156513e-49
282,7.31449733262699e-49
283,3.7340131784678e-49
284,3.05598986200256e-49
285,6.06037102794948e-49
286,3.77704405832118e-49
287,4.2290519448147e-49
288,3.06733586980084e-49
289,5.04626776541548e-49
290,2.71596286154853e-49
291,1.98863321595735e-49
292,2.86327019281807e-49
293,1.87373412236445e-49
294,1.76331130197641e-49
295,1.26756205647523e-49
296,9.56657080242663e-50
297,5.4762658619725e-50
298,5.79635957549141e-50
299,3.42528588073244e-50
300,2.50879042460621e-50
301,3.48108850322057e-50
302,2.33589024733725e-50
303,1.19792524735041e-50
304,7.16566204387639e-51
305,1.77213740646295e-50
306,1.81363869776545e-50
307,6.2999406480521e-51
308,7.43311351594102e-51
309,5.55904927136083e-51
310,2.92898691700272e-51
311,4.4957840294766e-51
312,4.44366496547903e-51
313,2.86219511030723e-51
314,3.61701684285557e-51
315,1.42743328396469e-51
316,7.40456930782528e-52
317,9.55707866906218e-52
318,7.97899075594436e-52
319,9.59295922070522e-51
320,9.78725086483692e-51
321,2.92599157924866e-51
322,1.99494341712428e-51
323,1.00815391824752e-51
324,5.70557094608797e-52
325,6.57305545505408e-52
326,3.30983126036099e-52
327,3.6605332865781e-52
328,1.62261018763948e-52
329,1.34095290018206e-52
330,1.00278625251751e-52
331,7.24318923433761e-53
332,4.95594008759229e-53
333,3.15486479402516e-53
334,3.15658338997711e-53
335,1.38742844644451e-53
336,1.88111549546998e-53
337,9.04397476878453e-54
338,3.50810169069555e-54
339,1.79825327470107e-54
340,3.047566941278e-54
341,3.56991559262294e-54
342,2.44152774012417e-54
343,2.70015575016598e-54
344,2.47659927466139e-54
345,3.19494880868599e-54
346,2.64420237589171e-54
347,2.2390761616595e-54
348,1.27789908018031e-54
349,9.57288958197325e-55
350,1.42574832999343e-55
351,8.34642665703042e-56
352,4.05500309437696e-56
353,6.78038214639547e-56
354,4.21887114786956e-56
355,8.32099594588397e-57
356,4.52234412972108e-57
357,6.66614965194924e-57
358,4.67685050750863e-57
359,3.21653043643526e-57
360,6.94902258867209e-58
361,2.92164690115304e-58
362,1.8972641800673e-58
363,1.04214815070026e-58
364,1.1538050685651e-58
365,6.39255274769065e-59
366,5.73517221371554e-59
367,3.11598321725677e-59
368,1.73519694282706e-59
369,1.18039316800629e-59
370,9.65377722226379e-60
371,4.63290947976134e-60
372,2.96475821651621e-60
373,1.85717572881756e-60
374,1.63202864243849e-60
375,1.12699476117168e-60
376,3.43096663660146e-61
377,2.81120877136194e-61
378,1.93342151830892e-61
379,1.82588243808189e-61
380,8.9092476649146e-62
381,3.21358251136262e-62
382,2.70527662206393e-62
383,4.00483240024581e-62
384,2.36048084002964e-62
385,1.14453167636158e-62
386,1.80107316727229e-62
387,1.58365526607091e-62
388,1.70351712058937e-62
389,1.18723937059453e-62
390,2.10243464646012e-62
391,1.21025879282898e-62
392,8.54128919249887e-63
393,4.30528569412475e-63
394,1.45620459152296e-63
395,7.08203729442867e-64
396,3.16849949665213e-64
397,4.68620383032266e-64
398,1.67653454408725e-64
399,8.95997822783337e-65
400,3.69823993263916e-65
401,2.81181798340729e-65
402,1.05191185493533e-65
403,7.91421997675056e-66
404,2.96385674449141e-66
405,3.51020637799338e-66
406,3.86516706867982e-66
407,2.57636500476855e-66
408,1.85196018686204e-66
409,1.4855501034235e-66
410,7.75915341854772e-67
411,4.52873140544367e-67
412,3.14848207375013e-67
413,2.08854268224731e-67
414,1.41559783176983e-67
415,6.87193049126432e-68
416,1.88037168323872e-68
417,2.41507699967993e-68
418,1.49939754775054e-68
419,7.47478836891147e-69
420,3.97194250916132e-69
421,2.2276793860073e-69
422,1.55015277509748e-69
423,8.75879885480284e-69
424,9.61005637210016e-69
425,5.17411839808711e-69
426,3.58389212632083e-69
427,2.27423238860457e-69
428,1.13121175508082e-69
429,9.70792083178078e-70
430,5.27062812976184e-70
431,5.42527706630166e-70
432,5.91223818115595e-70
433,5.21463610119872e-70
434,4.09100092582318e-70
435,4.80543565799009e-70
436,2.63159462923542e-70
437,7.81847159670982e-71
438,5.38015684174816e-71
439,3.97832761486324e-71
440,2.96709389055462e-71
441,1.41406135843915e-71
442,7.89209847107896e-72
443,1.96388482873376e-72
444,1.22221987241722e-72
445,1.54278035504777e-72
446,6.21603818984347e-72
447,3.74020268305735e-72
448,1.4852912019175e-72
449,1.11189913622904e-72
450,4.7545466771561e-73
451,2.92174687763524e-73
452,1.48292885148404e-73
453,5.59849727586968e-74
454,2.81990201089218e-74
455,7.80994066927216e-75
456,5.03486100197536e-75
457,4.23244172609406e-75
458,2.52025786235537e-75
459,3.26655813578679e-75
460,4.26995620123783e-75
461,2.01713216236511e-75
462,4.68489037835546e-76
463,4.07511105252813e-76
464,1.66999797817643e-76
465,9.37925557371504e-77
466,6.67537642305611e-77
467,1.8279840800765e-77
468,2.7417695136319e-77
469,3.54134660614814e-77
470,3.16462653409746e-77
471,2.11999105787455e-77
472,1.0423887080522e-77
473,1.34724776055054e-77
474,8.2730411344042e-78
475,7.28723358668864e-78
476,3.02381517434008e-78
477,1.89406844942511e-78
478,1.39134273895968e-78
479,6.08992785506754e-79
480,7.34613793236373e-79
481,2.62979981791661e-79
482,1.90715290043179e-79
483,9.14290363365295e-80
484,5.63996189182282e-80
485,3.60111819649129e-80
486,1.78030339883805e-80
487,1.08898284771881e-80
488,8.57246779783948e-81
489,4.02004026398987e-81
490,1.60709437686534e-81
491,1.03765554693923e-81
492,5.42666458935663e-82
493,1.39529242889646e-82
494,1.30487879332793e-82
495,1.7796249058474e-82
496,7.28859015932867e-83
497,3.19723282919626e-83
498,1.1131921164074e-82
499,4.99608124180949e-83
500,4.24133280645803e-83
501,4.26503926119013e-83
502,2.0753927655276e-83
503,1.03843459542198e-83
504,6.1293330233116e-84
505,5.74686676395224e-84
506,2.81978635484053e-84
507,2.33977982059584e-84
508,1.59008186396692e-84
509,7.20742951164777e-85
510,8.72633906664573e-85
511,5.49291156877473e-85
512,4.30756114662883e-85
513,2.82528799299659e-85
514,2.28938312238308e-85
515,3.17765622552323e-85
516,1.32947981958741e-85
517,1.09389052111031e-85
518,6.17660899452381e-86
519,3.99532430419739e-86
520,1.99808917495668e-86
521,2.2144415913653e-86
522,3.94026909629096e-86
523,1.32598905766068e-86
524,8.83240047018247e-87
525,6.30875446405612e-87
526,5.55283269860145e-87
527,7.85289567891312e-88
528,5.48789491386525e-88
529,3.74143802988602e-88
530,1.31843705063146e-88
531,8.43557329577265e-89
532,6.40240494664806e-89
533,4.163761406613e-89
534,6.84370854258132e-89
535,4.86875733149809e-89
536,4.19612388796796e-89
537,1.24990321515743e-89
538,8.18707181611887e-90
539,2.99696339923004e-90
540,3.94001648628675e-90
541,2.86371843821215e-90
542,1.68283088503073e-90
543,9.72497273687944e-91
544,4.58079948327019e-91
545,2.13033188405783e-91
546,1.53526336700051e-91
547,9.2613200425654e-92
548,2.64212356977774e-91
549,4.68984463997905e-91
550,2.511604412238e-91
551,1.70410128069931e-91
552,2.06181658767777e-91
553,8.29736658966089e-92
554,4.65399813607959e-92
555,5.71198683332873e-92
556,3.75506200608809e-92
557,2.4985102049724e-92
558,2.19555402154177e-92
559,2.47699192679042e-92
560,9.96288810930664e-93
561,1.02352834615464e-92
562,1.25109773569945e-92
563,1.67250826634705e-92
564,1.13907059528998e-92
565,5.79280675666236e-93
566,2.45339422952462e-93
567,7.70316709485585e-93
568,5.14958800880614e-93
569,4.22012666528809e-93
570,2.89376276543224e-93
571,1.60371830926199e-93
572,1.14873335725657e-93
573,1.01761522683259e-93
574,3.35997912104078e-94
575,1.11969078714027e-94
576,1.11215898499429e-94
577,6.43646353659128e-95
578,6.47588590447077e-95
579,5.90647172915653e-95
580,8.13740435264571e-95
581,1.05811859286299e-94
582,5.28554253517268e-95
583,5.34347668348567e-95
584,2.96278569236183e-95
585,3.93246056204669e-95
586,3.52275109790127e-95
587,2.36409542776389e-95
588,1.23793725260661e-95
589,6.53521217202076e-96
590,2.20864860658267e-96
591,4.36480682565246e-96
592,6.8285664130495e-96
593,3.86842005798019e-96
594,3.5237579898045e-96
595,1.31472500626614e-96
596,1.10130361438826e-96
597,6.75652904778115e-97
598,4.14870673902039e-97
599,2.16109753991869e-97
600,2.64135785365112e-97
601,6.49412975082138e-97
602,3.33281930312853e-97
603,2.21982406877144e-97
604,1.77889143983116e-97
605,2.02179555889769e-97
606,3.08180499062267e-97
607,2.24601686192128e-97
608,1.86653773115328e-97
609,3.0378970442822e-97
610,2.68200764256511e-97
611,2.70513030161416e-97
612,3.1799382686446e-97
613,2.28707533061679e-97
614,1.63970697033156e-97
615,7.65740668410874e-98
616,5.00358875156344e-98
617,2.44629258309949e-98
618,1.16823558789103e-98
619,1.47858827534718e-98
620,8.50108841702892e-99
621,4.3648068842134e-99
622,2.61946210399962e-99
623,7.09782409348594e-99
624,3.49765590529857e-99
625,4.93543751816221e-99
626,5.08229824454213e-99
627,3.86169308038261e-99
628,1.84008085194409e-99
629,1.24470901935886e-99
630,3.98658162443388e-100
631,4.45515503132351e-100
632,3.63325474737748e-100
633,3.31255559033199e-100
634,2.44973012509056e-100
635,4.18515096840991e-100
636,2.1744950347112e-100
637,1.03869621360998e-100
638,1.2438258604047e-100
639,8.0795137131101e-101
640,5.3676151787911e-101
641,1.14488717986652e-100
642,2.28126134329163e-100
643,1.61835203522572e-100
644,1.49216583585466e-100
645,4.6198315072514e-98
646,1.48271537580698e-98
647,1.05109726183986e-98
648,1.08011807551842e-98
649,5.31081399868471e-99
650,4.54176923161604e-99
651,2.23030672360813e-99
652,1.08498971953669e-99
653,7.43547174412615e-100
654,4.81545123715295e-100
655,2.58409125035304e-100
656,1.0848624836383e-100
657,4.25159531564513e-101
658,1.5786638177407e-101
659,7.52943804925981e-102
660,4.82279981457398e-102
661,3.38048647393938e-102
662,3.13558841670962e-102
663,2.24336959111354e-101
664,3.09538659631429e-101
665,2.91365411973146e-101
666,1.35091179825466e-101
667,1.62072899833235e-101
668,1.14522729034947e-101
669,7.43067033234453e-102
670,4.99670949396836e-102
671,3.74239725432444e-102
672,2.79789258710297e-102
673,1.59508645947118e-102
674,7.60781748353645e-103
675,5.44796196123598e-103
676,3.93196155881016e-103
677,4.39723880011875e-103
678,5.00933787799654e-103
679,6.9424312493454e-103
680,3.89911783304192e-103
681,3.00599564893478e-103
682,1.09472580107888e-103
683,1.31266729469319e-103
684,8.26905882696001e-104
685,3.96483558334996e-104
686,3.77514216552851e-104
687,3.96817390069341e-104
688,8.2062690198503e-105
689,3.44133859763065e-105
690,2.48511304167117e-105
691,9.17383314102866e-105
692,3.69703104569087e-105
693,2.144288039042e-105
694,3.0597362800142e-105
695,2.89161096593383e-105
696,1.95438344438258e-105
697,8.99394267566356e-106
698,3.96038953477842e-106
699,5.28164941474278e-106
700,3.740036143048e-106
701,1.76739386177788e-106
702,2.29726202412132e-106
703,1.42468636461476e-106
704,8.02346290825592e-107
705,2.94125568312291e-107
706,1.90422767268938e-107
707,1.30659944243375e-107
708,1.14067387899839e-107
709,5.34433422768289e-108
710,3.07217496439117e-108
711,1.53984121613416e-108
712,1.94231871980154e-108
713,1.42591856893689e-108
714,9.45531977186198e-109
715,6.77088074865788e-109
716,3.57265558343064e-109
717,1.99972487178433e-109
718,7.28132260228053e-110
719,8.40246780456718e-110
720,1.27335457487013e-109
721,3.25705268503042e-110
722,3.00987337770363e-110
723,8.35080411588666e-110
724,6.55258232596561e-110
725,4.45736610315596e-110
726,5.21046230165213e-110
727,3.4498686364436e-110
728,1.41338556673149e-110
729,1.0848694354351e-110
730,6.48349417038666e-111
731,9.36897245626504e-111
732,1.10642905347626e-110
733,8.70769856281853e-111
734,4.88517111962282e-111
735,3.82733998069959e-111
736,3.17424710642514e-111
737,2.29525110854388e-111
738,1.74061316737434e-111
739,1.85804379032601e-111
740,5.19195092929103e-112
741,3.21349657221664e-112
742,1.79154646519697e-112
743,1.06784725388853e-112
744,6.53173175396181e-113
745,4.03030873036972e-113
746,3.62128356949116e-113
747,2.25783005241778e-113
748,1.64042289571957e-113
749,1.39176370542424e-113
750,4.49071918028871e-114
751,6.00027263982146e-114
752,5.63042545871997e-114
753,2.45700969360896e-114
754,1.78298484102554e-114
755,1.44361848629332e-114
756,6.25625134629407e-115
757,4.25053989833391e-115
758,2.28216819611337e-115
759,1.82333451210406e-115
760,7.77058738205473e-116
761,5.37190489250704e-116
762,2.42177288429491e-116
763,1.55207138424184e-116
764,9.5685519739359e-117
765,4.38942843285083e-117
766,1.63613635822347e-117
767,1.82099593309576e-117
768,2.08502190624143e-117
769,1.24070555847163e-117
770,1.47276865752333e-117
771,2.08987059429625e-117
772,9.70235637278651e-118
773,2.68736705258161e-118
774,5.94323237919498e-119
775,1.27560723858775e-119
776,8.54762692789414e-120
777,4.04534394371393e-120
778,3.73464809804235e-120
779,2.51695903143739e-120
780,4.5358850794698e-120
781,3.30149146799094e-120
782,3.12449505636708e-120
783,2.68267121805865e-120
784,2.91036711085363e-120
785,1.69660807520418e-120
786,1.27316929639481e-120
787,5.05787256571631e-121
788,2.63689445444769e-121
789,2.6504888174892e-121
790,2.59690775307581e-121
791,1.97801743334543e-121
792,3.73439197708746e-122
793,2.38858279830591e-122
794,1.96045443247549e-122
795,1.26270606011147e-122
796,5.19638822201762e-123
797,3.93502851354748e-123
798,4.39434196094752e-123
799,2.01823417124232e-123
800,6.82850192251238e-124
801,5.07039535871105e-124
802,3.93696164187808e-124
803,3.06383360300581e-124
804,2.34563870167882e-124
805,3.52204771061561e-124
806,2.18859022011858e-124
807,1.61657673643753e-124
808,1.37307550190521e-124
809,9.1987901231954e-125
810,1.11133733733284e-124
811,1.19313191807058e-124
812,8.36389111634477e-125
813,1.00528238799483e-124
814,5.69236725366979e-125
815,6.56249217906283e-125
816,1.48713908376029e-125
817,1.12441435889458e-125
818,9.47502344471141e-126
819,5.01659736428484e-126
820,4.30298508966288e-126
821,7.53288795056383e-126
822,5.51526363823343e-126
823,5.91364455279807e-126
824,4.90839420759706e-126
825,7.62528947904726e-126
826,1.33403912734275e-126
827,1.40561467197619e-126
828,1.13344559269318e-126
829,7.24250801695626e-127
830,3.28787313989208e-127
831,3.26226167075194e-127
832,3.07857785583261e-127
833,1.21232399679819e-127
834,9.09386277648671e-128
835,8.34649125466507e-128
836,9.36826159337328e-128
837,4.73399583168918e-128
838,3.50562519315459e-128
839,2.51714842374356e-128
840,2.04869267011823e-128
841,1.17145926702444e-128
842,9.75593852774494e-129
843,4.24983540387528e-129
844,3.10451102858733e-129
845,9.65676413128708e-130
846,6.03008477944262e-130
847,4.5894937777735e-130
848,6.74267932555666e-130
849,5.31689389482067e-130
850,3.87739087756939e-130
851,1.02387274592833e-130
852,3.15107865112014e-131
853,1.64997246437408e-131
854,1.27278338050419e-131
855,1.77151427329168e-131
856,2.6335889072006e-131
857,2.46044253562651e-131
858,3.04924107355438e-131
859,1.93444301950424e-131
860,1.33087230912826e-131
861,8.65824844163212e-132
862,5.15842499228365e-132
863,4.63708607749155e-132
864,2.10969551455441e-132
865,1.66866504026446e-132
866,1.69307905064207e-132
867,4.03214655245832e-133
868,1.739859591487e-133
869,4.80477070914984e-133
870,5.72888440336891e-133
871,5.52521463166612e-133
872,3.32043082653464e-133
873,3.5919970793562e-133
874,1.83980989866567e-133
875,1.20649984235851e-133
876,4.25655182844574e-134
877,2.72795092145952e-134
878,1.11480208400475e-134
879,7.14366820128513e-135
880,4.73060558351273e-135
881,2.70356637456158e-135
882,1.5796796880981e-135
883,1.64383935311259e-135
884,9.27639122946358e-136
885,7.42743013160364e-136
886,5.0108769240877e-136
887,5.05906623918502e-136
888,3.57902585955385e-136
889,1.72065920090009e-136
890,1.46277325639678e-136
