"time","density"
1000,132.537544656692
1001,458.350776524173
1002,134.084153967471
1003,122.795628551408
1004,111.503245717183
1005,313.364820626467
1006,186.494339067538
1007,162.24131997855
1008,151.039586164472
1009,536.459969972901
1010,444.457534908441
1011,122.62719755277
1012,105.347647998729
1013,111.135806481799
1014,113.756984731464
1015,78.2342984625231
1016,55.3349187439435
1017,74.696452910847
1018,48.823264811371
1019,55.5916008714074
1020,94.7881515529364
1021,25.5411889081459
1022,41.520483901855
1023,16.2535927345009
1024,65.9548598247577
1025,60.4972824716278
1026,188.433528833301
1027,81.9248147244833
1028,57.6325268953624
1029,63.9846519590821
1030,84.5782306455265
1031,167.267418818569
1032,267.924633918017
1033,116.535915299678
1034,55.1704397412419
1035,34.9820328322818
1036,43.7326578031629
1037,41.0436639230837
1038,38.8966072046681
1039,331.609262141842
1040,380.544771204783
1041,309.910616318881
1042,197.059007862914
1043,260.628367799976
1044,196.005379316145
1045,109.05219391906
1046,107.290573446423
1047,45.7110880988908
1048,52.0443554523561
1049,18.8768996646373
1050,13.9197199841935
1051,12.4471685309342
1052,157.142518311983
1053,36.2324239621235
1054,10.6546678293497
1055,5.82687522437502
1056,11.8185216502468
1057,37.8691078007286
1058,32.2816951030506
1059,249.79905979621
1060,421.43760995599
1061,234.644435972624
1062,220.723884594332
1063,267.758957723642
1064,235.893884291644
1065,285.359415656162
1066,253.339905407315
1067,252.867294712266
1068,238.741407396241
1069,365.117767963583
1070,272.634842660345
1071,252.926310820798
1072,301.220688588963
1073,250.076687004268
1074,299.967177998957
1075,287.967104903293
1076,251.064650679975
1077,205.696949359305
1078,86.4834565446248
1079,78.3955398638843
1080,101.057696017593
1081,83.9274903478121
1082,89.7033268973529
1083,95.067910068802
1084,88.9952583859162
1085,224.474797498195
1086,181.895344856643
1087,241.888123473775
1088,123.632374368086
1089,127.151696617729
1090,212.863762203373
1091,176.372995809192
1092,131.694448745806
1093,176.206159586192
1094,1987.78929816998
1095,524.578364650721
1096,223.755110022468
1097,253.162661698859
1098,275.146350835933
1099,238.453866193807
1100,189.976472073634
1101,126.397564638726
1102,48.1622082749379
1103,48.7764180414427
1104,161.32545533646
1105,120.823752098481
1106,926.909618349553
1107,863.780960062243
1108,671.00010515284
1109,455.881030340633
1110,209.185277076925
1111,132.561194342448
1112,815.416984462453
1113,167.800971909852
1114,51.2497319420555
1115,40.1726642854911
1116,39.5422730115888
1117,112.20922354394
1118,75.1779764709678
1119,315.372722676162
1120,107.681185967155
1121,81.610808870951
1122,90.8640638395602
1123,91.9247104723279
1124,99.5828045668935
1125,87.8058132573527
1126,103.708070973441
1127,50.0600567515581
1128,55.0075339172831
1129,280.387747834552
1130,96.4009432520396
1131,844.074752008492
1132,401.10800604556
1133,372.346946418478
1134,456.417991530124
1135,395.096065401468
1136,372.245783685946
1137,374.727834072972
1138,326.193377452676
1139,288.529496086889
1140,247.910214666011
1141,238.3799813958
1142,245.820500017757
1143,250.71507885495
1144,220.355034278453
1145,218.283765195339
1146,169.099784075479
1147,280.004903182579
1148,215.336574075103
1149,171.69822810851
1150,78.4883776690651
1151,73.6273404262601
1152,86.714030956876
1153,96.3271698961026
1154,90.260728259461
1155,95.2411049683071
1156,536.647616890896
1157,288.436195332289
1158,233.790669226526
1159,258.656695164568
1160,140.455909873818
1161,131.317427969951
1162,66.7941503997191
1163,30.4802269098725
1164,28.0214924302723
1165,227.29460085824
1166,110.417265785247
1167,78.3762088829942
1168,41.667983754681
1169,52.7878924235003
1170,163.579691262347
1171,211.532227234576
1172,541.658053818182
1173,101.266146560153
1174,95.6823684417097
1175,389.618887278944
1176,409.478187602931
1177,367.041633870438
1178,294.138755614793
1179,282.701235406647
1180,176.918600626311
1181,177.318207046246
1182,143.209370095626
1183,145.27354547423
1184,128.127555097481
1185,178.583939236373
1186,107.436254293048
1187,93.732627783822
1188,297.845338432363
1189,60.3478009489263
1190,79.2782470275778
1191,46.8472348094002
1192,43.9099580480363
1193,40.021735506497
1194,22.5091897730766
1195,19.4946350325814
1196,50.8857591586048
1197,2337.04985358292
1198,297.499192698939
1199,399.497121958504
1200,500.956111232746
1201,346.989447662829
1202,331.284553076833
1203,298.486761034063
1204,257.137178541146
1205,257.586077057775
1206,316.249002421237
1207,233.844633250748
1208,193.366717475126
1209,74.1518660930021
1210,29.9464798165653
1211,32.6991629682914
1212,47.2439563036355
1213,32.9019194702102
1214,26.4909502494381
1215,41.2279534275617
1216,52.7468427163067
1217,23.8135211381134
1218,28.0838571739658
1219,25.6978547028703
1220,10.3135112685345
1221,8.01583103682174
1222,24.8299037489375
1223,12.2222920406901
1224,14.9280090952925
1225,10.547161536429
1226,6.22000455941509
1227,6.23799869432349
1228,6.27824431635997
1229,13.5824240463747
1230,157.704577207889
1231,95.4991887022782
1232,96.5384377230068
1233,97.1394605129503
1234,91.5562353753574
1235,239.182799995167
1236,427.829091786506
1237,226.615280964304
1238,168.10705467208
1239,303.66359337434
1240,169.049250012636
1241,246.480699745535
1242,121.727114749262
1243,109.711824878961
1244,128.176612213724
1245,103.744047299124
