"time","density"
500,1.8726514189821
501,1.98433515848281
502,2.29623346297168
503,2.37308159076134
504,1.51977825430443
505,1.57503250251287
506,1.84224724211334
507,1.95072482646809
508,2.09706476541214
509,2.20658393233408
510,2.41423398738104
511,2.84501992970385
512,3.46278212503552
513,3.31478284605421
514,2.36107077352266
515,1.5786116936425
516,1.54847990251649
517,1.67150313283449
518,1.69139218842249
519,1.81520107015346
520,1.88355287941981
521,2.21841524061427
522,2.6874396845087
523,2.88759721829018
524,3.07501781802431
525,3.2765369345006
526,3.63963366385993
527,4.51416565755618
528,5.01996563251222
529,5.90280442947549
530,6.8900113104934
531,6.73312850622114
532,6.56798879244734
533,6.7661996348687
534,7.34789622449539
535,7.75992158780301
536,8.24062715598564
537,9.39472158572105
538,8.44464354617402
539,8.75710944906405
540,9.77035416904666
541,9.2496381909182
542,5.34130771888309
543,5.14483624255603
544,4.64376788950745
545,4.83736591994299
546,5.01323477012923
547,5.06215960448491
548,5.35537987142744
549,6.1234053673393
550,6.94380939701203
551,7.51524834215815
552,7.90286655545091
553,8.03256286617933
554,8.24131887395929
555,8.43655578556032
556,9.45110075658813
557,8.59842919561084
558,8.2921338774795
559,8.09759705273235
560,8.58303385517139
561,9.40126822965525
562,8.75119829777169
563,9.16870255126602
564,9.21695331390142
565,10.0298277182912
566,11.005917387681
567,12.5388566940745
568,12.9645233455463
569,14.0073119304226
570,14.684088462204
571,16.2633343520561
572,17.039290475698
573,14.683308485373
574,13.915550009205
575,14.8383280230582
576,15.4371539077101
577,16.3599683745808
578,17.3890505706032
579,16.9161160751765
580,17.1814957201081
581,13.9670321620192
582,14.1287825580942
583,15.116968011174
584,15.2712707832364
585,15.2596815485914
586,10.3528077990468
587,9.970432684915
588,10.4262674503566
589,10.4479081749338
590,11.4358862020883
591,12.4117404977966
592,12.8060031697701
593,13.0506026106334
594,9.0563536918161
595,5.82971443981034
596,5.72221296348907
597,3.95177912463721
598,2.55342102152249
599,1.62898984786692
600,1.6003963209436
601,1.14299721447357
602,1.20675940715211
603,1.42577925672464
604,1.32937067508794
605,0.908330055173758
606,0.996924718113343
607,1.07697246226642
608,1.15990118749997
609,1.37832228300492
610,1.50834089912112
611,1.0471397417222
612,0.914040045968749
613,0.905440179468434
614,0.930982054930347
615,1.00263788438248
616,1.18605566863699
617,1.20350831567167
618,1.2765745789845
619,1.49197865827409
620,1.61062885640446
621,1.67859461850424
622,1.69685658475749
623,1.84417658338671
624,1.88838956504423
625,1.94225585353922
626,2.25065868712154
627,1.6660586678783
628,1.73905291741194
629,2.16146050417634
630,2.30599694573267
631,2.43886918710634
632,2.56960766208506
633,2.47253539936151
634,2.41013039103986
635,2.54052659442865
636,2.67255701587327
637,2.82921488128629
638,3.00455762338079
639,3.33804708568281
640,3.8855985096808
641,4.06305636431464
642,4.66216168473124
643,4.85105915105289
644,5.12956956393239
645,4.38242999930306
646,4.40765811397466
647,4.69803381486586
648,4.67783830814274
649,5.20041658195013
650,5.22566599669069
651,3.73668260005084
652,3.90422378991605
653,3.96912980417318
654,4.77220779791101
655,4.87670489753777
656,5.20940644237546
657,4.51358575390783
658,4.78790072664064
659,4.23351658273377
660,4.36353796440167
661,5.06291203788303
662,5.39407017666025
663,5.19128251031815
664,4.29158197982668
665,4.38648687272635
666,4.50883195646214
667,3.42632157829418
668,3.37246554827364
669,2.42080198557292
670,2.51382301965914
671,2.60434989796786
672,2.03754884603732
673,1.80136892888324
674,1.87070776382599
675,2.10127256575993
676,2.09839651071437
677,2.21367495073272
678,2.25829867111539
679,2.4082018306834
680,2.72592942058877
681,3.24112627608269
682,3.50971988866753
683,4.42948883142863
684,4.66817078144914
685,3.35649004846963
686,3.30006803648167
687,3.07269305029105
688,2.8897150694575
689,2.60110705943355
690,2.72693692939919
691,2.71181021460009
692,2.86407080460004
693,3.24884410948019
694,3.06878787027932
695,3.0991283844884
696,3.49016484372946
697,3.57681087191061
698,3.86799769768038
699,4.00206676637618
700,4.45548032840207
701,4.21831272750671
702,4.31471119130113
703,4.55067979848331
704,5.09156654967668
705,5.93160326408694
706,6.75507501287185
707,7.32036195102293
708,6.82088267566545
709,6.80623095303402
710,6.82514568940405
711,7.26001894825557
712,7.24404401491657
713,7.32626694499278
714,6.73455192119927
715,5.53158507900683
716,5.34427928943538
717,3.63009477629818
718,3.56310600853573
719,3.64385372620752
720,3.70058753930118
721,3.93570935990493
722,4.11624198403369
723,3.98743259243797
724,3.98921848190342
725,3.6761851084339
726,3.47210260386908
727,3.66352669525808
728,2.41497848720061
729,2.08825119884449
730,1.82017190663073
731,1.78405938985266
732,1.9009330877886
733,1.27915571946591
734,1.26198638409585
735,1.30990846326466
736,1.37833150504616
737,1.27339667561744
738,1.13549903894343
739,1.14769294342477
740,1.28465426678631
741,1.18229477426321
742,1.17816611796631
743,1.09189932544241
744,1.09075243864204
745,1.11989130337778
746,1.21989170628991
747,1.27920183484336
748,1.45257815776511
749,1.94325369138054
750,1.83178957486684
751,1.91961807311702
752,2.2393274298838
753,2.42101848566856
754,2.5826864184553
755,2.87916931256626
756,3.73508034092888
757,3.97670701106502
758,4.26524687919605
759,4.87098330802637
760,5.20248175418856
761,3.85796046722707
762,3.80361757418002
763,3.88168056318079
764,2.84379595568437
765,2.91377864651682
766,2.59917585525927
767,2.62297885783157
768,2.90124617700799
769,3.13189380069797
770,3.27088055275651
771,3.35260297749274
772,3.55065515518714
773,3.71557384519733
774,3.73940683102145
775,3.87729995216156
776,2.83971760134465
777,2.95059663453856
778,3.15553746856517
779,3.23772859900364
780,3.2031181317234
781,3.26318247297036
782,3.43932815552217
783,3.59877641460542
784,3.90756095363185
785,4.43857335779647
786,4.84476346694296
787,5.6118551045574
788,5.97437055747664
789,6.12449362448592
790,6.16798711554116
791,6.21324486047075
792,6.35271033950456
793,6.45656679479134
794,6.77694191178603
795,5.96473988626742
796,6.19196734326377
797,5.41808357684019
798,6.05351507898731
799,4.2908460557773
800,4.23203269630899
801,4.31719122565654
802,3.94968087803851
803,2.61187890974575
804,2.70928722806571
805,2.85557815704923
806,2.0744847560046
807,2.06189840194233
808,2.16553364692978
809,1.97949007559672
810,2.12265524302636
811,2.24946754509028
812,1.99752849976984
813,2.08746581584587
814,2.19247268449176
815,2.05623732445205
816,2.07544979355859
817,2.25694143569425
818,2.14422463590162
819,2.15766552618919
820,2.2633317572626
821,2.60724751090441
822,2.82472269256774
823,2.83057109229407
824,3.23190216045652
825,3.38064330125006
826,3.4819612577923
827,3.63373692247951
828,3.74286854666965
829,3.41573458074013
830,3.59178028553595
831,3.76501068707335
832,3.74063895076499
833,3.79047138514649
834,3.96394019458271
835,4.55410871226715
836,4.82741178940795
837,5.01848604981892
838,3.66648132615683
839,3.6462760811035
840,3.90840518196148
841,3.94814407416783
842,4.27519687774812
843,3.27778067684246
844,3.25951155173698
845,3.66343699502705
846,3.87708146383156
847,4.37713306541104
848,5.10721001181006
849,5.14319482270277
850,5.8226864544697
851,4.19381460904896
852,4.27734149479871
853,4.86437837582259
854,5.10101543571721
855,3.78694619915044
856,3.77569048529616
857,2.69869871957621
858,2.95832102006898
859,3.04594660699554
860,3.19156743024891
861,2.95104047548774
862,2.95235755435119
863,3.01683492202089
864,2.20016915468751
865,2.18427025799542
866,2.24413949338931
867,1.64476667047931
868,1.62355221265102
869,1.49810967654147
870,1.59576204900245
871,1.81071991046966
872,1.73769951819346
873,1.57288249565296
874,1.58523716881029
875,1.13494106373455
876,1.198258303285
877,1.30992585382475
878,1.54888721346976
879,1.69399902328804
880,1.98003467686757
881,2.18865923518457
882,2.77480913456263
883,3.11745790284625
884,3.34059744149788
885,3.48112989268301
886,3.60196476091637
887,3.87186597752786
888,4.1407547922625
889,4.3312749487467
890,4.78048150651013
891,5.0070739111739
892,4.84619122242821
893,5.17162568189808
894,5.55605269864568
895,6.45131428830719
896,7.51330902247647
897,7.88746089595049
898,8.13463671950879
899,8.34056533133805
900,7.6119532043606
901,7.39319464070214
902,7.33073120221336
903,7.50696337948453
904,8.28598892749476
905,9.18861970829847
906,9.6033382074543
907,10.1999518209768
908,10.1144307259417
909,9.97703436510403
910,10.3999783985922
911,11.8482077317245
912,12.3638782341037
913,8.66938176462877
914,8.55457732255381
915,9.42207429490239
916,9.49530720650842
917,9.48001780921137
918,10.4271091696067
919,10.4839026935725
920,9.38884183841644
921,8.17425720883597
922,7.96761802664079
923,7.9483417390067
924,8.39554495596105
925,8.64946027824382
926,9.823224909082
927,10.471616300584
928,11.4996390949883
929,11.8123961237099
930,13.0612497306686
931,13.1636027405592
932,13.1319280009236
933,13.0039943758341
934,12.9819901155343
935,12.9407409182121
936,12.7737667141087
937,13.4436196344347
938,8.61936475047568
939,8.48089238561072
940,8.39208462933629
941,8.83713604454451
942,9.20117116097432
943,9.60919280256116
944,9.92618110165221
945,10.072667245007
946,10.2188957425196
947,10.2960949024836
948,9.36740194701852
949,9.25903648229264
950,9.51254810163867
951,8.11890607627315
952,8.95599512320951
953,9.94307575783583
954,8.97269709630884
955,8.23596879443223
956,5.48485921394157
957,5.32601703653877
958,5.35632962794618
959,5.49648152825734
960,5.80466693624113
961,5.7853542623605
962,5.82975148023149
963,6.03574543294759
964,6.23653504847701
965,6.26763395634671
966,6.68916859032904
967,6.62811557604077
968,7.02971173485501
