"year","(Intercept).yr","logage.yr","Group","GrpName","(Intercept)","logage","W1","W2","W3","W4","W5","logage:W1","logage:W2","logage:W3","logage:W4","logage:W5","alpha"
26,-0.56534774650887,0.303865110810670,-0.315920372714742,"E1",-0.132425764802222,1.09735814272698,0.000407524378184262,0.0143169155190534,0.043085720131933,0.0187384635372303,-0.615729780285383,4.89444886760981e-05,-0.00641161256048097,-0.0489979211846253,-0.00935398901638895,-1.79503426598828,0.004
29,0.936227307256569,-0.447751931238637,-0.219603237281047,"P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047
30,1.46758094702767,-0.766966024240569,0.0795479414160553,"P10E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039
31,2.09636384517811,-0.878908986453849,0.0862836597009376,"P1E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018
32,0.87259536961106,-0.365776109781727,-0.0667797244635603,"P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17
33,1.02393588068208,-0.521210001229826,0.377430158390973,"P7E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.0493008324771086,0.300599730233786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.435842731538533,0.146194035162458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-2.91814683443527,2.19251722888259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-1.84839088914040,0.969551637376195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-0.57740912733958,0.59857447402868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.0365200414591897,0.134957003262494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-0.362065961911387,0.45618973657632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1.18181975144541,-0.756978230131639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.113727566799849,-0.0611266957395078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.125480924529626,0.121242739488717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.038934678856514,-0.0119933518282085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.215319713569440,-0.259429804722255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.61696941418456,-0.837427311655901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.714271073046258,-0.51091605897645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-2.26047837954059,0.368394204281228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0584343359904645,-0.453941114989274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
