"quad","year","totNumber"
"Q19",23,1
"Q7",23,14
"Q8",23,1
"Q19",26,1
"Q20",26,1
"Q7",26,8
"Q8",26,1
"Q20",27,1
"Q8",27,1
"Q20",29,1
"Q7",29,17
"Q8",29,1
"Q10",30,5
"Q11",30,2
"Q12",30,6
"Q18",30,1
"Q20",30,1
"Q22",30,1
"Q7",30,13
"Q8",30,1
"Q9",30,1
"Q10",31,9
"Q11",31,2
"Q12",31,7
"Q18",31,1
"Q20",31,1
"Q22",31,1
"Q7",31,13
"Q8",31,1
"Q9",31,2
"Q10",32,10
"Q11",32,2
"Q12",32,8
"Q22",32,2
"Q23",32,2
"Q3",32,2
"Q4",32,5
"Q5",32,2
"Q6",32,1
"Q7",32,16
"Q8",32,1
"Q9",32,1
"Q10",33,9
"Q11",33,1
"Q12",33,9
"Q2",33,1
"Q20",33,1
"Q22",33,1
"Q23",33,2
"Q3",33,1
"Q4",33,3
"Q5",33,3
"Q6",33,1
"Q7",33,15
"Q8",33,1
"Q9",33,1
"Q10",34,7
"Q11",34,2
"Q12",34,5
"Q2",34,1
"Q20",34,1
"Q22",34,1
"Q23",34,2
"Q25",34,1
"Q3",34,2
"Q4",34,3
"Q5",34,5
"Q6",34,1
"Q7",34,21
"Q8",34,3
"Q9",34,1
"Q10",35,16
"Q11",35,1
"Q12",35,5
"Q13",35,1
"Q14",35,1
"Q2",35,1
"Q20",35,1
"Q22",35,1
"Q23",35,3
"Q25",35,1
"Q3",35,5
"Q4",35,4
"Q5",35,1
"Q6",35,1
"Q7",35,20
"Q8",35,8
"Q9",35,1
"Q1",36,2
"Q10",36,172
"Q11",36,15
"Q12",36,4
"Q13",36,1
"Q14",36,13
"Q19",36,52
"Q2",36,6
"Q22",36,9
"Q23",36,1
"Q3",36,37
"Q4",36,2
"Q6",36,12
"Q7",36,20
"Q8",36,108
"Q9",36,95
"Q10",37,27
"Q11",37,1
"Q12",37,3
"Q19",37,8
"Q2",37,3
"Q20",37,2
"Q22",37,4
"Q23",37,2
"Q3",37,11
"Q4",37,4
"Q7",37,40
"Q8",37,11
"Q9",37,5
