"","2.5%","25%","50%","75%","97.5%"
"beta[1]",40.3592675493506,65.2495876804013,77.613806073552,89.4012137481811,111.103922456404
"beta[2]",13.0993061616782,31.7328745978653,40.6306980335842,49.2212090946158,64.1790854256127
"beta[3]",112.838496180786,155.263503922595,176.271048562238,196.440335180185,233.897955022286
"beta[4]",107.226576700593,162.074297997982,189.964243520975,217.747491980706,269.561122360154
"beta[5]",20.875597548734,85.7015521171467,116.549781666186,146.279846982498,200.683395370358
"beta[6]",161.002895930779,259.338868607893,312.001053639955,360.702900234501,447.521805437033
"beta[7]",106.838326508862,162.190856592196,191.294277027754,221.306367615317,280.077685115266
"beta[8]",161.894460228045,220.294183912188,252.272649021058,286.392067475469,355.321177829738
"beta[9]",128.618246392209,162.915642142639,181.279864135376,200.160462249264,236.680141307844
"beta[10]",133.754537082566,164.033080384761,178.985725805635,193.654815415939,220.67892327819
"beta[11]",83.5133246619025,106.044395856062,117.275786603434,127.971079957876,147.572551760848
"beta[12]",97.3141325439009,124.251826500529,138.232053240709,151.692647128903,177.121503263399
"beta[13]",96.784969349448,123.695376566107,137.824404002006,151.675544153668,179.059280831501
"intG[1]",-0.252566810929958,0.00188108381225719,0.125505063375271,0.253399955691921,0.529067151285371
"intG[2]",-0.593664286746408,-0.316242384163383,-0.184115593799232,-0.052388404940342,0.22642989436487
"intG[3]",-0.295226800811427,-0.0379796422218935,0.0840538004824177,0.211038702028453,0.482722004418063
"intG[4]",-0.894885787855312,-0.606169459115317,-0.467328855861043,-0.330635129392771,-0.0545527946022209
"intG[5]",-0.146833009019082,0.108260183351809,0.233368779485329,0.363139122097439,0.646878009677431
"intG[6]",-0.182446274116842,0.0711770278335001,0.194126423710209,0.321145043910533,0.601173454981159
"intYr[1]",-6.90535707102426,-6.5221067961943,-6.34399700141644,-6.16327999526113,-5.74333173199223
"intYr[2]",-6.79043017479593,-6.43246892604495,-6.25917045446186,-6.06471509907596,-5.62432768129737
"intYr[3]",-6.92765112852669,-6.51070584958654,-6.32848179866228,-6.13652852860372,-5.62295295010346
"intYr[4]",-7.07233177532848,-6.60016049042815,-6.40863077048215,-6.22465036221187,-5.75876206235435
"intYr[5]",-7.17977741586903,-6.74394759469862,-6.5509162349739,-6.37877562428151,-6.06456639419148
"intYr[6]",-6.9211617273012,-6.56269883670764,-6.39852142573254,-6.24306523575516,-5.91497386163299
"intYr[7]",-7.13990890369382,-6.74938065229378,-6.56527498412494,-6.39600127269555,-6.0987658933388
"intYr[8]",-7.18592041618676,-6.78346092090168,-6.59475141512657,-6.41900616747402,-6.11514251892496
"intYr[9]",-7.13768132183361,-6.75944112393636,-6.58051172528191,-6.41219138729449,-6.10683156881601
"intYr[10]",-6.8319228861195,-6.49938090006296,-6.3417253051448,-6.18392229622527,-5.84893848939014
"intYr[11]",-6.79349948902247,-6.46270562189144,-6.30713366020941,-6.14266256161246,-5.78692443453085
"intYr[12]",-6.89155409246864,-6.50066134807649,-6.32794003103535,-6.14511598686047,-5.6941659873681
"intYr[13]",-7.12571173827918,-6.62881789467879,-6.4371308381656,-6.258941960379,-5.85099510933233
"interceptMu",-6.84102272602694,-6.55234628945613,-6.41751831558865,-6.28692604363983,-6.01894668588652
"rain1",0.190471469349013,0.429402126000728,0.546432274911948,0.671114120217032,0.978761176152563
"rain2",-0.266720403801285,-0.0900694762162012,-0.018741229224022,0.0501615114929575,0.210719524551541
"temp1",-0.116212508283119,0.0832727691568613,0.175719688806125,0.276115525586791,0.527423216595173
"temp2",0.0745050105363839,0.295642785734488,0.396214531109445,0.501542139814448,0.761661749442089
