"Species","N","Constant model","Climate model","Full model","Contribution of climate covariates"
"BOGR",213,-881.245592707128,-881.245592707128,-938.349494435485,0
"HECO",171,-1365.34763282545,-1372.0598180236,-1381.60764626193,0.412803176600599
"PASM",217,-2107.01752456662,-2116.97836415715,-2164.80317070318,0.172375672100219
"POSE",197,-1503.68690279865,-1502.32447586866,-1551.43829510821,-0.0285316692162258
