"Species","N","Constant model","Climate model","Full model","Contribution of climate covariates"
"BOGR",29,38.3197534958317,39.2398314096951,44.5336460826903,0.148067881927854
"HECO",68,75.77548875124,75.77548875124,51.0134961020412,-1.72169359508252e-15
"PASM",26,32.3457892423416,32.346595035135,40.5118568617379,9.8675743456168e-05
"POSE",43,54.0483592767175,54.0482904111988,46.2514816484652,8.83244831601046e-06
