"Species","N","Constant model","Climate model","Full model","Contribution of climate covariates"
"BOGR",218,44.6194257320336,44.6194257320336,44.5336460826903,0
"HECO",179,51.2136138336395,51.2136138336395,51.0134961020412,0
"PASM",221,40.1447559625138,40.1447559625138,40.5118568617379,0
"POSE",204,46.4078551597056,46.4078551597056,46.2514816484652,0
