"","2.5%","25%","50%","75%","97.5%","species"
"betaSpp[1]",196.960678131081,671.404852096427,1047.68043973986,1488.18362798999,2425.79122553745,"BOGR"
"betaSpp[2]",0.624972139204005,0.991054266168564,1.21892219827426,1.47876338848,2.08483677665908,"HECO"
"betaSpp[3]",-221.77019273401,21.8030140451819,203.060841856973,462.267539887716,1091.19500775567,"PASM"
"betaSpp[4]",0.717076470453112,1.64656056996728,2.26825504543965,3.01174526823214,4.86341096198959,"POSE"
"intG[1,1]",-1.40261596696457,-0.376415333007776,-0.0011372948386508,0.371349447339166,1.42195833266075,"BOGR"
"intG[2,1]",-1.47770404805288,-0.418933608736789,-0.0361445287853523,0.334386958369534,1.26487535444398,"HECO"
"intG[3,1]",-1.40016782837398,-0.371808699677519,-0.000751353862173315,0.36971657467423,1.37098117100107,"PASM"
"intG[4,1]",-1.08622679484921,-0.261156317727301,0.0906457281161486,0.460637556896738,1.51860173088039,"POSE"
"intG[1,2]",-1.41543496670652,-0.374828260269889,-0.00117549355397281,0.374532680521123,1.42193637857927,"BOGR"
"intG[2,2]",-1.4213524824522,-0.35548384058527,0.0405242055805161,0.448114791048979,1.68729367363759,"HECO"
"intG[3,2]",-1.39091772502909,-0.369649467904649,0.00157566066170581,0.372325980058113,1.39212450164936,"PASM"
"intG[4,2]",-1.73102051703154,-0.60492233246779,-0.221791673545546,0.117199069793497,0.821263981902977,"POSE"
"intG[1,3]",-1.40839574299509,-0.373218760879392,-0.00052717695550461,0.371341794422213,1.39783702862006,"BOGR"
"intG[2,3]",-1.11891990233886,-0.235666820640721,0.125963665218867,0.508337372782825,1.514894585288,"HECO"
"intG[3,3]",-1.38536553481862,-0.370739137044308,-0.00104755882224228,0.372307077487171,1.39570515920435,"PASM"
"intG[4,3]",-1.6281227863281,-0.529811015619581,-0.155072300181617,0.187979942944634,0.94869025243465,"POSE"
"intG[1,4]",-1.43268250273168,-0.377298895316483,-0.00328249290254584,0.365733387923779,1.39617967872392,"BOGR"
"intG[2,4]",-0.873765374156881,-0.101952988454407,0.264061476956449,0.698563605415391,2.1396009214521,"HECO"
"intG[3,4]",-1.41531507774473,-0.375168747400958,-0.00189024282308681,0.372208568124052,1.38878813751607,"PASM"
"intG[4,4]",-0.927886917268752,-0.174588425122405,0.170681234838624,0.550901348801136,1.68487983197619,"POSE"
"intG[1,5]",-1.4081714496917,-0.373091607207144,0.000852997792618854,0.375830207655648,1.40575981560489,"BOGR"
"intG[2,5]",-1.00571516313599,-0.175318416058476,0.199191712642239,0.627559993546547,2.01864304552143,"HECO"
"intG[3,5]",-1.39257495442672,-0.372674384798669,0.000605379423344349,0.371319259520109,1.38280338327484,"PASM"
"intG[4,5]",-1.21648214017178,-0.319197803696336,0.0362452900621394,0.404365672767793,1.42950736624659,"POSE"
"intG[1,6]",-1.40354139840342,-0.368121511414873,0.00175919693668861,0.371735215871272,1.40942931900319,"BOGR"
"intG[2,6]",-2.92551130906845,-1.16885933618134,-0.623803791333175,-0.220457401112567,0.433695392677419,"HECO"
"intG[3,6]",-1.40232901511398,-0.37386710212964,-0.00227986282341719,0.369662282867998,1.3939851413162,"PASM"
"intG[4,6]",-1.1420283043936,-0.28511611093542,0.067626278348854,0.433750053972525,1.47619467523249,"POSE"
"intercept[1]",88.4292187482205,304.314772987791,483.104219470147,706.376181484394,1230.37199899717,"BOGR"
"intercept[2]",0.627247596948405,1.54336785673602,2.05607647564674,2.60630046263272,3.81468721322113,"HECO"
"intercept[3]",211.559476914657,715.931776125404,1110.99822448957,1575.91229601876,2579.17604807471,"PASM"
"intercept[4]",-4.80104102732875,-1.81324028008994,-0.394146021583907,0.946118228659731,3.47854262183755,"POSE"
"rain1[1]",-6.94820776479348,-1.54984211915596,-0.464928410370386,0.654175715236795,8.74411195094793,"BOGR"
"rain1[2]",-3.30239116831609,-1.48863834947051,-0.603063172336686,0.289819839649296,1.88060344813935,"HECO"
"rain1[3]",-6.67796900807216,-1.53663309485802,-0.454887678258679,0.657305447813443,10.4318534829927,"PASM"
"rain1[4]",-3.04925172218576,-1.27481475020953,-0.386320834365765,0.52173951190046,2.14477713438033,"POSE"
"rain2[1]",-4.56882441394729,-0.987775167444547,-0.360045081768394,0.299831272996634,3.5056598181221,"BOGR"
"rain2[2]",-2.1709657410006,-0.955135820412472,-0.427495626476084,0.120466428541339,1.39838424617856,"HECO"
"rain2[3]",-4.1300689443601,-0.978946782835022,-0.355924209233085,0.305768570987399,3.77506267547484,"PASM"
"rain2[4]",-1.70345373236549,-0.765930924606419,-0.296511478952708,0.210261138539246,1.45562774084638,"POSE"
"temp1[1]",-6.26759906832163,-2.01266527168911,-0.798550131529754,0.187340952247932,4.69893543378825,"BOGR"
"temp1[2]",-3.82409587206214,-1.65259821457922,-0.711109224537936,0.0644123063453299,1.33384887569436,"HECO"
"temp1[3]",-6.71068179392519,-2.02365123901115,-0.808507043795604,0.185242125510339,4.1416609549809,"PASM"
"temp1[4]",-4.36378842612847,-1.98368249643572,-0.906619087225343,-0.0281362822848021,1.35392984757769,"POSE"
"temp2[1]",-5.81988843820445,-1.45940304632561,-0.623071581727638,0.19786799824498,3.98861285683864,"BOGR"
"temp2[2]",-2.90789474834734,-1.31407438642345,-0.60268153220671,0.110860108868647,1.57408665433508,"HECO"
"temp2[3]",-5.16845314959631,-1.45018901724087,-0.614919785850947,0.197962314860958,4.73223247846175,"PASM"
"temp2[4]",-2.61777988822742,-1.28103510025124,-0.648275581584032,-0.0367212419098278,1.09433939836103,"POSE"
