"modelNum","Species","deltaDIC"
24,"BOGR",0
1,"BOGR",0.126881421072504
13,"BOGR",0.137152943525997
25,"BOGR",0.744301841508097
23,"BOGR",1.2589730847032
7,"BOGR",1.2742046779566
21,"BOGR",1.7840608355372
20,"BOGR",2.1383684232338
18,"BOGR",2.8972171789527
22,"BOGR",3.2530820115887
12,"BOGR",4.5074499722508
22,"HECO",0
16,"HECO",1.65267832139109
17,"HECO",1.7034338669871
7,"HECO",2.16375893031869
3,"HECO",2.21740113408519
15,"HECO",2.2803766663356
12,"HECO",2.4066709335487
19,"HECO",2.7434108644693
4,"HECO",2.9329024626355
8,"HECO",3.33042378202069
5,"HECO",3.69702043838529
1,"HECO",3.8413190308703
25,"HECO",4.00177534378439
21,"HECO",4.38931407716109
13,"PASM",0
6,"PASM",0.151948917037096
9,"PASM",0.1677758180194
11,"PASM",0.256520063776598
1,"PASM",0.386775639789597
8,"PASM",0.834973360074301
23,"PASM",2.3419879932503
16,"PASM",4.2912786741327
25,"PASM",4.5418163209328
20,"PASM",4.9437037770584
15,"POSE",0
22,"POSE",0.0390569669532042
12,"POSE",0.495593558020104
25,"POSE",0.793483302627706
9,"POSE",1.5262508427356
16,"POSE",1.56270059368941
7,"POSE",1.6115161542671
19,"POSE",1.6891013637177
24,"POSE",1.7341494383107
23,"POSE",2.0144636305014
21,"POSE",2.085311933565
20,"POSE",3.1255117097089
10,"POSE",3.243359690607
17,"POSE",3.33681495707771
14,"POSE",3.49223958000081
4,"POSE",3.6466974642661
18,"POSE",4.0982324654403
