"","modelNum","Species","DIC"
"1",1,"BOGR",-914.383200124739
"2",2,"BOGR",-914.321527550543
"3",3,"BOGR",-923.446101817677
"4",4,"BOGR",-913.412241923908
"5",5,"BOGR",-912.215853892815
"6",6,"BOGR",-924.442532387277
"7",7,"BOGR",-925.659230110712
"8",8,"BOGR",-922.980209705852
"9",9,"BOGR",-914.615747570752
"10",10,"BOGR",-921.338208717402
"11",11,"BOGR",-921.543273792268
"12",12,"BOGR",-921.525265395958
"13",13,"BOGR",-916.371992209501
"14",14,"BOGR",-921.620717414889
"15",15,"BOGR",-922.652197626585
"16",16,"BOGR",-915.605746089949
"17",17,"BOGR",-913.991130141445
"18",18,"BOGR",-925.943374170368
"19",19,"BOGR",-919.65968440978
"20",20,"BOGR",-921.956283367463
"21",21,"BOGR",-921.278206426121
"22",22,"BOGR",-916.145403414929
"23",23,"BOGR",-922.493028062845
"24",24,"BOGR",-924.130725242912
"25",25,"BOGR",-926.825064723024
"26",1,"HECO",-1372.8551778476
"27",2,"HECO",-1370.14249799481
"28",3,"HECO",-1366.65054866175
"29",4,"HECO",-1369.70816877979
"30",5,"HECO",-1360.12030277151
"31",6,"HECO",-1367.12893059871
"32",7,"HECO",-1367.86651562689
"33",8,"HECO",-1367.44643915551
"34",9,"HECO",-1368.12817151828
"35",10,"HECO",-1365.97373334942
"36",11,"HECO",-1366.97247315285
"37",12,"HECO",-1367.96961364352
"38",13,"HECO",-1368.36842271129
"39",14,"HECO",-1366.03600689668
"40",15,"HECO",-1368.63401548139
"41",16,"HECO",-1375.32898880136
"42",17,"HECO",-1367.514790142
"43",18,"HECO",-1367.79546709033
"44",19,"HECO",-1366.83767112388
"45",20,"HECO",-1368.07484804447
"46",21,"HECO",-1366.65098320149
"47",22,"HECO",-1374.22639486567
"48",23,"HECO",-1368.88962019289
"49",24,"HECO",-1373.70155402962
"50",25,"HECO",-1373.79895003566
"51",1,"PASM",-2174.35394809784
"52",2,"PASM",-2157.37254269835
"53",3,"PASM",-2167.44971289823
"54",4,"PASM",-2136.89473167804
"55",5,"PASM",-2159.80119574575
"56",6,"PASM",-2162.31014451143
"57",7,"PASM",-2156.71198561999
"58",8,"PASM",-2159.48623015084
"59",9,"PASM",-2138.93419175828
"60",10,"PASM",-2158.97699865359
"61",11,"PASM",-2154.66381056616
"62",12,"PASM",-2139.92883803824
"63",13,"PASM",-2137.36751720024
"64",14,"PASM",-2157.10362995481
"65",15,"PASM",-2141.94674064906
"66",16,"PASM",-2148.41615605695
"67",17,"PASM",-2138.9904931752
"68",18,"PASM",-2163.40795816905
"69",19,"PASM",-2137.3282786899
"70",20,"PASM",-2149.73316869928
"71",21,"PASM",-2137.87428076268
"72",22,"PASM",-2152.44257650088
"73",23,"PASM",-2146.22410426592
"74",24,"PASM",-2113.3050605904
"75",25,"PASM",-2115.43290809478
"76",1,"POSE",-1543.03751567327
"77",2,"POSE",-1540.35024293217
"78",3,"POSE",-1498.87706000622
"79",4,"POSE",-1504.06202566816
"80",5,"POSE",-1500.6143343753
"81",6,"POSE",-1499.5343133446
"82",7,"POSE",-1498.21481368275
"83",8,"POSE",-1501.59167967956
"84",9,"POSE",-1531.5146436253
"85",10,"POSE",-1536.41404698866
"86",11,"POSE",-1491.79743143924
"87",12,"POSE",-1544.13364483596
"88",13,"POSE",-1550.76731792833
"89",14,"POSE",-1541.31790227114
"90",15,"POSE",-1542.07931167904
"91",16,"POSE",-1542.30286617399
"92",17,"POSE",-1537.87410764065
"93",18,"POSE",-1538.23013777089
"94",19,"POSE",-1523.54052428
"95",20,"POSE",-1542.28035114398
"96",21,"POSE",-1523.40915301015
"97",22,"POSE",-1525.78624625602
"98",23,"POSE",-1522.37115272086
"99",24,"POSE",-1535.24670234451
"100",25,"POSE",-1539.11022900697
