"modelNum","Species","DIC"
1,"BOGR",40.4567635535502
2,"BOGR",118.635176349851
3,"BOGR",NA
4,"BOGR",61.8055292611164
5,"BOGR",65.1712125368449
6,"BOGR",49.1208470290907
7,"BOGR",41.6040868104343
8,"BOGR",284.228305614645
9,"BOGR",61.2414507280641
10,"BOGR",45.6933280623284
11,"BOGR",NA
12,"BOGR",44.8373321047285
13,"BOGR",40.4670350760037
14,"BOGR",46.3964868198435
15,"BOGR",Inf
16,"BOGR",Inf
17,"BOGR",55.2218852532202
18,"BOGR",43.2270993114304
19,"BOGR",Inf
20,"BOGR",42.4682505557115
21,"BOGR",42.1139429680149
22,"BOGR",43.5829641440664
23,"BOGR",41.5888552171809
24,"BOGR",40.3298821324777
25,"BOGR",41.0741839739858
1,"HECO",81.0668054016202
2,"HECO",82.9902697791906
3,"HECO",79.4428875048351
4,"HECO",80.1583888333854
5,"HECO",80.9225068091352
6,"HECO",Inf
7,"HECO",79.3892453010686
8,"HECO",80.5559101527706
9,"HECO",Inf
10,"HECO",Inf
11,"HECO",85.0156996390732
12,"HECO",79.6321573042986
13,"HECO",82.682091437094
14,"HECO",82.7323660930566
15,"HECO",79.5058630370855
16,"HECO",78.878164692141
17,"HECO",78.928920237737
18,"HECO",85.5240250495223
19,"HECO",79.9688972352192
20,"HECO",83.7764440285306
21,"HECO",81.614800447911
22,"HECO",77.2254863707499
23,"HECO",82.3007557709049
24,"HECO",82.5666408324762
25,"HECO",81.2272617145343
1,"PASM",32.8172714858855
2,"PASM",NA
3,"PASM",NA
4,"PASM",NA
5,"PASM",NA
6,"PASM",32.582444763133
7,"PASM",NA
8,"PASM",33.2654692061702
9,"PASM",32.5982716641153
10,"PASM",NA
11,"PASM",32.6870159098725
12,"PASM",43.0212711820369
13,"PASM",32.4304958460959
14,"PASM",58.9659099306091
15,"PASM",NA
16,"PASM",36.7217745202286
17,"PASM",162.386685756744
18,"PASM",NA
19,"PASM",NA
20,"PASM",37.3741996231543
21,"PASM",NA
22,"PASM",NA
23,"PASM",34.7724838393462
24,"PASM",NA
25,"PASM",36.9723121670287
1,"POSE",66.2799564919908
2,"POSE",Inf
3,"POSE",Inf
4,"POSE",60.9627075289576
5,"POSE",62.6150873363188
6,"POSE",Inf
7,"POSE",58.9275262189586
8,"POSE",62.9243839538662
9,"POSE",58.8422609074271
10,"POSE",60.5593697552985
11,"POSE",Inf
12,"POSE",57.8116036227116
13,"POSE",8.51213011311801e+273
14,"POSE",60.8082496446923
15,"POSE",57.3160100646915
16,"POSE",58.8787106583809
17,"POSE",60.6528250217692
18,"POSE",61.4142425301318
19,"POSE",59.0051114284092
20,"POSE",60.4415217744004
21,"POSE",59.4013219982565
22,"POSE",57.3550670316447
23,"POSE",59.3304736951929
24,"POSE",59.0501595030022
25,"POSE",58.1094933673192
