"","V1","V2","V3","V4"
"1",-773.003745045207,-1312.99164294472,-1994.14032486523,-1515.085539265
"2",-770.722181164285,-1260.50502850303,-2006.67042302034,-1589.43342637762
"3",-775.709769486637,-1310.89453392784,-2000.05223039227,-1513.76236860947
"4",-781.808768613648,-1259.56516648318,-1980.95156111681,-1520.89204454173
"5",-763.921248743392,-1248.28255443273,-1988.02696919576,-1514.40580499687
