"","W","X"
"1",0.125385608780479,1
"2",0.703967634377282,2
"3",0.773834907406836,3
"4",0.748347978733531,4
"5",0.676286953310377,5
"6",0.510321471533588,6
"7",0.0427238981728541,7
"8",0.0519494805799956,8
"9",0.234462414724757,9
"10",0.0386481210927212,10
"11",0.689999051039832,11
"12",0.666272251531295,12
"13",0.580519095557852,13
"14",0.601061486819091,14
"15",0.129808142770135,15
"16",0.629119294005933,16
"17",0.0835998285018785,17
"18",0.233766482612415,18
"19",0.470391898194564,19
"20",0.732685410128319,20
"21",1.24892554527729,21
"22",0.406402802951731,22
"23",0.182438540375904,23
"24",0.0811834462429097,24
"25",0.229447055850792,25
"26",0.483932741003314,26
"27",1.29646656248649,27
"28",0.237974571467431,28
"29",2.07203520522855,29
"30",0.111743089200074,30
"31",0.0396527048979524,31
"32",2.12352997863203e-06,32
"33",0.0106822283042406,33
"34",0.204787356531144,34
"35",0.48806720899941,35
"36",0.0980664535472271,36
"37",0.230807947155888,37
"38",0.0467985204139,38
"39",0.330590856177084,39
"40",0.0689835557463457,40
"41",0.520015428655282,41
"42",0.52382836282491,42
"43",1.89878725194537,43
"44",0.147281688272648,44
"45",0.375861512869668,45
"46",0.201640059157382,46
"47",0.118632082997338,47
"48",0.114827652401737,48
"49",0.201635044500291,49
"50",0.0136394821799839,50
"51",0.185008845123703,51
"52",0.00049885473434502,52
"53",0.185008255376405,53
"54",0.253186693779378,54
"55",0.192315190250875,55
"56",0.356443973468699,56
"57",0.200704256838709,57
"58",1.52160327627467e-06,58
"59",0.0660514377729527,59
"60",0.316092607023864,60
"61",0.197210442000087,61
"62",0.00275765945024732,62
"63",0.409006124758037,63
"64",0.125254164905163,64
"65",0.487520781344331,65
"66",0.438685611934906,66
"67",0.422098034982141,67
"68",0.0496106042256291,68
"69",0.00153902001064552,69
"70",0.0281694845538927,70
"71",1.50667770816902e-05,71
"72",4.66328120427278e-14,72
"73",0.000246884988337909,73
"74",0.00321176462772992,74
"75",1.81265227065223e-09,75
"76",0.104554512399076,76
"77",0.0632205050721522,77
"78",0.215417064430237,78
"79",0.104554512399076,79
"80",0.109282598569397,80
"81",5.30957983303113e-47,81
"82",0.222953010241163,82
"83",0.00157660705774693,83
"84",0.282380935810056,84
"85",0.299864516895158,85
"86",0.333688917239219,86
"87",0.00157660705774693,87
"88",0.470540600881335,88
"89",0.343605044091096,89
"90",0.167594877584051,90
"91",0.551500493813549,91
"92",0.702291676406348,92
"93",0.468687715661766,93
"94",0.0587693816671451,94
"95",3.75977446677387e-11,95
"96",0.534451771787925,96
"97",0.476415014267408,97
"98",0.181254111505448,98
"99",0.258972010076241,99
"100",0.242043849407463,100
"101",0.0679786682198531,101
"102",0.102389447938835,102
"103",0.503559721709258,103
"104",0.376402875810583,104
"105",0.475154681660516,105
"106",0.202649091396041,106
"107",0.536044318751873,107
"108",0.808451960073901,108
"109",0.564880826279179,109
"110",0.350205616816841,110
"111",0.123190466275617,111
"112",0.729770271413985,112
"113",0.511785377877611,113
"114",0.619358013949283,114
"115",0.501207034051374,115
"116",0.606687891353011,116
"117",0.239422047656036,117
"118",0.452785872279471,118
"119",0.294077736925446,119
"120",0.325879052277157,120
"121",0.16991541224861,121
"122",0.154683419397955,122
"123",0.658507459155389,123
"124",0.0815339122456759,124
"125",0.288895992488011,125
"126",0.911482040258624,126
"127",0.904102591205128,127
"128",0.388131368982407,128
"129",0.91301978283681,129
"130",0.521161766067651,130
"131",0.561645538772467,131
"132",0.641984530346631,132
"133",0.655315998147497,133
"134",0.498158537911629,134
"135",0.578645406452047,135
"136",0.419064407536545,136
"137",0.363433472483742,137
"138",0.598922452759839,138
"139",0.563604184925568,139
"140",0.394668212458911,140
"141",0.266497081373482,141
"142",0.197064207567056,142
"143",0.343652090522112,143
"144",0.401593602228239,144
"145",0.297843857419339,145
"146",0.18816043595928,146
"147",0.638944942616293,147
"148",0.053559486404648,148
"149",0.248118400557436,149
"150",0.568087069086898,150
"151",0.138943855844089,151
"152",0.13117381419526,152
"153",1.06443099397406,153
"154",1.10090443067414,154
"155",0.781179566555804,155
"156",0.678534308332044,156
"157",0.530114392017864,157
"158",1.33673567461437,158
"159",0.9038354837365,159
"160",0.46043524588491,160
"161",1.04434477125356,161
"162",1.27633945615344,162
"163",0.804478020194021,163
"164",0.723879403295788,164
"165",0.28929122472148,165
"166",0.364632482172647,166
"167",0.331842764389319,167
"168",0.838808032119708,168
"169",0.797559224587844,169
"170",0.526728497296271,170
"171",0.593543028705448,171
"172",1.4775051982033,172
"173",1.33538981098415,173
"174",0.862201131786798,174
"175",1.13015965584638,175
"176",1.60430971837528,176
"177",0.471137932762534,177
"178",1.80290955335951,178
"179",0.567735357216733,179
"180",0.73398550041166,180
"181",1.03820843771916,181
"182",0.213873999311431,182
"183",1.29922381906367,183
"184",1.36649820433561,184
"185",0.327385556570833,185
"186",0.766919727879477,186
"187",0.775310547964129,187
"188",1.24826627376447,188
"189",0.49959313253399,189
"190",0.415685224682323,190
"191",0.521582518794212,191
"192",0.0197498349692862,192
"193",0.481845228670351,193
"194",0.154331755813181,194
"195",0.419381689953817,195
"196",0.653902630879532,196
"197",1.09243321841561,197
"198",1.06296768876969,198
"199",1.51474465608271,199
"200",1.30860596520318,200
"201",0.697659671547392,201
"202",1.52602649510027,202
"203",0.357803126610072,203
"204",0.230086732617126,204
"205",0.939998154515638,205
"206",0.63904369096098,206
"207",0.445998033424177,207
"208",1.07903411036484,208
"209",0.617180737295533,209
"210",1.14058581728037,210
"211",0.776709148340501,211
