"","x"
"a_mu",1.00065658044551
"a[1]",1.00141413865206
"a[2]",1.00190965508458
"a[3]",1.00212304402074
"a[4]",1.00001564898312
"a[5]",1.0015038537309
"a[6]",1.00293112296336
"a[7]",1.00018257785519
"a[8]",1.00283943295993
"a[9]",1.00306028706808
"a[10]",1.00114205326243
"a[11]",1.00196436355933
"a[12]",1.00200004160608
"a[13]",1.00009689565321
"b1_mu",1.00050899108094
"b1[1]",0.999561299907524
"b1[2]",1.00017544786846
"b1[3]",0.999970624186724
"b1[4]",0.999553654917284
"b1[5]",0.999825682953782
"b1[6]",0.999509138820802
"b1[7]",1.00023340747718
"b1[8]",1.00073572275968
"b1[9]",0.999716541843444
"b1[10]",1.00026849520238
"b1[11]",0.999546872262757
"b1[12]",0.999729616186608
"b1[13]",0.99928551243749
"b2[1]",1.00212540451028
"b2[2]",1.00026909587222
"b2[3]",0.999706513480951
"b2[4]",0.999345945421712
"b2[5]",0.999750000990444
"b2[6]",1.00023859469091
"b2[7]",1.00067547957413
"w[1]",0.999763997362003
"w[2]",0.999906359100818
"gint[1]",1.00326666054131
"gint[2]",1.0032836543864
"gint[3]",1.00469197737745
"gint[4]",1.00274918600879
"gint[5]",1.00377005703026
"gint[6]",1.00346752565035
"tau",1.00028412614706
"tauSize",0.999937537998031
"sig_a",1.00184947395487
"sig_b1",1.00021527350848
"sig_G",1.00096798445246
"lp__",1.00220414499687
