"","dics","model"
"9",8421.84381886313,9
"16",8421.87455606628,16
"2",8422.40084367534,2
"7",8423.08566319923,7
"13",8423.72059200767,13
"8",8425.81910231699,8
"11",8426.53944066263,11
"21",8426.96208966073,21
"14",8427.36682984368,14
"15",8427.71536729336,15
"18",8429.01386806862,18
"19",8429.33805389557,19
"4",8429.9029570539,4
"10",8430.03786253908,10
"3",8430.71726152021,3
"20",8431.79759810329,20
"6",8431.94412159655,6
"5",8433.14254259724,5
"1",8444.49449329911,1
"12",8451.92585392226,12
"17",8461.91410360373,17
