"quad","year","totNumber"
"Q2",34,4
"Q25",34,28
"Q26",34,8
"Q3",34,1
"Q4",34,8
"Q5",34,22
"Q6",34,17
"Q2",35,2
"Q25",35,46
"Q26",35,17
"Q4",35,5
"Q5",35,43
"Q6",35,21
"Q2",36,1
"Q20",36,1
"Q25",36,35
"Q26",36,21
"Q4",36,6
"Q5",36,49
"Q6",36,17
"Q2",37,3
"Q25",37,38
"Q26",37,27
"Q4",37,7
"Q5",37,69
"Q6",37,15
"Q2",38,7
"Q25",38,51
"Q26",38,28
"Q4",38,6
"Q5",38,71
"Q6",38,17
"Q19",39,1
"Q2",39,10
"Q25",39,55
"Q26",39,28
"Q4",39,5
"Q5",39,70
"Q6",39,16
"Q2",40,7
"Q25",40,50
"Q26",40,40
"Q4",40,7
"Q5",40,99
"Q6",40,20
"Q2",41,6
"Q25",41,63
"Q26",41,55
"Q4",41,16
"Q5",41,109
"Q6",41,23
"Q2",42,13
"Q20",42,1
"Q25",42,81
"Q26",42,70
"Q4",42,21
"Q5",42,141
"Q6",42,25
"Q2",45,18
"Q25",45,68
"Q26",45,39
"Q4",45,52
"Q5",45,166
"Q6",45,60
"Q2",46,16
"Q25",46,53
"Q26",46,77
"Q4",46,49
"Q5",46,151
"Q6",46,51
"Q2",47,15
"Q25",47,57
"Q26",47,69
"Q4",47,36
"Q5",47,120
"Q6",47,71
"Q12",49,2
"Q2",49,13
"Q25",49,56
"Q26",49,192
"Q4",49,22
"Q5",49,121
"Q6",49,65
"Q2",50,24
"Q25",50,62
"Q26",50,70
"Q4",50,16
"Q5",50,102
"Q6",50,72
"Q2",51,20
"Q25",51,53
"Q26",51,68
"Q4",51,11
"Q5",51,77
"Q6",51,75
"Q2",52,18
"Q23",52,14
"Q25",52,55
"Q26",52,76
"Q4",52,6
"Q5",52,61
"Q6",52,65
"Q19",54,2
"Q2",54,20
"Q23",54,3
"Q25",54,47
"Q26",54,84
"Q3",54,1
"Q4",54,3
"Q5",54,49
"Q6",54,62
"Q2",55,21
"Q25",55,73
"Q26",55,93
"Q4",55,4
"Q5",55,50
"Q6",55,67
"Q15",56,2
"Q2",56,19
"Q25",56,65
"Q26",56,125
"Q4",56,3
"Q5",56,33
"Q6",56,70
"Q12",57,1
"Q15",57,3
"Q16",57,3
"Q18",57,2
